,Unnamed: ,Year,US Population,Total Fish,Per Cap Fish,Total Shellfish,Per Cap Shellfish,Total both,Per cap both,Total Salmon,Per Cap Salmon,Total Sardines,Per Cap Sardines,Total Tuna,Per Cap Tuna,Total Canned Shellfish,Per Cap Canned Shellfish,Other Total,Other Per cap,Total Canned,Per Cap Canned,Total Cured,Per Cap Cured,Total fish and Shellfish,Total Per cap fish and shellfilsh
0,5,1909,90.49,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,4.0,0.0,11.0
1,6,1910,92.407,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,3.9,0.0,11.2
2,7,1911,93.863,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,3.7,0.0,11.3
3,8,1912,95.335,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,3.4,0.0,11.3
4,9,1913,97.225,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,3.3,0.0,11.5
5,10,1914,99.111,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.1,0.0,11.7
6,11,1915,100.546,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,3.0,0.0,11.2
7,12,1916,101.961,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,2.8,0.0,11.0
8,13,1917,103.414,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.7,0.0,10.9
9,14,1918,104.55,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.5,0.0,10.9
10,15,1919,105.063,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,2.4,0.0,11.6
11,16,1920,106.461,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,2.3,0.0,11.8
12,17,1921,108.538,0.0,0.0,0.0,0.0,0.0,6.2,0.0,1.1,0.0,0.7,0.0,0.1,0.0,0.2,0.0,0.1,0.0,2.2,0.0,2.1,0.0,10.5
13,18,1922,110.049,0.0,0.0,0.0,0.0,0.0,6.1,0.0,2.1,0.0,0.7,0.0,0.1,0.0,0.2,0.0,0.1,0.0,3.2,0.0,2.0,0.0,11.3
14,19,1923,111.947,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.9,0.0,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0,2.9,0.0,1.8,0.0,10.7
15,20,1924,114.109,0.0,0.0,0.0,0.0,0.0,6.1,0.0,2.1,0.0,0.8,0.0,0.1,0.0,0.2,0.0,0.0,0.0,3.2,0.0,1.7,0.0,11.0
16,21,1925,115.829,0.0,0.0,0.0,0.0,0.0,6.3,0.0,2.0,0.0,0.8,0.0,0.2,0.0,0.2,0.0,0.0,0.0,3.2,0.0,1.6,0.0,11.1
17,22,1926,117.397,0.0,0.0,0.0,0.0,0.0,6.6,0.0,2.1,0.0,0.8,0.0,0.2,0.0,0.2,0.0,0.1,0.0,3.4,0.0,1.4,0.0,11.4
18,23,1927,119.035,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.6,0.0,0.8,0.0,0.2,0.0,0.2,0.0,0.1,0.0,3.9,0.0,1.3,0.0,12.2
19,24,1928,120.509,0.0,0.0,0.0,0.0,0.0,7.1,0.0,2.4,0.0,1.1,0.0,0.2,0.0,0.2,0.0,0.0,0.0,3.9,0.0,1.1,0.0,12.1
20,25,1929,121.767,0.0,5.5,0.0,1.4,836.0,6.865571131751624,0.0,2.1,0.0,1.0,0.0,0.3,0.0,0.3,0.0,0.2,0.0,3.9,128.0,1.0511879244787177,0.0,11.816759056230342
21,26,1930,123.188,0.0,4.6,0.0,1.2,718.0,5.82848978796636,0.0,2.1,0.0,0.6,0.0,0.3,0.0,0.2,0.0,0.2,0.0,3.4,123.0,0.9984738773257136,0.0,10.226963665292072
22,27,1931,124.149,0.0,3.9,0.0,1.0,608.0,4.897341098196522,0.0,2.1,0.0,0.5,0.0,0.2,0.0,0.2,0.0,0.2,0.0,3.2,92.0,0.7410450345955263,0.0,8.83838613279205
23,28,1932,124.949,0.0,3.4,0.0,0.9,537.0,4.297753483421236,0.0,2.3,0.0,0.5,0.0,0.3,0.0,0.2,0.0,0.1,0.0,3.4,93.0,0.7443036758997671,0.0,8.442057159321003
24,29,1933,125.69,0.0,3.4,0.0,0.8,522.0,4.153075025857268,0.0,2.3,0.0,0.7,0.0,0.3,0.0,0.2,0.0,0.4,0.0,3.9,73.0,0.5807940170260164,0.0,8.633869042883285
25,30,1934,126.485,0.0,3.3,0.0,1.0,544.0,4.300905245681306,0.0,2.3,0.0,0.8,0.0,0.4,0.0,0.2,0.0,0.5,0.0,4.2,87.0,0.6878285962762383,0.0,9.188733841957545
26,31,1935,127.362,0.0,4.1,0.0,1.0,649.0,5.095711436692263,0.0,2.2,0.0,1.0,0.0,0.5,0.0,0.2,0.0,0.8,0.0,4.7,88.0,0.6909439236192899,0.0,10.486655360311554
27,32,1936,128.181,0.0,4.1,0.0,1.1,660.0,5.14896903597257,0.0,3.0,0.0,1.3,0.0,0.4,0.0,0.4,0.0,0.7,743.0,5.796490899587302,85.0,0.6631248000873764,0.0,11.608584735647248
28,33,1937,128.961,0.0,4.4,0.0,1.2,717.0,5.559820410821875,0.0,2.6,0.0,1.3,0.0,0.5,0.0,0.4,0.0,0.5,678.0,5.257403401028217,117.0,0.9072510293809756,0.0,11.724474841231068
29,34,1938,129.969,0.0,4.0,0.0,1.2,682.0,5.247405150458956,0.0,2.4,0.0,1.0,0.0,0.5,0.0,0.4,0.0,0.5,621.0,4.778062461048404,106.0,0.8155790996314506,0.0,10.84104671113881
30,35,1939,131.028,0.0,4.1,0.0,1.2,699.0,5.334737613334555,0.0,2.1,0.0,1.1,0.0,0.6,0.0,0.5,0.0,0.4,620.0,4.7318130475928815,91.0,0.6945080440821809,0.0,10.761058705009615
31,36,1940,132.122,0.0,4.5,0.0,1.2,750.0,5.676571653471791,0.0,2.0,0.0,1.0,0.0,0.6,0.0,0.5,0.0,0.5,613.0,4.63965123143761,88.0,0.6660510740073567,0.0,10.982273958916757
32,37,1941,133.402,0.0,5.0,0.0,1.3,825.0,6.184315077734967,0.0,2.3,0.0,0.9,0.0,0.5,0.0,0.2,0.0,0.3,0.0,4.2,89.0,0.66715641444656,0.0,11.051471492181529
33,38,1942,134.86,0.0,4.0,0.0,1.2,707.0,5.242473676405161,0.0,1.2,0.0,0.8,0.0,0.4,0.0,0.2,0.0,0.3,0.0,2.9,89.0,0.6599436452617529,0.0,8.802417321666914
34,39,1943,136.739,0.0,4.2,0.0,1.3,764.0,5.587286728731379,0.0,0.7,0.0,0.4,0.0,0.4,0.0,0.2,0.0,0.1,0.0,1.8,80.0,0.5850562019614008,0.0,7.97234293069278
35,40,1944,138.397,0.0,4.1,0.0,1.4,775.0,5.599832366308519,0.0,0.8,0.0,0.9,0.0,0.5,0.0,0.1,0.0,0.3,0.0,2.6,74.0,0.5346936711055876,0.0,8.734526037414106
36,41,1945,139.928,0.0,5.0,0.0,1.6,905.0,6.467611914698988,0.0,0.9,0.0,0.8,0.0,0.6,0.0,0.1,0.0,0.2,0.0,2.6,97.0,0.6932136527356927,0.0,9.76082556743468
37,42,1946,141.389,0.0,4.3,0.0,1.6,844.0,5.969346978902177,0.0,1.4,0.0,1.1,0.0,0.7,0.0,0.4,0.0,0.6,591.0,4.179957422430316,98.0,0.6931232274080728,1533.0,10.842427628740566
38,43,1947,144.126,0.0,4.2,0.0,1.6,835.0,5.7935417620693,0.0,1.3,0.0,0.9,0.0,0.8,0.0,0.2,0.0,0.6,559.0,3.8785507125709446,93.0,0.6452687232005329,1487.0,10.317361197840777
39,44,1948,146.631,0.0,4.4,0.0,1.6,884.0,6.028738806937142,0.0,1.6,0.0,1.1,0.0,0.9,0.0,0.3,0.0,0.5,659.0,4.4942747440854935,99.0,0.6751641876547251,1642.0,11.19817773867736
