,Unnamed: ,Year,US Population,Plain Whole Milk - Consumed,Plain Whole Mild - Sales,Plain Whole Milk - Total,Flavored Whole Milk,Total Plain and Flavored, Percent Plain, Percent Plain,Total Low Fat,Low Fat Flavored,Total Low Fat.,Buttermilk,Skim Milk,Butter and Skim Consumed,Total low fat and skim,Other Eggnog,Misc,Total other,Total beverage milk Sales,Total Beverage Fluid Milk Available
0,6,1909,90.49,9643,11121.0,20764.0,128.0,20892.0,0.0,0.0,0.0,86.0,86.0,221.0,114.0,5299.0,5720.0,0.0,0.0,0.0,11670.0,26612.0
1,7,1910,92.407,9671,10220.0,19891.0,118.0,20009.0,0.0,0.0,0.0,79.0,79.0,215.0,111.0,5239.0,5644.0,0.0,0.0,0.0,10743.0,25653.0
2,8,1911,93.863,9696,9863.0,19559.0,118.0,19677.0,0.0,0.0,0.0,80.0,80.0,203.0,104.0,5209.0,5596.0,0.0,0.0,0.0,10368.0,25273.0
3,9,1912,95.335,9716,12729.0,22445.0,153.0,22598.0,0.0,0.0,0.0,104.0,104.0,261.0,134.0,5177.0,5676.0,0.0,0.0,0.0,13381.0,28274.0
4,10,1913,97.225,9732,12225.0,21957.0,147.0,22104.0,0.0,0.0,0.0,100.0,100.0,250.0,129.0,5142.0,5621.0,0.0,0.0,0.0,12851.0,27725.0
5,11,1914,99.111,9950,10967.0,20917.0,132.0,21049.0,0.0,0.0,0.0,90.0,90.0,224.0,115.0,5089.0,5518.0,0.0,0.0,0.0,11528.0,26567.0
6,12,1915,100.546,9691,9887.0,19578.0,119.0,19697.0,0.0,0.0,0.0,81.0,81.0,202.0,104.0,5053.0,5440.0,0.0,0.0,0.0,10393.0,25137.0
7,13,1916,101.961,9613,9459.0,19072.0,118.0,19190.0,0.0,0.0,0.0,81.0,81.0,188.0,99.0,4994.0,5362.0,0.0,0.0,0.0,9945.0,24552.0
8,14,1917,103.268,9514,11383.0,20897.0,142.0,21039.0,0.0,0.0,0.0,98.0,98.0,226.0,116.0,4960.0,5400.0,0.0,0.0,0.0,11965.0,26439.0
9,15,1918,103.208,9369,15187.0,24556.0,190.0,24746.0,0.0,0.0,0.0,131.0,131.0,301.0,155.0,4913.0,5500.0,0.0,0.0,0.0,15964.0,30246.0
