,Year,Total,Processed,Fresh
0,1970,31.941598426381752,14.706782459661287,17.234815966720465
1,1971,31.0936101014401,14.475377559520362,16.618232541919735
2,1972,28.30745330232289,12.624191528508414,15.68326177381448
3,1973,29.93216303148544,13.655176515856365,16.276986515629073
4,1974,31.055616690944177,14.498687718314418,16.55692897262976
5,1975,33.340930713008014,13.658334903189976,19.68259580981804
6,1976,30.141984679868614,12.896999765430236,17.24498491443838
7,1977,31.826069728561347,15.136970864162844,16.689098864398503
8,1978,36.26745898312126,18.128564199464268,18.138894783656998
9,1979,36.51330585230279,19.17508862316916,17.33821722913363
10,1980,40.233825816080646,20.824372998473304,19.40945281760734
11,1981,34.926809128133456,17.914320976371183,17.012488151762273
12,1982,40.04086734677472,22.33886394648833,17.702003400286383
13,1983,41.95304251672627,23.522358740657147,18.43068377606912
14,1984,44.72503170551425,26.209535815801647,18.5154958897126
15,1985,43.576627692994805,26.158668220560617,17.417959472434184
16,1986,43.52008746600031,25.517942564106622,18.002144901893686
17,1987,48.61250523898941,27.594166556529032,21.018338682460374
18,1988,47.72893415835873,27.71074831601855,20.018185842340184
19,1989,47.06671971006186,25.637813510828646,21.428906199233214
20,1990,48.48990167468881,28.67682432780009,19.81307734688871
21,1991,44.122920187910665,25.789392324447004,18.333527863463665
22,1992,47.076272988988485,27.70332714745941,19.37294584152907
23,1993,48.84912165936058,29.62494033810914,19.22418132125144
24,1994,49.6321341281258,30.049728880701977,19.582405247423825
25,1995,45.64352505009608,26.7546801790558,18.88884487104028
26,1996,46.9246555624826,28.0477317397111,18.8769238227715
27,1997,45.60390293070444,27.319118879996896,18.284784050707547
28,1998,47.83838057217882,28.65274202648395,19.18563854569487
29,1999,47.60539867909685,28.893233305973265,18.71216537312358
30,2000,45.52956646325101,27.886245371769885,17.643321091481123
31,2001,43.88525510384533,28.121106685937693,15.764148417907633
32,2002,43.54283458770161,27.38623164788093,16.156602939820683
33,2003,46.99575243331838,29.933872263768333,17.061880169550047
34,2004,50.91583677016286,31.94612331918378,18.96971345097908
35,2005,45.639699239859866,28.830334953308416,16.809364286551453
36,2006,51.21385955901064,33.30989803258855,17.90396152642209
37,2007,50.28323551390401,33.73374946821406,16.549486045689953
38,2008,48.32539676770171,32.305623258360136,16.019773509341576
39,2009,47.68609446591961,31.34976500193245,16.33632946398716
40,2010,47.897412921486776,32.50292310383553,15.39448981765125
41,2011,42.82106084739685,27.258845111711352,15.562215735685497
42,2012,43.74773238380043,27.602433219195937,16.145299164604495
43,2013,46.1354657335127,28.598212248994344,17.537253484518363
44,2014,46.15865343255123,27.31576614947457,18.842887283076667
45,2015,46.83268599408808,29.23759259673493,17.595093397353153
46,2016,49.16479927982711,29.88705094358076,19.277748336246347
47,2017,47.82662894716553,29.660322499983355,18.166306447182176
