,Year,Total,Processed,Fresh
0,1970,0.4520804478863898,0.0,0.4520804478863898
1,1971,0.8306807729905953,0.0,0.8306807729905953
2,1972,0.4325951899988566,0.0,0.4325951899988566
3,1973,0.7116262169138641,0.0,0.7116262169138641
4,1974,1.2457096897883602,0.0,1.2457096897883602
5,1975,0.7324989697786296,0.0,0.7324989697786296
6,1976,1.187882679386337,0.0,1.187882679386337
7,1977,1.1342223675189227,0.0,1.1342223675189227
8,1978,1.2700765999505808,0.0,1.2700765999505808
9,1979,0.8544577992046389,0.0,0.8544577992046389
10,1980,2.0985746028121515,0.0,2.0985746028121515
11,1981,1.5611003365714933,0.0,1.5611003365714933
12,1982,1.8575464709631853,0.0,1.8575464709631853
13,1983,2.2069336383462725,0.0,2.2069336383462725
14,1984,1.8400832670468967,0.0,1.8400832670468967
15,1985,1.515520032205849,0.0,1.515520032205849
16,1986,2.3702373977253366,0.0,2.3702373977253366
17,1987,1.5984085929391607,0.0,1.5984085929391607
18,1988,1.5786401981870943,0.0,1.5786401981870943
19,1989,1.086483492492177,0.0,1.086483492492177
20,1990,1.4270505173268513,0.0,1.4270505173268513
21,1991,1.4459294733976875,0.0,1.4459294733976875
22,1992,2.186652860712979,0.0,2.186652860712979
23,1993,1.3448233463334036,0.0,1.3448233463334036
24,1994,1.368704353239497,0.0,1.368704353239497
25,1995,1.593854222549023,0.0,1.593854222549023
26,1996,1.6023503061182869,0.0,1.6023503061182869
27,1997,1.7510772703288973,0.0,1.7510772703288973
28,1998,1.5368786411458994,0.0,1.5368786411458994
29,1999,1.9422567142268925,0.0,1.9422567142268925
30,2000,2.2552369708022733,0.0,2.2552369708022733
31,2001,2.47064393011705,0.0,2.47064393011705
32,2002,2.454599967849201,0.0,2.454599967849201
33,2003,2.694357252371757,0.0,2.694357252371757
34,2004,3.197270386743741,0.0,3.197270386743741
35,2005,3.494713798565157,0.0,3.494713798565157
36,2006,3.5359933403752373,0.0,3.5359933403752373
37,2007,3.53185411168028,0.0,3.53185411168028
38,2008,3.8658330597120094,0.0,3.8658330597120094
39,2009,4.28329937314542,0.0,4.28329937314542
40,2010,4.029385985004601,0.0,4.029385985004601
41,2011,5.139803851132246,0.0,5.139803851132246
42,2012,5.656881523807751,0.0,5.656881523807751
43,2013,6.1590388106200935,0.0,6.1590388106200935
44,2014,7.030409621876133,0.0,7.030409621876133
45,2015,7.245793522757358,0.0,7.245793522757358
46,2016,6.910648501096564,0.0,6.910648501096564
47,2017,8.062487098409584,0.0,8.062487098409584
48,2018,8.513923505873425,0.0,8.513923505873425
49,2019,7.891259707944666,0.0,7.891259707944666
