,Year,Total,Processed,Fresh
0,1970,0.103388409,0.103388409,0.0
1,1971,0.164691492,0.164691492,0.0
2,1972,0.10910165,0.10910165,0.0
3,1973,0.075976009,0.075976009,0.0
4,1974,0.056113049,0.056113049,0.0
5,1975,0.083343751,0.083343751,0.0
6,1976,0.11924691,0.11924691,0.0
7,1977,0.1244103,0.1244103,0.0
8,1978,0.099737179,0.099737179,0.0
9,1979,0.061318344,0.061318344,0.0
10,1980,0.022395335,0.022395335,0.0
11,1981,0.037396833,0.037396833,0.0
12,1982,0.091305322,0.091305322,0.0
13,1983,0.078529451,0.078529451,0.0
14,1984,0.040618072,0.040618072,0.0
15,1985,0.043612087,0.043612087,0.0
16,1986,0.039891794,0.039891794,0.0
17,1987,0.072074595,0.072074595,0.0
18,1988,0.126111639,0.126111639,0.0
19,1989,0.066304954,0.066304954,0.0
20,1990,0.08075736,0.08075736,0.0
21,1991,0.073374807,0.073374807,0.0
22,1992,0.068390075,0.068390075,0.0
23,1993,0.110068971,0.110068971,0.0
24,1994,0.076067812,0.076067812,0.0
25,1995,0.119839284,0.119839284,0.0
26,1996,0.060237256,0.060237256,0.0
27,1997,0.074327989,0.074327989,0.0
28,1998,0.104583235,0.104583235,0.0
29,1999,0.085497413,0.085497413,0.0
30,2000,0.090373072,0.090373072,0.0
31,2001,0.084599499,0.084599499,0.0
32,2002,0.084594212,0.084594212,0.0
33,2003,0.08051726,0.08051726,0.0
34,2004,0.074112566,0.074112566,0.0
35,2005,0.1076476,0.1076476,0.0
36,2006,0.076694862,0.076694862,0.0
37,2007,0.095077513,0.095077513,0.0
38,2008,0.102343937,0.102343937,0.0
39,2009,0.091375244,0.091375244,0.0
40,2010,0.089329635,0.089329635,0.0
41,2011,0.068556901,0.068556901,0.0
42,2012,0.08675168,0.08675168,0.0
43,2013,0.111181274,0.111181274,0.0
44,2014,0.078885783,0.078885783,0.0
45,2015,0.106675448,0.106675448,0.0
46,2016,0.083847156,0.083847156,0.0
47,2017,0.09331872,0.09331872,0.0
