,Year,Total,Processed,Fresh
0,1970,110.751604739577,82.18055423459103,28.57105050498598
1,1971,113.5319478605889,84.54505093721295,28.986896923375948
2,1972,116.05208140895884,88.92919669259838,27.12288471636045
3,1973,115.81851099860936,88.68537949517884,27.13313150343052
4,1974,116.066122919482,89.06299876581173,27.003124153670274
5,1975,129.1649337280611,100.2834966073631,28.881437120698003
6,1976,130.9085947094598,102.4739752018978,28.43461950756201
7,1977,142.36536660852542,116.2769529014282,26.08841370709723
8,1978,127.6430758648174,101.49089027396704,26.152185590850376
9,1979,116.55483796470683,93.62077869713808,22.934059267568767
10,1980,123.90159337992569,98.01058423958747,25.89100914033822
11,1981,128.33115948684178,104.97019358228778,23.360965904554003
12,1982,118.2499664831148,94.86954127071184,23.38042521240295
13,1983,137.15353152174666,109.27950998910596,27.8740215326407
14,1984,114.17424425978804,91.67926600750484,22.49497825228317
15,1985,116.8666661989288,95.33325139011416,21.53341480881464
16,1986,120.10541853735194,95.79517184535617,24.310246691995783
17,1987,111.6486478532241,87.4020861086077,24.246561744616397
18,1988,101.59138612496464,76.2074127241692,25.38397340079542
19,1989,105.59781804750386,82.01221987366335,23.58559817384052
20,1990,104.2277133783501,82.48785664255388,21.739856735796224
21,1991,106.1845332595322,87.1725049521692,19.012028307363
22,1992,99.0008271594692,74.76819422371037,24.232632935758826
23,1993,114.3431468633022,88.5663582353493,25.77678862795289
24,1994,116.59688588820288,91.89320561843113,24.70368026977178
25,1995,108.43847866784012,84.61670564313293,23.821773024707177
26,1996,117.53030611414232,92.97208324383668,24.55822287030563
27,1997,116.59021800924178,90.08497786520996,26.505240144031838
28,1998,131.6729815380708,105.11032756735544,26.562653970715346
29,1999,106.78826243553164,86.41988361467824,20.368378820853398
30,2000,117.90643828407418,94.47279593381832,23.433642350255862
31,2001,114.63648708266524,90.72777133911552,23.908715743549703
32,2002,107.85146907808532,84.48966138524843,23.36180769283689
33,2003,107.81888510249551,84.00802796154991,23.810857140945604
34,2004,106.82581943187876,84.14262610269343,22.68319332918533
35,2005,100.13878775735574,78.5210695496061,21.61771820774965
36,2006,93.32646267542196,71.6937572648757,21.632705410546265
37,2007,85.4148880725639,67.48451040070444,17.93037767185946
38,2008,82.7199814635392,62.11625275489829,20.60372870864092
39,2009,85.05864312714657,64.3808067007839,20.677836426362664
40,2010,82.37686366844812,60.802609549330434,21.57425411911769
41,2011,86.6984480391052,63.92134916111076,22.77709887799444
42,2012,76.17170044700364,52.659660177241705,23.512040269761936
43,2013,79.12556379434669,55.177007221334186,23.9485565730125
44,2014,75.9301771005518,52.669847343450336,23.26032975710147
45,2015,74.89776734760707,52.164196725289486,22.73357062231759
46,2016,76.62085726329255,52.57209675230544,24.048760510987115
47,2017,73.39535554322754,49.58873533534369,23.80662020788385
48,2018,73.02174465202691,49.069162182336285,23.952582469690636
49,2019,73.53527350792416,47.86847171428779,25.66680179363636
50,2020,73.4177701977496,46.69551130464872,26.72225889310089
