,Year,Total,Processed,Fresh
0,1970.0,0.2782,0.2782,0.0
1,1971.0,0.2782,0.2782,0.0
2,1972.0,0.2675,0.2675,0.0
3,1973.0,0.3531,0.3531,0.0
4,1974.0,0.2782,0.2782,0.0
5,1975.0,0.3638,0.3638,0.0
6,1976.0,0.3531,0.3531,0.0
7,1977.0,0.3852,0.3852,0.0
8,1978.0,0.3638,0.3638,0.0
9,1979.0,0.2782,0.2782,0.0
10,1980.0,0.1498,0.1498,0.0
11,1981.0,0.1926,0.1926,0.0
12,1982.0,0.2782,0.2782,0.0
13,1983.0,0.2675,0.2675,0.0
14,1984.0,0.3424,0.3424,0.0
15,1985.0,0.2568,0.2568,0.0
16,1986.0,0.1605,0.1605,0.0
17,1987.0,0.1819,0.1819,0.0
18,1988.0,0.2461,0.2461,0.0
19,1989.0,0.2461,0.2461,0.0
20,1990.0,0.2461,0.2461,0.0
21,1991.0,0.2383073496659242,0.2383073496659242,0.0
22,1992.0,0.1738235363263771,0.1738235363263771,0.0
23,1993.0,0.2287305502186107,0.2287305502186107,0.0
24,1994.0,0.1591606565388536,0.1591606565388536,0.0
25,1995.0,0.182164508534432,0.182164508534432,0.0
26,1996.0,0.1722208755514617,0.1722208755514617,0.0
27,1997.0,0.1580434478183962,0.1580434478183962,0.0
28,1998.0,0.2104446674022125,0.2104446674022125,0.0
29,1999.0,0.1867913201699125,0.1867913201699125,0.0
30,2000.0,0.1310073633691134,0.1310073633691134,0.0
31,2001.0,0.1538568994066161,0.1538568994066161,0.0
32,2002.0,0.1950169401001913,0.1950169401001913,0.0
33,2003.0,0.1467265170677147,0.1467265170677147,0.0
34,2004.0,0.1370975990812065,0.1370975990812065,0.0
35,2005.0,0.1413525778533093,0.1413525778533093,0.0
36,2006.0,0.17555251801552,0.17555251801552,0.0
37,2007.0,0.1328316508679258,0.1328316508679258,0.0
38,2008.0,0.2221079705882645,0.2221079705882645,0.0
39,2009.0,0.2288014107181929,0.2288014107181929,0.0
40,2010.0,0.3180500831348271,0.3180500831348271,0.0
41,2011.0,0.3530215585126058,0.3530215585126058,0.0
42,2012.0,0.3526410887326306,0.3526410887326306,0.0
43,2013.0,0.3720717625761799,0.3720717625761799,0.0
44,2014.0,0.4143767356047747,0.4143767356047747,0.0
45,2015.0,0.4060584757813152,0.4060584757813152,0.0
46,2016.0,0.3578903737270186,0.3578903737270186,0.0
47,2017.0,0.4635496414324183,0.4635496414324183,0.0
48,2018.0,0.4023671233967266,0.4023671233967266,0.0
49,2019.0,0.447778063839535,0.447778063839535,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
