,Year,Total,Processed,Fresh
0,1970,19.45227469543547,11.23680147751436,8.21547321792111
1,1971,21.20498109691805,12.656009353386423,8.548971743531625
2,1972,21.036223157923075,12.471515642498291,8.564707515424786
3,1973,21.6119057122148,13.042433948819294,8.569471763395503
4,1974,20.50515792382648,12.294701064359607,8.210456859466873
5,1975,21.548195189378983,13.190326850237584,8.3578683391414
6,1976,19.709547693335622,10.448555961605278,9.260991731730348
7,1977,22.1058711945781,14.378876363868956,7.726994830709146
8,1978,24.35482529160309,16.00980526695042,8.345020024652674
9,1979,21.378551578081154,14.086415692614468,7.292135885466687
10,1980,17.49911024628294,10.20188921391832,7.297221032364617
11,1981,19.687055496573237,13.034268922100775,6.652786574472455
12,1982,19.393968134142703,12.192624458632116,7.201343675510586
13,1983,19.37056467592675,11.534205481337304,7.836359194589448
14,1984,12.209167996855744,6.228417311807842,5.980750685047901
15,1985,16.625823698325053,11.11924596995744,5.5065777283676125
16,1986,14.617891211763697,8.485345455247618,6.132545756516078
17,1987,17.88069156203627,11.53527995498204,6.345411607054229
18,1988,12.75393947263499,6.065685059381498,6.688254413253492
19,1989,16.30890584670147,9.70491517154389,6.60399067515758
20,1990,19.24443023704844,14.652925405130024,4.591504831918411
21,1991,14.411607216945423,8.55383335623694,5.857773860708486
22,1992,12.48150355293019,6.561816545164156,5.919687007766035
23,1993,14.659510844252086,8.467512266864668,6.191998577387418
24,1994,16.191442191547587,10.12399385828425,6.0674483332633375
25,1995,15.782503573788476,9.788310156846382,5.9941934169420925
26,1996,15.08983577867924,9.247847495957936,5.841988282721303
27,1997,15.17174324689967,8.996485286994012,6.175257959905657
28,1998,15.614226693884564,9.683677510631703,5.930549183252859
29,1999,14.64076102634409,8.895629812117518,5.745131214226574
30,2000,13.216655894908593,8.129307153379065,5.087348741529526
31,2001,13.222136660325567,8.37629028455156,4.845846375774007
32,2002,11.63278189152577,7.004799853846034,4.627982037679737
33,2003,10.071509815700573,5.973067678675394,4.098442137025178
34,2004,10.11324292060543,5.972344228448023,4.140898692157406
35,2005,6.264413141288526,3.615117605403897,2.649295535884629
36,2006,5.470309305158844,3.1633668085587576,2.306942496600087
37,2007,7.152070444232493,4.3151534378283465,2.836917006404146
38,2008,7.389277896744991,4.23317787325587,3.1561000234891208
39,2009,6.601743029239989,3.806508569131555,2.7952344601084333
40,2010,5.977637517137915,3.2142001259830564,2.763437391154859
41,2011,6.247830044166028,3.53414812911326,2.713681915052767
42,2012,5.069864477339549,2.6984352923985058,2.371429184941044
43,2013,5.711036185002145,3.073987161518698,2.637049023483447
44,2014,5.147254584870579,2.747058632912952,2.4001959519576275
45,2015,4.465730756636374,2.2295914537100483,2.236139302926325
46,2016,3.848577393310292,1.875060944508148,1.973516448802144
47,2017,3.605406093568248,1.6897087049179156,1.915697388650332
48,2018,2.990893668649446,1.4335992066425456,1.5572944620069
49,2019,3.6126333196158833,2.1794231132149315,1.4332102064009518
50,2020,2.886215144360748,1.353114971285015,1.533100173075733
