,Year,Total,Processed,Fresh
0,1970,4.223510304195752,2.165536019308409,2.0579742848873432
1,1971,4.7166398341615565,2.46212819544138,2.2545116387201767
2,1972,4.407167248237338,2.5410673138136195,1.866099934423718
3,1973,5.936708372633126,3.997385671967202,1.939322700665924
4,1974,4.361583078165799,2.350687581011778,2.010895497154021
5,1975,8.198879826548986,6.246532328979999,1.9523474975689872
6,1976,4.206560630138879,2.312182592874088,1.894378037264792
7,1977,6.533135382495586,4.422805469502096,2.11032991299349
8,1978,6.846413848842093,4.712557963129354,2.1338558857127383
9,1979,4.470875036294195,2.5592273915082746,1.91164764478592
10,1980,5.2480402382855456,3.3307822001227643,1.9172580381627813
11,1981,8.53836679959989,6.53018987756457,2.0081769220353194
12,1982,6.694138615746008,4.628905895127554,2.065232720618454
13,1983,6.674754545220767,4.355851912807193,2.3189026324135744
14,1984,5.17920105359305,3.02412745077214,2.1550736028209103
15,1985,6.120109277881651,3.821938576987215,2.298170700894436
16,1986,5.272966532853721,2.802903354225958,2.470063178627764
17,1987,7.859935396883168,5.380879710816266,2.479055686066902
18,1988,5.14511848053742,2.674835958537756,2.4702825219996645
19,1989,5.120341648255247,2.733332258431347,2.3870093898239
20,1990,6.231616663784541,3.631123619092814,2.6004930446917265
21,1991,6.0794155128467295,3.483017893260325,2.5963976195864045
22,1992,5.73916640405217,3.2137132549302567,2.525453149121913
23,1993,6.996989541059993,4.3633586703669724,2.633630870693021
24,1994,7.39174864154155,4.738329072896282,2.6534195686452686
25,1995,6.040980693046333,3.2065494288034144,2.8344312642429186
26,1996,6.878081712511958,4.020288901744891,2.8577928107670667
27,1997,6.9521409783656,4.19601627317692,2.7561247051886792
28,1998,6.773229473374004,4.3124864992928895,2.4607429740811138
29,1999,5.622098115217355,3.01219344262295,2.6099046725944053
30,2000,6.347068068447127,3.9058674335174537,2.441200634929674
31,2001,8.208016429125793,5.2425670587772695,2.9654493703485243
32,2002,6.633296486395714,3.2978264654157243,3.335470020979989
33,2003,8.681880733108226,5.35490197163536,3.3269787614728656
34,2004,6.48704834381269,3.363598442242869,3.123449901569821
35,2005,7.194379994024362,4.2484864492653855,2.9458935447589765
36,2006,7.921018074736205,3.773787939834963,4.147230134901242
37,2007,6.423506641104373,3.6158889315690113,2.8076177095353616
38,2008,5.168567248232196,3.2017681115060523,1.9667991367261437
39,2009,7.3493669672644675,4.227361636497479,3.1220053307669886
40,2010,6.74208089614984,3.953194254100815,2.788886642049025
41,2011,8.585810114877404,5.1230286932985045,3.4627814215789
42,2012,7.921727440476392,3.9779352710004976,3.943792169475895
43,2013,8.029794665010249,4.548018301280029,3.48177636373022
44,2014,7.1575272186886245,3.733639497007309,3.4238877216813157
45,2015,8.832954346340186,5.234111743661575,3.598842602678611
46,2016,9.195157447286364,5.045607786599987,4.149549660686377
47,2017,9.77699552190388,5.515745433227383,4.261250088676499
48,2018,9.370572510890046,5.141953912265097,4.228618598624948
49,2019,10.138837443021462,5.255529581494401,4.883307861527061
50,2020,10.627735870617208,5.680026876107456,4.947708994509753
