,Year,Total,Processed,Fresh
0,1970,0.3218068276027844,0.1471677565256636,0.1746390710771208
1,1971,0.3714897368089661,0.2034233239371131,0.168066412871853
2,1972,0.4777016709985306,0.2680490338268308,0.2096526371716998
3,1973,0.4592743559968718,0.2464630186980117,0.2128113372988601
4,1974,0.4344109856667856,0.2348167490090733,0.1995942366577123
5,1975,0.4694529872377646,0.2512434223076243,0.2182095649301403
6,1976,0.4486515120108708,0.20267624772565,0.2459752642852207
7,1977,0.426135715556691,0.1916241975736726,0.2345115179830184
8,1978,0.2650388076414255,0.0451514152711116,0.2198873923703138
9,1979,0.3690349094320237,0.0982735130547428,0.2707613963772809
10,1980,0.5443517582170094,0.1854705874560059,0.3588811707610035
11,1981,0.6112686022792296,0.1921926119412764,0.4190759903379532
12,1982,0.6429136906950688,0.2595638462170732,0.3833498444779954
13,1983,0.7898997951329063,0.2742990373818156,0.5156007577510907
14,1984,0.6819678399218302,0.2294113898506702,0.45255645007116
15,1985,0.8454610615679632,0.2886744629525707,0.5567865986153924
16,1986,0.9709045793194208,0.3903330505969311,0.5805715287224897
17,1987,0.8881447250873769,0.3810516171894183,0.5070931078979585
18,1988,0.7479397123028777,0.1904495798745329,0.5574901324283448
19,1989,0.93830694600723,0.2459215570930706,0.6923853889141595
20,1990,1.2342690401841794,0.5737258867089383,0.6605431534752412
21,1991,1.2262594919984673,0.4730586773539215,0.7532008146445458
22,1992,1.4104114822390728,0.3873288927259582,1.0230825895131146
23,1993,1.1475355096277715,0.1947407330900551,0.9527947765377168
24,1994,1.20316524907363,0.2330714414460809,0.9700938076275488
25,1995,1.6921903580097422,0.509009452197877,1.1831809058118652
26,1996,1.4230038075349087,0.2822510227233662,1.1407527848115426
27,1997,1.6361778312112565,0.4875818701263507,1.1485959610849057
28,1998,1.6291430948564076,0.2288459634850148,1.4002971313713928
29,1999,1.548581328899682,0.2165922688183257,1.3319890600813564
30,2000,1.8940374905158983,0.4999209522296716,1.394116538286227
31,2001,2.0526748627202127,0.551145020531049,1.501529842189164
32,2002,1.4527831721332531,0.3522504649263084,1.1005327072069446
33,2003,2.081836947849792,0.3123104056257458,1.7695265422240458
34,2004,2.5422723443812,0.6921681699977151,1.850104174383485
35,2005,2.770804438962372,0.679702019693384,2.091102419268988
36,2006,3.072897813055998,0.8178674533733894,2.2550303596826087
37,2007,2.848246578149688,0.5781452516169144,2.2701013265327736
38,2008,3.2195109194508595,0.7387867103072314,2.480724209143628
39,2009,3.6185590523567024,1.0699420728154387,2.548616979541264
40,2010,3.5234965091372854,0.9527096821716516,2.5707868269656338
41,2011,3.5494420266284523,1.0450677716389472,2.5043742549895054
42,2012,3.740386331786193,1.17221053716851,2.5681757946176837
43,2013,3.9928204676342887,1.0301622178822851,2.962658249752004
44,2014,4.022377538321566,0.9543510831281752,3.0680264551933902
45,2015,3.97941378052929,0.9628211199218644,3.0165926606074263
46,2016,4.345312870256033,0.8680124530007739,3.4773004172552597
47,2017,4.732247861963571,0.9808930533957416,3.751354808567829
48,2018,5.132291119587325,1.0758270999101616,4.056464019677164
49,2019,5.163504972630922,1.0602561307316474,4.1032488418992745
50,2020,5.107833022672956,0.8340760405165214,4.273756982156435
