,Year,Total,Processed,Fresh
0,1970,127.24950391492976,55.21753520340879,72.03196871152097
1,1971,128.86821571834682,57.02967088726651,71.8385448310803
2,1972,115.9954879690271,48.76366751937098,67.23182044965611
3,1973,120.18728032324158,50.654328173419614,69.53295214982197
4,1974,119.7651865749188,50.693910364476594,69.0712762104422
5,1975,123.31075788228397,50.90677321600854,72.40398466627542
6,1976,127.1656435100656,53.682302290776725,73.48334121928886
7,1977,126.58438371718108,53.10837507294042,73.47600864424066
8,1978,132.62043223765176,55.13477496825169,77.48565726940008
9,1979,134.6749410045234,57.699539419242925,76.97540158528047
10,1980,142.1280141165064,61.6455859229821,80.4824281935243
11,1981,133.75593765981031,53.742179699730336,80.01375796007999
12,1982,145.56692955267349,60.89686512825336,84.67006442442012
13,1983,143.2630742297087,60.46194513569615,82.80112909401257
14,1984,153.1117469299122,62.93332599503974,90.17842093487248
15,1985,154.01542898072023,64.68830793939162,89.32712104132862
16,1986,159.2023602845424,64.69075249583553,94.51160778870688
17,1987,165.26441177981224,67.84287243414998,97.42153934566224
18,1988,165.708514285377,69.63640843141344,96.07210585396356
19,1989,168.72153548147196,69.16647826672086,99.55505721475112
20,1990,166.7350006768088,71.14350699463047,95.59149368217832
21,1991,162.6353881642438,68.61482534278672,94.0205628214571
22,1992,170.81100762662302,70.75245131211193,100.0585563145111
23,1993,168.98140371046497,71.4547285911169,97.52667511934808
24,1994,171.35960263481286,70.74389558478792,100.61570705002492
25,1995,166.54500419971896,66.9569190340772,99.58808516564176
26,1996,168.97669802239884,66.88156929850163,102.0951287238972
27,1997,170.08370875222897,66.35603098801082,103.72767776421816
28,1998,168.298890996004,65.43920028546826,102.85969071053574
29,1999,178.12910390490043,67.99052596976887,110.13857793513158
30,2000,170.24908952813857,64.97537145783147,105.2737180703071
31,2001,166.52803840572366,64.51458353452631,102.01345487119735
32,2002,168.06435335639685,64.32892162403725,103.7354317323596
33,2003,172.3601588247241,67.9942632278267,104.3658955968974
34,2004,172.52851589124083,67.37389355246226,105.15462233877857
35,2005,170.65539833790186,67.00027035159731,103.65512798630456
36,2006,176.2603578470729,69.98427675890086,106.27608108817202
37,2007,177.02708027509618,71.35498455431612,105.67209572078008
38,2008,174.6661549612582,68.58223709404513,106.08391786721307
39,2009,169.26408701240751,65.98172288225875,103.28236413014876
40,2010,173.4974567596055,66.50250373627179,106.99495302333372
41,2011,167.7372272764415,61.0983906468337,106.6388366296078
42,2012,168.25236096524137,60.031609469604646,108.22075149563672
43,2013,175.69742238078123,63.24165146565137,112.45577091512985
44,2014,174.24702671679677,61.09452203853735,113.1525046782594
45,2015,177.05116228469754,63.75413341102792,113.29702887366962
46,2016,179.7275109549982,62.20958353577405,117.51792741922414
47,2017,178.69101480945784,60.35047873556452,118.34053607389332
48,2018,167.29073334954515,51.60440529899716,115.68632805054798
49,2019,162.59676141345366,49.468258822240415,113.12850259121323
