,Year,Total,Processed,Fresh
0,1970,83.7630642749242,67.67599855500926,16.08706571991495
1,1971,83.75696048017366,68.06751951629504,15.68944096387863
2,1972,86.57089290309234,72.1561827609267,14.414710142165644
3,1973,84.27868196062144,69.92808807362277,14.350593886998666
4,1974,87.13118339453115,72.77875136146186,14.352432033069288
5,1975,94.77867154515997,78.97350145445417,15.805170090705786
6,1976,102.15417266377884,87.47735472170531,14.67681794207352
7,1977,108.94890597536498,95.573754435447,13.375151539918
8,1978,92.11722516924108,78.73166459687546,13.38556057236561
9,1979,86.41637022019786,74.97303859015187,11.44333163004599
10,1980,95.68224401742168,81.43905702955028,14.243186987871388
11,1981,95.53190662455694,83.19156935730874,12.3403372672482
12,1982,86.98346576248488,75.31443893939326,11.669026823091636
13,1983,106.43589088083505,91.4223744259276,15.013516454907451
14,1984,92.45657585267097,80.59649241638209,11.86008343628886
15,1985,90.3939411376918,78.71103455981488,11.682906577876928
16,1986,96.50370244274478,82.97645343900076,13.52724900374401
17,1987,81.66552868634716,68.52547333305809,13.140055353289071
18,1988,79.61760472060203,65.71812671667584,13.899478003926196
19,1989,79.9084496866371,67.7407749690396,12.167674717597492
20,1990,75.10497310163889,62.53906390169646,12.565909199942428
21,1991,82.14303526167826,73.71505894675043,8.427976314927827
22,1992,76.43911965726866,63.60136945679688,12.837750200471788
23,1993,88.55527889620073,74.4174064249706,14.13787247123014
24,1994,88.28811003844753,75.37091952538174,12.917190513065794
25,1995,81.6843667585877,69.86109087388012,11.823275884707586
26,1996,90.74660982772188,78.17765626647783,12.568953561244053
27,1997,88.31017124177393,74.40427849979116,13.905892741982765
28,1998,104.0118898050739,89.40710556662253,14.60478423845137
29,1999,81.47525303676423,73.09463626238589,8.380616774378343
30,2000,91.97048878273608,80.32160647902543,11.648882303710655
31,2001,87.21495690312834,75.33840689122704,11.876550011901308
32,2002,84.2654508455936,72.5211828271393,11.744268018454308
33,2003,83.10244936665714,71.20663304085845,11.89581632579869
34,2004,83.98724553309486,73.1841600625954,10.803085470499475
35,2005,80.59589943198222,69.1672429748566,11.428656457125609
36,2006,73.04959494872591,62.80565904106045,10.243935907665454
37,2007,65.46129632963711,58.00086521992281,7.460431109714301
38,2008,62.570576258083165,52.64229725405858,9.928279004024578
39,2009,63.53892068559146,54.479910524772976,9.059010160818485
40,2010,61.35605552529891,51.67285639861745,9.683199126681467
41,2011,63.06714671929589,53.10018088679362,9.966965832502265
42,2012,54.23667662134493,43.7653313804719,10.471345240873026
43,2013,56.01133848382569,45.62006642784105,10.391272055984638
44,2014,53.71583048012098,44.332080606468,9.383749873652976
45,2015,50.891364491345854,42.21508092353754,8.67628356780831
46,2016,52.00423818469714,42.82490269549111,9.17933548920603
47,2017,47.34408985090201,39.309038275720575,8.03505157518143
48,2018,48.465719982723286,40.2643639590831,8.201356023640189
49,2019,46.19456798767477,37.733980252433305,8.460587735241466
50,2020,46.853819692603096,37.50006851550965,9.35375117709344
