,Year,Total,Processed,Fresh
0,1970,13.070340949651465,7.252304549128668,5.818036400522796
1,1971,12.944065832946832,7.287250157398705,5.656815675548129
2,1972,10.523065273403851,6.639237091828214,3.8838281815756375
3,1973,10.42957598069855,6.168312891353595,4.261263089344955
4,1974,11.473770464066824,7.138569813155455,4.33520065091137
5,1975,11.376575975424911,6.395397772594005,4.981178202830909
6,1976,11.361546889587178,6.226132850556748,5.13541403903043
7,1977,11.698004287138074,6.604900885833128,5.093103401304947
8,1978,12.022212386780822,5.932529793614165,6.089682593166656
9,1979,12.652219372988974,5.991332034338424,6.660887338650551
10,1980,13.219471985287653,6.135603652290982,7.083868332996671
11,1981,11.8949667826577,5.023364023989027,6.871602758668672
12,1982,10.157409450344243,4.811090949818806,5.346318500525437
13,1983,9.70307927992219,4.271064871475152,5.432014408447038
14,1984,11.29857279243154,4.599116905349779,6.69945588708176
15,1985,10.098030266520002,4.602705985490422,5.495324281029581
16,1986,10.653811448357398,4.817164187386117,5.836647260971281
17,1987,10.497447316730362,4.447868232366019,6.049579084364344
18,1988,11.411759085998344,4.6624396399100485,6.749319446088294
19,1989,10.722600390433998,4.8673837268669535,5.855216663567044
20,1990,9.865631919281093,4.327064282993052,5.53856763628804
21,1991,11.16900960336121,4.760008171369004,6.4090014319922055
22,1992,10.928617329780415,4.938489105687989,5.990128224092427
23,1993,10.33262167088128,4.489717596031612,5.842904074849667
24,1994,10.081388378989509,4.665572013724319,5.415816365265189
25,1995,8.966375152632958,3.644125127310044,5.322250025322914
26,1996,8.739021856643326,4.363670033839645,4.375351822803681
27,1997,10.16669926269261,4.656395901136527,5.510303361556084
28,1998,8.755735807171318,4.0639101697567614,4.691825637414556
29,1999,9.557916248893186,4.274586202049577,5.283330046843609
30,2000,10.00382440723862,4.700899002624436,5.302925404614183
31,2001,9.506735931433957,4.348892713479497,5.15784321795446
32,2002,9.85351215114166,4.626411408938871,5.227100742202791
33,2003,9.582584841133247,4.410740350056006,5.171844491077243
34,2004,9.696141598251335,4.55021078243197,5.145930815819368
35,2005,9.147893138919065,4.321756084654525,4.826137054264538
36,2006,8.241269071872228,3.660027220083829,4.581241851788398
37,2007,9.202507769404846,4.740050472865874,4.462457296538972
38,2008,9.088542182577443,4.00763770703571,5.080904475541734
39,2009,8.593841857424255,4.182486922006511,4.411354935417745
40,2010,8.803296317199148,4.076080762568473,4.727215554630676
41,2011,7.869539635027385,3.402182601451814,4.467357033575571
42,2012,7.318334540262933,3.454607143559547,3.8637273967033856
43,2013,6.604631474533948,3.5875161021284487,3.017115372405499
44,2014,6.550342241856932,3.397583512808247,3.152758729048685
45,2015,6.516496133498773,3.6054153390019312,2.9110807944968413
46,2016,6.02532642616182,3.291831740907229,2.7334946852545903
47,2017,5.5613844879197565,2.897680222688266,2.6637042652314906
