,Year,Total,Processed,Fresh
0,1970,5.294913744487342,3.3724122850737563,1.9225014594135856
1,1971,6.6607964730270375,4.095240885182065,2.5655555878449725
2,1972,6.0396361363603726,3.732499809493722,2.3071363268666505
3,1973,6.702434549849516,4.111729049458493,2.590705500391023
4,1974,6.323784162079914,3.8150020156669737,2.50878214641294
5,1975,6.72588945335945,3.960350745588119,2.765538707771332
6,1976,7.272570508302817,4.422205460742993,2.850365047559824
7,1977,6.966589841636289,4.573568612412687,2.3930212292236024
8,1978,6.208478526889925,3.8989836357725633,2.3094948911173616
9,1979,7.069108085229939,4.761020621803319,2.308087463426619
10,1980,7.335666692132073,4.694918804067989,2.6407478880640847
11,1981,7.327543929989473,4.476541252396948,2.851002677592525
12,1982,7.026765387593715,4.154258822791437,2.8725065648022774
13,1983,6.7526534925982125,3.736649858135967,3.0160036344622454
14,1984,5.82982260339444,3.2659379038596343,2.563884699534805
15,1985,6.113599435713444,3.302273278083784,2.81132615762966
16,1986,6.531857041871489,3.5310808711473136,3.000776170724176
17,1987,7.527200188598089,3.982300608807862,3.5448995797902265
18,1988,6.861170341542989,3.6146880334944114,3.246482308048577
19,1989,7.11082889726428,3.814399629605562,3.2964292676587177
20,1990,7.287153824715776,4.0307022182989565,3.25645160641682
21,1991,6.7041276117655,3.5217853895962112,3.1823422221692885
22,1992,6.955864490192545,3.798087095535512,3.1577773946570336
23,1993,6.849732680271689,3.4621326045021057,3.3876000757695834
24,1994,7.286527514231499,3.8091852824728254,3.4773422317586733
25,1995,6.413203090807565,3.0213587177978,3.3918443730097647
26,1996,5.959619766474859,2.87329154096013,3.086328225514729
27,1997,6.93657871462264,3.5079009433962263,3.428677771226414
28,1998,6.830875754298574,3.361004926336181,3.4698708279623927
29,1999,7.027911476295042,3.456345037618344,3.571566438676698
30,2000,6.306074347987016,2.8755423452536872,3.4305320027333286
31,2001,6.31739825798077,3.034307326741528,3.283090931239242
32,2002,5.728299776670928,2.6367343827605354,3.0915653939103924
33,2003,5.812732477893976,2.7047048448501645,3.1080276330438115
34,2004,5.537380157950311,2.55391844380075,2.983461714149561
35,2005,5.2612594579875696,2.321687697622173,2.9395717603653964
36,2006,5.625831841891591,2.407050587855448,3.2187812540361422
37,2007,5.4273422333548,2.310061162510998,3.117281070843802
38,2008,5.397619989444113,2.2614984031856005,3.136121586258513
39,2009,5.676153751695592,2.461519070980702,3.21463468071489
40,2010,4.883016746538028,1.957743088192728,2.9252736583453003
41,2011,5.403897896902431,2.16874232397228,3.2351555729301515
42,2012,4.83345639000597,2.05136933157946,2.7820870584265096
43,2013,4.883692354341454,2.0264134330806582,2.857278921260795
44,2014,4.853015541302406,1.9820208689675296,2.870994672334876
45,2015,4.693296613889928,2.0096603085511813,2.683636305338746
46,2016,4.375813502404523,1.5977946091362272,2.778018893268296
47,2017,4.381874391795471,1.6728848837107977,2.7089895080846724
48,2018,4.595296775635078,1.65349785184115,2.9417989237939284
49,2019,4.227433229527948,1.418718844176161,2.8087143853517875
