,Year,Total,Processed,Fresh
0,1970,11.82933946901274,11.13000466613347,0.6993348028792697
1,1971,11.727364749630407,11.084008510375083,0.6433562392553247
2,1972,11.39747159861074,10.622802238546708,0.7746693600640318
3,1973,9.594796578068888,8.687331581301407,0.9074649967674804
4,1974,8.721665067087825,7.825726716624425,0.8959383504634002
5,1975,10.121043589092151,9.095915448074528,1.0251281410176272
6,1976,10.264231204402964,9.119919511326165,1.1443116930767996
7,1977,10.920970666625802,9.564716778803936,1.3562538878218664
8,1978,10.808741772576766,9.374682873729135,1.4340588988476315
9,1979,12.000667000542087,10.549910518793183,1.4507564817489058
10,1980,12.05700523690751,10.570569783775236,1.486435453132273
11,1981,11.240404662123966,9.700176976292148,1.5402276858318185
12,1982,11.453475603183628,9.80222747666546,1.6512481265181662
13,1983,11.401280761739942,9.725701286948322,1.6755794747916195
14,1984,10.573795820324268,9.072196483752773,1.501599336571496
15,1985,12.205113366752492,10.738656932711582,1.4664564340409114
16,1986,13.74119095994199,12.01919520675584,1.7219957531861494
17,1987,13.204738650948912,11.586561026198083,1.6181776247508275
18,1988,13.235390036241794,11.479214035001084,1.7561760012407102
19,1989,14.155298001299764,12.193071610310769,1.962226390988995
20,1990,14.695326887235916,12.646768526050622,2.048558361185294
21,1991,14.710100588372478,12.799708585437486,1.9103920029349923
22,1992,15.164272294796463,13.172314522329998,1.9919577724664643
23,1993,13.781776578518308,11.745024162618517,2.036752415899791
24,1994,12.59653027884362,10.57973682616441,2.0167934526792086
25,1995,12.342248304551838,10.43485513911255,1.907393165439287
26,1996,12.32232540032803,10.42741426919222,1.894911131135808
27,1997,12.141753456787477,9.801233435681771,2.3405200211057045
28,1998,10.925599095559107,8.17425635793167,2.751342737627438
29,1999,13.058719656553665,10.02811788781452,3.0306017687391464
30,2000,12.558540498306806,9.337620881471636,3.2209196168351717
31,2001,12.178247320773831,9.01650264420614,3.1617446765676904
32,2002,13.132531862426776,9.313682543495917,3.8188493189308623
33,2003,14.161381015804697,9.768119424670171,4.393261591134524
34,2004,12.90555708035415,8.474870570221713,4.430686510132438
35,2005,13.514266814117036,8.610576582968669,4.903690231148366
36,2006,13.981978632745555,8.77998121689535,5.201997415850204
37,2007,12.6034420153928,7.584657914655458,5.018784100737343
38,2008,13.459647775322733,8.384967495765167,5.074680279557566
39,2009,13.283117617107514,8.196470777177048,5.086646839930467
40,2010,12.763364541551756,7.066009617799408,5.697354923752349
41,2011,13.13522174149493,7.416436421033811,5.718785320461119
42,2012,13.553243064235232,7.131013353234963,6.42222971100027
43,2013,13.911242862996382,7.169025166071227,6.742217696925154
44,2014,14.046181725895364,6.852563038944201,7.193618686951163
45,2015,13.906680227538567,6.92133345170656,6.985346775832009
46,2016,14.10961852397748,6.8302127342734735,7.279405789704007
47,2017,14.39917602453617,6.643913719682844,7.755262304853326
