,Year,Total,Processed,Fresh
0,1970,5.158221021990936,3.6824977908105527,1.4757232311803836
1,1971,4.585653286435319,3.30279324049506,1.2828600459402586
2,1972,3.9100736080846503,2.824774221721881,1.08529938636277
3,1973,3.6748984515961176,2.5258203095634526,1.1490781420326648
4,1974,4.313483319325991,2.810121212468042,1.5033621068579497
5,1975,4.092084191773186,2.7622883376617926,1.3297958541113934
6,1976,4.019933908807358,2.7692172807430566,1.2507166280643014
7,1977,4.404094744172748,2.8589551458273137,1.545139598345434
8,1978,4.000704733926985,2.4588218577223886,1.5418828762045962
9,1979,4.040113662969878,2.413844528758241,1.626269134211637
10,1980,3.946801478669684,2.4063537476244807,1.5404477310452036
11,1981,4.205366994945104,2.5003323376479383,1.7050346572971655
12,1982,3.581753189236048,2.5166679996483,1.065085189587748
13,1983,3.777366468190464,2.3638363559872437,1.4135301122032204
14,1984,3.9591792965627306,2.11867292460274,1.840506371959991
15,1985,3.726072799872159,2.2969130873764576,1.4291597124957016
16,1986,3.507710662999361,2.2147843921756376,1.2929262708237237
17,1987,4.601265572440589,2.689690804314858,1.911574768125731
18,1988,4.172045780036827,2.4553276211851367,1.7167181588516909
19,1989,3.9512238861112543,2.5412732913881584,1.4099505947230957
20,1990,3.7799284582833126,2.236151572479017,1.5437768858042955
21,1991,3.6012472369978337,2.184730804591416,1.4165164324064174
22,1992,3.6865699071788223,1.919911285334793,1.7666586218440292
23,1993,3.013546827436936,1.7447220209970975,1.2688248064398375
24,1994,3.555852475414813,1.956959385632096,1.5988930897827176
25,1995,2.759346062329625,1.831537000853093,0.9278090614765322
26,1996,3.641474576657695,2.2132130541132238,1.4282615225444717
27,1997,3.325610656958653,1.8158712537810724,1.509739403177581
28,1998,3.0322973337953907,1.8541070869779412,1.1781902468174492
29,1999,2.7019222346156417,1.427286226094186,1.2746360085214556
30,2000,2.751195384806936,1.56162149100946,1.1895738937974754
31,2001,2.8938607202330413,1.5678781511366189,1.3259825690964224
32,2002,2.9782452520641867,1.7226775926576714,1.255567659406515
33,2003,2.7754275636736905,1.53100352317029,1.2444240405034002
34,2004,2.4706882305305755,1.3484081564558663,1.122280074074709
35,2005,2.469037426385814,1.3587225628473971,1.1103148635384166
36,2006,2.245706171020185,1.2287172047026784,1.0169889663175062
37,2007,2.3364316871702915,1.3284711381023135,1.007960549067978
38,2008,2.205594742944573,1.2817319918661625,0.923862751078411
39,2009,1.9850725755672056,1.252808979533586,0.7322635960336196
40,2010,2.10148878742212,1.3175610339630794,0.783927753459041
41,2011,2.260972825401312,1.3950294119401467,0.8659434134611652
42,2012,1.7802836646937368,1.155122160907913,0.6251615037858239
43,2013,1.8322840244993115,1.2890643262005417,0.5432196982987698
44,2014,1.610424527631566,1.0843189772473585,0.5261055503842078
45,2015,1.692492457666097,1.134937496782055,0.5575549608840418
46,2016,1.9323936285969971,1.2719755784133382,0.6604180501836592
47,2017,1.564444789559904,0.8811737556248936,0.6832710339350104
48,2018,1.6926373072850138,1.08922688002409,0.6034104272609238
49,2019,1.617516378073222,1.0051744566998753,0.6123419213733468
