,Year,Total,Processed,Fresh
0,1970,2.9130366931314984,1.1788424399664477,1.7341942531650507
1,1971,3.101993152301106,1.2716061272940031,1.8303870250071028
2,1972,2.8423457331249766,1.1758061135038305,1.666539619621146
3,1973,2.6790933844244464,1.0986980260394794,1.580395358384967
4,1974,2.886936882171949,1.05998952556417,1.826947356607779
5,1975,3.0225861566029084,1.2251392535178005,1.797446903085108
6,1976,2.7594973284105766,1.103341206687,1.6561561217235763
7,1977,2.963548690286462,1.05108087123534,1.912467819051122
8,1978,3.291281982164117,1.1687535098950963,2.1225284722690207
9,1979,2.984128324187421,1.0823709759836484,1.9017573482037724
10,1980,3.187488824288838,1.222377242826906,1.9651115814619324
11,1981,3.3370873085586563,1.1639747614864806,2.173112547072176
12,1982,3.425847330611401,1.0570771960652574,2.368770134546144
13,1983,3.4330736170921057,1.1116576969531429,2.321415920138963
14,1984,4.036888232606156,1.0728817675630848,2.9640064650430715
15,1985,4.035268256271334,1.0493121870623066,2.985956069209028
16,1986,4.009796593407049,1.1172717337555216,2.892524859651528
17,1987,4.249284772903248,1.1344967133984614,3.114788059504786
18,1988,4.503287065190331,1.1692871223282906,3.3339999428620404
19,1989,4.479167849433996,1.225870795152879,3.253297054281117
20,1990,4.356238390833584,1.1177323220379072,3.238506068795676
21,1991,4.807481830744527,1.239584492356484,3.567897338388043
22,1992,4.773436077448286,1.1873733434023372,3.586062734045949
23,1993,4.773417893220112,1.1611683687152987,3.6122495245048127
24,1994,5.159243952990479,1.1163378961113894,4.04290605687909
25,1995,5.37328124941382,1.272634858585593,4.100646390828227
26,1996,5.580773620798986,1.2648061498069842,4.3159674709920015
27,1997,5.183265374919388,1.0868936507005922,4.0963717242187965
28,1998,5.164533944189921,1.2492232946417254,3.915310649548197
29,1999,5.771271131635011,1.203591964446195,4.567679167188816
30,2000,6.265200268038316,1.4030120958620322,4.862188172176284
31,2001,5.843197965992095,1.6292859690495798,4.213911996942516
32,2002,6.079414190601977,1.430643620579785,4.648770570022192
33,2003,6.964220841499306,1.6759450609170354,5.28827578058227
34,2004,6.962277276722121,1.4887280579333997,5.473549218788722
35,2005,7.722832980519255,1.8951285643218452,5.8277044161974105
36,2006,8.007971247825951,1.86995283569595,6.138018412130002
37,2007,7.953845948594104,1.6934409221255238,6.260405026468581
38,2008,8.223838105949866,1.7772007600803867,6.446637345869479
39,2009,8.710956123952437,1.5442143432972932,7.166741780655144
40,2010,9.15699937889131,1.9311638098453128,7.225835569045998
41,2011,9.008941638081636,1.6482019193114334,7.360739718770205
42,2012,9.810652692277667,1.8377487522725056,7.972903940005161
43,2013,9.750476823236149,1.742922936144635,8.007553887091511
44,2014,9.880336285454485,1.918060281560856,7.962276003893629
45,2015,9.645088382125993,1.9216687643492965,7.723419617776696
46,2016,9.16886342443272,1.7734776928600462,7.395385731572674
47,2017,8.562623041210829,1.7548730149889904,6.8077500262218384
48,2018,8.207938286802495,1.8019792063647853,6.40595908043771
49,2019,7.652164920362072,1.8540276842084515,5.798137236153621
