,Year,Total,Processed,Fresh
0,1970,2.990948637418801,0.9550504262333456,2.0358982111854558
1,1971,3.4818767125266654,1.1559705481529994,2.325906164373666
2,1972,3.5600964287075505,1.4923819415329498,2.0677144871746007
3,1973,3.531940597143114,1.4710087820715498,2.060931815071564
4,1974,3.633787537291797,1.4040420099694182,2.229745527322379
5,1975,4.169734179735428,1.6218925513837377,2.547841628351691
6,1976,4.389662210195612,2.033205677987479,2.356456532208132
7,1977,4.35131834053006,1.7098924350364828,2.641425905493578
8,1978,4.059572747489723,1.9917110317406836,2.06786171574904
9,1979,3.920006220701606,1.9038235098087133,2.0161827108928927
10,1980,4.927847119718518,2.853385208540088,2.07446191117843
11,1981,3.962561963832491,2.0219728133724115,1.94058915046008
12,1982,4.535480280046125,2.474008131341844,2.0614721487042806
13,1983,3.882421624631195,1.6927791316520633,2.189642492979132
14,1984,3.64733151674644,1.600817438692098,2.046514078054342
15,1985,2.8813310234623426,1.39235782040207,1.4889732030602725
16,1986,2.7399537706703114,1.140136546284869,1.5998172243854427
17,1987,3.354347482870135,1.5794014925619018,1.7749459903082334
18,1988,3.3267837388872987,1.5583154096995768,1.768468329187722
19,1989,3.321813919902829,1.5872759175554494,1.73453800234738
20,1990,2.412424335694045,1.091017829925632,1.3214065057684132
21,1991,2.3242157760633275,0.947536078567594,1.3766796974957336
22,1992,2.930626062979093,1.0039660740931209,1.9266599888859723
23,1993,2.9838320721615865,1.123340140056992,1.8604919321045947
24,1994,3.5224197675925843,1.4268917204227547,2.0955280471698297
25,1995,3.238437284407857,1.251745731405145,1.9866915530027125
26,1996,3.392774987694333,1.244039556932668,2.1487354307616653
27,1997,4.519984710991329,2.000615935121501,2.5193687758698275
28,1998,3.644492470881902,1.4782120273232957,2.1662804435586063
29,1999,3.5015689283062725,1.2008318287335569,2.300737099572716
30,2000,4.478188047466468,1.6160939156666911,2.8620941317997763
31,2001,3.938702227365318,1.219362084028616,2.719340143336702
32,2002,3.867156682436959,1.3136017739210455,2.5535549085159133
33,2003,3.881208239179796,1.1611148647549705,2.720093374424825
34,2004,3.696010289984569,0.930355199409425,2.765655090575144
35,2005,3.3132907510982723,0.8105205003868243,2.502770250711448
36,2006,3.812642533745005,1.133076022048134,2.679566511696871
37,2007,3.529768079440224,0.9744575597673456,2.555310519672878
38,2008,4.372049141027998,1.3002228057705452,3.0718263352574526
39,2009,3.950053392693961,0.7970838975664687,3.152969495127492
40,2010,4.777593220724167,1.0096490884574674,3.7679441322667
41,2011,5.2482191341374245,1.1189236802664215,4.129295453871003
42,2012,5.2030455760565815,1.045747696202292,4.15729787985429
43,2013,5.380573992874309,0.9047731128121166,4.4758008800621925
44,2014,5.887187278550057,0.9027175239338954,4.984469754616161
45,2015,6.728303972755376,1.5225914844584612,5.205712488296915
46,2016,7.227571367742735,1.9585128727054268,5.269058495037308
47,2017,7.93661621488985,2.093349868082089,5.843266346807761
48,2018,7.06226737017681,1.1534180044353797,5.908849365741431
49,2019,8.425729784981122,1.6392826364135136,6.78644714856761
50,2020,7.942166467495602,1.3282249012300742,6.613941566265527
