,Year,Total,Processed,Fresh
0,1971,1.6208906342548672,0.9004857435917192,0.7204048906631481
1,1972,1.629744063726798,0.9274915196097115,0.7022525441170866
2,1973,1.7698161946873423,1.011471811013218,0.7583443836741243
3,1974,1.7849875616074518,0.9984696568687048,0.7865179047387469
4,1975,2.00431455320804,1.0139129752330152,0.9904015779750246
5,1976,2.197353438668104,1.120462113880799,1.0768913247873049
6,1977,2.32116263241297,1.093859566198539,1.2273030662144309
7,1978,2.404669671066693,1.4173479737375831,0.98732169732911
8,1979,2.5923831514311617,1.3926941865114753,1.1996889649196862
9,1980,2.8563294117663327,1.4553716818628526,1.4009577299034803
10,1981,3.220572026548707,1.5640541065083533,1.656517920040354
11,1982,3.503591154313832,1.516525500619412,1.98706565369442
12,1983,3.598848393607105,1.568162157173708,2.030686236433397
13,1984,4.200988910661144,1.7432498986957363,2.457739011965407
14,1985,4.539852580707354,1.961083280262008,2.5787693004453462
15,1986,4.831424871732758,1.7847888718823524,3.046635999850406
16,1987,5.303458756857383,2.215943724156109,3.087515032701273
17,1988,6.189885764893621,2.415548055064668,3.7743377098289534
18,1989,5.972958369383283,2.1686571629565545,3.804301206426729
19,1990,5.600765155997633,2.2327632609981927,3.36800189499944
20,1991,5.294919897354168,2.2521101037898483,3.0428097935643192
21,1992,5.798692015150216,2.3829639327504726,3.415728082399744
22,1993,5.604366116539548,2.2713746235807197,3.3329914929588287
23,1994,6.739285192152934,2.3089907297408105,4.430294462412124
24,1995,6.856900349006029,2.549877295775388,4.30702305323064
25,1996,7.034956508249064,2.518894583727338,4.5160619245217255
26,1997,7.248731919519846,2.283456885809345,4.965275033710501
27,1998,7.124132567987976,2.079153356427576,5.044979211560401
28,1999,8.270286247551871,2.111030449918545,6.1592557976333255
29,2000,8.141819504364607,2.25337162912336,5.888447875241248
30,2001,7.436624717741573,2.037930862816504,5.39869385492507
31,2002,7.448712652524957,2.097374414925612,5.351338237599345
32,2003,7.939716674356312,2.592448250244342,5.34726842411197
33,2004,7.98053303657152,2.666817397691639,5.313715638879882
34,2005,8.052033010138459,2.710410006385983,5.341623003752477
35,2006,8.014154920490945,2.253020969473403,5.761133951017543
36,2007,8.312235956727674,2.676221303315083,5.636014653412591
37,2008,8.730786880541162,2.695916090791495,6.034870789749667
38,2009,8.70778843022617,2.5005191740528105,6.20726925617336
39,2010,8.404415275645373,2.4505449739846776,5.953870301660697
40,2011,8.59787889205707,2.65462460510768,5.943254286949389
41,2012,8.866121083610594,2.560768672933041,6.305352410677553
42,2013,9.413198817211391,2.482805203197495,6.930393614013897
43,2014,9.234402096756169,2.584673568586449,6.649728528169717
44,2015,9.997674771363185,2.5874512802600407,7.410223491103144
45,2016,10.089885710513457,2.636206815648816,7.453678894864641
46,2017,9.483062267958315,2.365884922456696,7.11717734550162
47,2018,8.443345680012346,2.5013679956651456,5.941977684347201
48,2019,8.551190673722406,2.636603313235081,5.914587360487325
