,Year,Total,Processed,Fresh
0,1971,9.483602885144212,3.3673846255769364,6.116218259567275
1,1972,10.422562441981976,3.8817041121424376,6.54085832983954
2,1973,10.74003725365089,4.037160075239401,6.702877178411488
3,1974,10.700462782655418,3.788737961048154,6.911724821607264
4,1975,9.948371238672523,3.504510200487194,6.443861038185329
5,1976,9.94894505726474,3.5385063662288982,6.410438691035843
6,1977,8.966294829886658,3.656154482355114,5.3101403475315445
7,1978,8.67516366040757,3.364832775577056,5.310330884830513
8,1979,9.581457200155192,3.693563129816831,5.887894070338361
9,1980,9.62445762180859,3.4736448028946323,6.150812818913958
10,1981,9.564027196325,3.4452966013674846,6.118730594957516
11,1982,9.544611913635954,2.941342149479323,6.603269764156631
12,1983,9.538343371722956,3.048567137978337,6.489776233744618
13,1984,10.66455657682186,3.980345159758885,6.684211417062975
14,1985,9.66100232025837,3.1699302177364195,6.491072102521952
15,1986,9.465912046906102,2.981833443451305,6.484078603454796
16,1987,11.437093952323686,3.141102123523501,8.295991828800185
17,1988,10.453271678754067,3.358777737418426,7.094493941335641
18,1989,11.46996155121249,3.384395816319105,8.085565734893386
19,1990,11.762326770737047,3.4708502543377096,8.291476516399339
20,1991,11.280566458699058,3.567424154966804,7.713142303732254
21,1992,12.322738027182416,4.032798203753299,8.289939823429119
22,1993,14.679960607043096,3.833264870169642,10.846695736873452
23,1994,16.905179619744455,4.228191911154892,12.676987708589564
24,1995,15.40330170814122,4.212215625239628,11.191086082901592
25,1996,16.924301379849965,4.554225104295298,12.370076275554666
26,1997,18.16208865575717,4.048338128114558,14.113750527642612
27,1998,13.73543330326132,4.208763687340419,9.526669615920902
28,1999,13.070632743300092,3.818029055443169,9.252603687856924
29,2000,12.992465119075025,3.788619741310623,9.2038453777644
30,2001,12.735940417081594,3.355845899284384,9.380094517797213
31,2002,11.517709219496636,3.100343273190246,8.41736594630639
32,2003,11.904887768959917,3.126088518425134,8.778799250534783
33,2004,11.76756847827437,3.046488391175882,8.721080087098489
34,2005,11.766410226497507,3.101696950306424,8.664713276191083
35,2006,11.14239521826099,3.0341513590030904,8.1082438592579
36,2007,10.477436449499448,2.42774022983088,8.049696219668569
37,2008,10.563824787327109,2.496784855888765,8.067039931438343
38,2009,9.77683093839103,2.3906427735596147,7.386188164831414
39,2010,9.976277441386756,2.21863436329751,7.757643078089245
40,2011,9.888040397606783,2.3832728565099326,7.50476754109685
41,2012,9.934735964426055,1.9855776907046183,7.949158273721438
42,2013,10.466273790427724,2.448053383985209,8.018220406442515
43,2014,10.406845005002127,1.920116762066478,8.486728242935651
44,2015,10.84618946916152,2.048936677214601,8.797252791946917
45,2016,10.782245005654072,2.9603995296877272,7.821845475966346
46,2017,10.902335078507278,3.548414363962409,7.353920714544869
47,2018,15.588902364728646,3.3796451724089254,12.20925719231972
48,2019,11.47978274215811,3.0085711654598324,8.471211576698277
