,Year,Total,Processed,Fresh
0,1971,7.272151246502714,0.0,7.272151246502714
1,1972,7.132413195106149,0.0,7.132413195106149
2,1973,7.564884927020562,0.0,7.564884927020562
3,1974,7.351797488005835,0.0,7.351797488005835
4,1975,6.944163390794221,0.0,6.944163390794221
5,1976,7.359156098791479,0.0,7.359156098791479
6,1977,7.045746212069616,0.0,7.045746212069616
7,1978,7.070337174562527,0.0,7.070337174562527
8,1979,7.068494368043368,0.0,7.068494368043368
9,1980,7.371643993219923,0.0,7.371643993219923
10,1981,7.272005426889192,0.0,7.272005426889192
11,1982,7.411937740107156,0.0,7.411937740107156
12,1983,7.001314514717871,0.0,7.001314514717871
13,1984,7.115046456919458,0.0,7.115046456919458
14,1985,6.88035191599641,0.0,6.88035191599641
15,1986,6.4927633793335575,0.0,6.4927633793335575
16,1987,6.593573417241891,0.0,6.593573417241891
17,1988,7.152856285787749,0.0,7.152856285787749
18,1989,7.474266400368719,0.0,7.474266400368719
19,1990,7.194457326531591,0.0,7.194457326531591
20,1991,6.732698733298356,0.0,6.732698733298356
21,1992,7.323358599266622,0.0,7.323358599266622
22,1993,7.261399696451557,0.0,7.261399696451557
23,1994,7.23663467028045,0.0,7.23663467028045
24,1995,6.934465701519749,0.0,6.934465701519749
25,1996,7.02725655716124,0.0,7.02725655716124
26,1997,6.549176371870787,0.0,6.549176371870787
27,1998,6.467390398927983,0.0,6.467390398927983
28,1999,6.531724087434433,0.0,6.531724087434433
29,2000,6.268972225861856,0.0,6.268972225861856
30,2001,6.4123286933316335,0.0,6.4123286933316335
31,2002,6.301961281327825,0.0,6.301961281327825
32,2003,6.268569683297241,0.0,6.268569683297241
33,2004,6.230370712428546,0.0,6.230370712428546
34,2005,5.9227595689328085,0.0,5.9227595689328085
35,2006,6.083241540245586,0.0,6.083241540245586
36,2007,6.2879438017355245,0.0,6.2879438017355245
37,2008,6.222688906169491,0.0,6.222688906169491
38,2009,6.173980202134531,0.0,6.173980202134531
39,2010,6.130439872872934,0.0,6.130439872872934
40,2011,5.978113246016845,0.0,5.978113246016845
41,2012,5.957499484229177,0.0,5.957499484229177
42,2013,5.479951130828513,0.0,5.479951130828513
43,2014,5.54192390586375,0.0,5.54192390586375
44,2015,5.145433252816291,0.0,5.145433252816291
45,2016,5.038129163161827,0.0,5.038129163161827
46,2017,4.74135388491468,0.0,4.74135388491468
47,2018,4.896802439051518,0.0,4.896802439051518
48,2019,5.178496070791633,0.0,5.178496070791633
