,Year,Total,Processed,Fresh
0,1971,0.0,0.0,0.0
1,1972,0.0,0.0,0.0
2,1973,0.0,0.0,0.0
3,1974,0.0,0.0,0.0
4,1975,0.0,0.0,0.0
5,1976,0.0,0.0,0.0
6,1977,0.0,0.0,0.0
7,1978,0.0,0.0,0.0
8,1979,0.0,0.0,0.0
9,1980,3.0490413918480983,3.0490413918480983,0.0
10,1981,3.267556943200299,3.267556943200299,0.0
11,1982,3.0546195324478447,3.0546195324478447,0.0
12,1983,3.3093761603366523,3.3093761603366523,0.0
13,1984,3.614153705552829,3.614153705552829,0.0
14,1985,3.910611995001384,3.910611995001384,0.0
15,1986,4.174917203751491,4.174917203751491,0.0
16,1987,4.1653638325563005,4.1653638325563005,0.0
17,1988,4.314752613041332,4.314752613041332,0.0
18,1989,4.503899340038489,4.503899340038489,0.0
19,1990,4.831033775197655,4.831033775197655,0.0
20,1991,4.513408438947112,4.513408438947112,0.0
21,1992,5.582278947606951,5.582278947606951,0.0
22,1993,4.897128704583735,4.897128704583735,0.0
23,1994,4.104364281522115,4.104364281522115,0.0
24,1995,3.834074190675616,3.834074190675616,0.0
25,1996,4.730368186034851,4.730368186034851,0.0
26,1997,4.586038363650261,4.586038363650261,0.0
27,1998,4.758195321045289,4.758195321045289,0.0
28,1999,4.704573308784832,4.704573308784832,0.0
29,2000,5.153538447031536,5.153538447031536,0.0
30,2001,5.178842496750514,5.178842496750514,0.0
31,2002,5.82655336581112,5.82655336581112,0.0
32,2003,5.609558038488213,5.609558038488213,0.0
33,2004,6.124099488242794,6.124099488242794,0.0
34,2005,6.051810841095994,6.051810841095994,0.0
35,2006,6.357534219231321,6.357534219231321,0.0
36,2007,5.856545191358893,5.856545191358893,0.0
37,2008,6.191323237297121,6.191323237297121,0.0
38,2009,6.579622349367557,6.579622349367557,0.0
39,2010,6.5792588049463046,6.5792588049463046,0.0
40,2011,6.607290693993731,6.607290693993731,0.0
41,2012,7.199847378654546,7.199847378654546,0.0
42,2013,6.977759187297775,6.977759187297775,0.0
43,2014,7.182521442855567,7.182521442855567,0.0
44,2015,7.112938540232648,7.112938540232648,0.0
45,2016,7.637712526866911,7.637712526866911,0.0
46,2017,7.483284468015554,7.483284468015554,0.0
47,2018,7.195069406096421,7.195069406096421,0.0
48,2019,7.112445147164147,7.112445147164147,0.0
