,Year,Total,Processed,Fresh
0,1971,0.0,0.0,0.0
1,1972,0.0,0.0,0.0
2,1973,0.0,0.0,0.0
3,1974,0.0,0.0,0.0
4,1975,0.0,0.0,0.0
5,1976,0.0,0.0,0.0
6,1977,0.0,0.0,0.0
7,1978,0.0,0.0,0.0
8,1979,0.0,0.0,0.0
9,1980,0.0,0.0,0.0
10,1981,0.0,0.0,0.0
11,1982,0.0,0.0,0.0
12,1983,0.0,0.0,0.0
13,1984,0.0,0.0,0.0
14,1985,0.0,0.0,0.0
15,1986,0.0,0.0,0.0
16,1987,0.0,0.0,0.0
17,1988,0.0,0.0,0.0
18,1989,0.0,0.0,0.0
19,1990,0.0,0.0,0.0
20,1991,0.0,0.0,0.0
21,1992,0.0,0.0,0.0
22,1993,0.0,0.0,0.0
23,1994,0.0,0.0,0.0
24,1995,0.0,0.0,0.0
25,1996,0.0,0.0,0.0
26,1997,0.7949668757694789,0.0,0.7949668757694789
27,1998,0.7873458522716984,0.0,0.7873458522716984
28,1999,0.7799638375194687,0.0,0.7799638375194687
29,2000,0.7729943162703403,0.0,0.7729943162703403
30,2001,0.7666214014776731,0.0,0.7666214014776731
31,2002,0.7603459562183834,0.0,0.7603459562183834
32,2003,0.8695612995279743,0.0,0.8695612995279743
33,2004,0.8488558156036736,0.0,0.8488558156036736
34,2005,0.7410586970907256,0.0,0.7410586970907256
35,2006,0.6468887629073449,0.0,0.6468887629073449
36,2007,0.679081479154016,0.0,0.679081479154016
37,2008,0.6986361381659448,0.0,0.6986361381659448
38,2009,0.7076877061101268,0.0,0.7076877061101268
39,2010,0.931624854991747,0.0,0.931624854991747
40,2011,0.8747203289139958,0.0,0.8747203289139958
41,2012,1.1032985610394144,0.0,1.1032985610394144
42,2013,1.2717669230521929,0.0,1.2717669230521929
43,2014,1.5381021660318566,0.0,1.5381021660318566
44,2015,1.3039689082074488,0.0,1.3039689082074488
45,2016,1.0947542670403805,0.0,1.0947542670403805
46,2017,1.0981499246288065,0.0,1.0981499246288065
47,2018,1.225124351220665,0.0,1.225124351220665
48,2019,1.2266585420285046,0.0,1.2266585420285046
