,Year,Total,Processed,Fresh
0,1971,8.318139067037144,5.53283031864433,2.785308748392813
1,1972,8.376895597819873,5.409711849677935,2.9671837481419376
2,1973,8.402564157256181,5.657517934585129,2.7450462226710526
3,1974,8.696968140881161,5.7402780626034575,2.956690078277703
4,1975,8.923690483532663,6.118710231371514,2.8049802521611493
5,1976,9.210637912261792,6.127646649391152,3.08299126287064
6,1977,9.270807678930616,5.775513929867099,3.495293749063518
7,1978,9.85597086955545,6.048885935709953,3.807084933845497
8,1979,9.682021767123592,5.848292234342716,3.833729532780876
9,1980,9.259197015711864,5.397099582831999,3.862097432879864
10,1981,9.343279648295836,5.343557950305698,3.9997216979901378
11,1982,9.292911657220298,5.107079486737757,4.185832170482541
12,1983,9.692420547970542,5.1556376093472815,4.53678293862326
13,1984,9.88025054580534,5.227365816507861,4.652884729297477
14,1985,10.21980008890156,5.825882297686042,4.393917791215519
15,1986,9.950881101678364,5.325926291600699,4.624954810077665
16,1987,10.601883955783268,5.5352458443847725,5.066638111398494
17,1988,10.103129446047484,5.2786450141008325,4.824484431946649
18,1989,9.974036920539172,5.190377048782657,4.783659871756515
19,1990,9.668220659459806,4.994025370572339,4.674195288887468
20,1991,9.613799688606786,5.055911514179878,4.557888174426908
21,1992,9.47319004411158,4.545335493207316,4.927854550904264
22,1993,9.539282435611227,4.327499622600911,5.211782813010316
23,1994,10.142107945125192,4.779415727660609,5.362692217464584
24,1995,10.654942582637108,5.045996514816716,5.608946067820391
25,1996,10.006671831792543,4.07633392244509,5.930337909347455
26,1997,11.658627574983878,5.235767876619571,6.4228596983643085
27,1998,10.502960622378357,4.012657350191043,6.490303272187313
28,1999,10.931359064215254,4.202151251687283,6.729207812527972
29,2000,11.243317243253005,4.892003830713387,6.351313412539618
30,2001,10.001274596201952,3.7335426146903554,6.267731981511598
31,2002,12.027468974739602,5.404083193665994,6.623385781073608
32,2003,10.602224853415503,4.444572736296065,6.157652117119437
33,2004,11.313241150790343,4.88335405268637,6.429887098103975
34,2005,10.035094774646772,3.84162163543762,6.193473139209153
35,2006,9.130387215005426,2.989965725842493,6.140421489162933
36,2007,10.15634916177011,3.733374664389668,6.422974497380443
37,2008,9.93179214638188,3.544036820974485,6.387755325407394
38,2009,11.864445643324087,5.060729229039838,6.80371641428425
39,2010,10.474462008640783,3.7430239565620376,6.7314380520787465
40,2011,9.210054825067225,2.828232892695532,6.381821932371693
41,2012,10.099193716768369,2.975319517944884,7.123874198823485
42,2013,10.542378514566623,3.218029780574484,7.32434873399214
43,2014,11.30530476207195,3.8727550434159976,7.432549718655952
44,2015,10.97780164743368,3.4143086230332544,7.563493024400426
45,2016,11.11199840306634,2.9921486724551163,8.119849730611223
46,2017,11.089127829866117,3.6595286540293688,7.429599175836746
47,2018,11.32907258776673,3.334667542291629,7.994405045475101
48,2019,10.871887928352798,3.0402358571790016,7.831652071173798
