,Year,Total,Processed,Fresh
0,1971,6.756208808044325,6.756208808044325,0.0
1,1972,5.7655331211647685,5.7655331211647685,0.0
2,1973,7.439298683252536,7.439298683252536,0.0
3,1974,5.481819850656144,5.481819850656144,0.0
4,1975,6.80166636147365,6.80166636147365,0.0
5,1976,6.270011493772465,6.270011493772465,0.0
6,1977,6.669621239070015,6.669621239070015,0.0
7,1978,5.063209602738402,5.063209602738402,0.0
8,1979,5.604871950199536,5.604871950199536,0.0
9,1980,5.396165306887552,5.396165306887552,0.0
10,1981,5.421176276657324,5.421176276657324,0.0
11,1982,7.346800013083558,7.346800013083558,0.0
12,1983,6.2475874517584735,6.2475874517584735,0.0
13,1984,5.407310203640475,5.407310203640475,0.0
14,1985,6.911903580810263,6.911903580810263,0.0
15,1986,6.358160669915673,6.358160669915673,0.0
16,1987,5.383463156510432,5.383463156510432,0.0
17,1988,6.846721474188211,6.846721474188211,0.0
18,1989,5.419617184765569,5.419617184765569,0.0
19,1990,6.729751917897563,6.729751917897563,0.0
20,1991,7.347225197005907,7.347225197005907,0.0
21,1992,7.818735717216896,7.818735717216896,0.0
22,1993,7.226340614099811,7.226340614099811,0.0
23,1994,7.708408928979403,7.708408928979403,0.0
24,1995,7.50582285740552,7.50582285740552,0.0
25,1996,7.434728620352294,7.434728620352294,0.0
26,1997,7.396600487825135,7.396600487825135,0.0
27,1998,7.259309909518376,7.259309909518376,0.0
28,1999,7.801910152347877,7.801910152347877,0.0
29,2000,7.683257704835597,7.683257704835597,0.0
30,2001,7.041683947888096,7.041683947888096,0.0
31,2002,6.812782081554777,6.812782081554777,0.0
32,2003,6.7708102123875165,6.7708102123875165,0.0
33,2004,5.988817405801686,5.988817405801686,0.0
34,2005,6.122342369707036,6.122342369707036,0.0
35,2006,6.446809663780421,6.446809663780421,0.0
36,2007,6.366162737087945,6.366162737087945,0.0
37,2008,6.449531882388073,6.449531882388073,0.0
38,2009,5.7529238242153,5.7529238242153,0.0
39,2010,7.170152110174506,7.170152110174506,0.0
40,2011,5.27712687901207,5.27712687901207,0.0
41,2012,5.436648715810435,5.436648715810435,0.0
42,2013,5.162782739610684,5.162782739610684,0.0
43,2014,6.00567082991298,6.00567082991298,0.0
44,2015,7.116419741038185,7.116419741038185,0.0
45,2016,6.691587814584869,6.691587814584869,0.0
46,2017,7.524583941762587,7.524583941762587,0.0
47,2018,8.612768211515888,8.612768211515888,0.0
48,2019,5.672469766942659,5.672469766942659,0.0
