,Year,Total,Processed,Fresh
0,1971,0.6559893541793804,0.6559893541793804,0.0
1,1972,0.7910064188170421,0.7910064188170421,0.0
2,1973,0.5457830319690976,0.5457830319690976,0.0
3,1974,0.6897850017846073,0.6897850017846073,0.0
4,1975,0.3757539396364414,0.3757539396364414,0.0
5,1976,0.5684912135240333,0.5684912135240333,0.0
6,1977,0.3266770478467373,0.3266770478467373,0.0
7,1978,0.6144666232611059,0.6144666232611059,0.0
8,1979,0.4966203903691961,0.4966203903691961,0.0
9,1980,0.5031637574574636,0.5031637574574636,0.0
10,1981,0.5163998873052412,0.5163998873052412,0.0
11,1982,0.343961063476339,0.343961063476339,0.0
12,1983,0.4186864979727588,0.4186864979727588,0.0
13,1984,0.428889670114918,0.428889670114918,0.0
14,1985,0.4438366853639226,0.4438366853639226,0.0
15,1986,0.7029109406688423,0.7029109406688423,0.0
16,1987,0.5793270232935177,0.5793270232935177,0.0
17,1988,0.7013250130133083,0.7013250130133083,0.0
18,1989,0.617559955609527,0.617559955609527,0.0
19,1990,0.466454088209154,0.466454088209154,0.0
20,1991,0.5597974567368953,0.5597974567368953,0.0
21,1992,0.5977684458532841,0.5977684458532841,0.0
22,1993,0.5107357951747148,0.5107357951747148,0.0
23,1994,0.4413123293460957,0.4413123293460957,0.0
24,1995,0.9508549279742228,0.9508549279742228,0.0
25,1996,0.6496201952631168,0.6496201952631168,0.0
26,1997,0.8988631483637968,0.8988631483637968,0.0
27,1998,0.8017455661153708,0.8017455661153708,0.0
28,1999,0.5945513080024477,0.5945513080024477,0.0
29,2000,0.8058771334918282,0.8058771334918282,0.0
30,2001,0.7145460577010595,0.7145460577010595,0.0
31,2002,0.738952310204808,0.738952310204808,0.0
32,2003,0.5677828939859788,0.5677828939859788,0.0
33,2004,0.5916855221409469,0.5916855221409469,0.0
34,2005,0.6946046510460834,0.6946046510460834,0.0
35,2006,1.126427798726393,1.126427798726393,0.0
36,2007,0.7106179915519851,0.7106179915519851,0.0
37,2008,0.516943775587202,0.516943775587202,0.0
38,2009,1.0158580844593248,1.0158580844593248,0.0
39,2010,1.617721801269438,1.617721801269438,0.0
40,2011,1.055174452683435,1.055174452683435,0.0
41,2012,0.8525501353267151,0.8525501353267151,0.0
42,2013,0.9991479610796272,0.9991479610796272,0.0
43,2014,0.7735431444634666,0.7735431444634666,0.0
44,2015,1.26,1.26,0.0
45,2016,4.85,4.85,0.0
46,2017,4.03,4.03,0.0
47,2018,4.62,4.62,0.0
48,2019,3.71,3.71,0.0
