,Year,Total,Processed,Fresh
0,1971,5.22178790850182,5.22178790850182,0.0
1,1972,5.129104943199138,5.129104943199138,0.0
2,1973,5.340260675335484,5.340260675335484,0.0
3,1974,4.799543723106296,4.799543723106296,0.0
4,1975,4.7010363529222765,4.7010363529222765,0.0
5,1976,4.73981937840725,4.73981937840725,0.0
6,1977,4.800858967700454,4.800858967700454,0.0
7,1978,4.654489501976923,4.654489501976923,0.0
8,1979,4.483705059960268,4.483705059960268,0.0
9,1979,4.466644626419704,4.466644626419704,0.0
10,1981,4.434239964878882,4.434239964878882,0.0
11,1982,4.138007707671299,4.138007707671299,0.0
12,1983,4.211323431744509,4.211323431744509,0.0
13,1984,4.027444936669384,4.027444936669384,0.0
14,1985,4.143326834391734,4.143326834391734,0.0
15,1986,4.079912782169145,4.079912782169145,0.0
16,1987,3.731168802820381,3.731168802820381,0.0
17,1988,3.656537521273688,3.656537521273688,0.0
18,1989,3.71007897794956,3.71007897794956,0.0
19,1990,4.162093178789599,4.162093178789599,0.0
20,1991,4.154466513091091,4.154466513091091,0.0
21,1992,4.092154654289318,4.092154654289318,0.0
22,1993,3.450103119021729,3.450103119021729,0.0
23,1994,3.572248695523771,3.572248695523771,0.0
24,1995,3.637521921855363,3.637521921855363,0.0
25,1996,3.3963849785809908,3.3963849785809908,0.0
26,1997,3.498395811397081,3.498395811397081,0.0
27,1998,3.340447634510982,3.340447634510982,0.0
28,1999,3.4496217208614546,3.4496217208614546,0.0
29,2000,3.674459045282151,3.674459045282151,0.0
30,2001,3.3350568548272923,3.3350568548272923,0.0
31,2002,2.796034928912574,2.796034928912574,0.0
32,2003,3.1347380373740514,3.1347380373740514,0.0
33,2004,2.8203082261987995,2.8203082261987995,0.0
34,2005,2.6831304434336,2.6831304434336,0.0
35,2006,2.753157258098838,2.753157258098838,0.0
36,2007,3.0304287964582928,3.0304287964582928,0.0
37,2008,2.9324091827059577,2.9324091827059577,0.0
38,2009,3.0003490757418607,3.0003490757418607,0.0
39,2010,2.647504996359342,2.647504996359342,0.0
40,2011,2.3545612974525048,2.3545612974525048,0.0
41,2012,2.6870704033555115,2.6870704033555115,0.0
42,2013,2.3843619124011903,2.3843619124011903,0.0
43,2014,2.306357937282318,2.306357937282318,0.0
44,2015,2.321904967903384,2.321904967903384,0.0
45,2016,1.762163971555162,1.762163971555162,0.0
46,2017,1.9503398419592304,1.9503398419592304,0.0
47,2018,1.882022353139257,1.882022353139257,0.0
48,2019,1.5382750907244698,1.5382750907244698,0.0
