,Year,Total,Processed,Fresh
0,1971,0.0,0.0,0.0
1,1972,0.0,0.0,0.0
2,1973,0.0,0.0,0.0
3,1974,0.0,0.0,0.0
4,1975,0.0,0.0,0.0
5,1976,0.0,0.0,0.0
6,1977,0.0,0.0,0.0
7,1978,0.0,0.0,0.0
8,1979,0.0,0.0,0.0
9,1980,0.0,0.0,0.0
10,1981,0.0,0.0,0.0
11,1982,0.0,0.0,0.0
12,1983,0.0,0.0,0.0
13,1984,0.0,0.0,0.0
14,1985,0.0,0.0,0.0
15,1986,0.0,0.0,0.0
16,1987,0.0,0.0,0.0
17,1988,0.0,0.0,0.0
18,1989,0.0,0.0,0.0
19,1990,0.0,0.0,0.0
20,1991,0.0,0.0,0.0
21,1992,0.0,0.0,0.0
22,1993,0.0,0.0,0.0
23,1994,0.0,0.0,0.0
24,1995,0.0,0.0,0.0
25,1996,0.0,0.0,0.0
26,1997,0.4235541126810108,0.0,0.4235541126810108
27,1998,0.4042087535990439,0.0,0.4042087535990439
28,1999,0.3853387994772553,0.0,0.3853387994772553
29,2000,0.3847169644279973,0.0,0.3847169644279973
30,2001,0.3668071916086187,0.0,0.3668071916086187
31,2002,0.3457138760287352,0.0,0.3457138760287352
32,2003,0.3092021405038057,0.0,0.3092021405038057
33,2004,0.3216948888040817,0.0,0.3216948888040817
34,2005,0.3513137604395923,0.0,0.3513137604395923
35,2006,0.3147784153842283,0.0,0.3147784153842283
36,2007,0.3371020736352458,0.0,0.3371020736352458
37,2008,0.374611080777154,0.0,0.374611080777154
38,2009,0.4059611538541678,0.0,0.4059611538541678
39,2010,0.4569558884443468,0.0,0.4569558884443468
40,2011,0.5132970529922789,0.0,0.5132970529922789
41,2012,0.4643268311830806,0.0,0.4643268311830806
42,2013,0.5579922284687232,0.0,0.5579922284687232
43,2014,0.5155308905923007,0.0,0.5155308905923007
44,2015,0.5811947832042074,0.0,0.5811947832042074
45,2016,0.5344493904103219,0.0,0.5344493904103219
46,2017,1.0323404314899491,0.0,1.0323404314899491
47,2018,0.94945163628746,0.0,0.94945163628746
48,2019,0.7734300269939358,0.0,0.7734300269939358
