,Year,Total,Processed,Fresh
0,1971,0.8793369963546356,0.8793369963546356,0.0
1,1972,0.8645662613865915,0.8645662613865915,0.0
2,1973,0.9195739680712004,0.9195739680712004,0.0
3,1974,0.7987552255276964,0.7987552255276964,0.0
4,1975,0.8141017627203401,0.8141017627203401,0.0
5,1976,0.6791294975577316,0.6791294975577316,0.0
6,1977,0.5928559428620725,0.5928559428620725,0.0
7,1978,0.702684367769616,0.702684367769616,0.0
8,1979,0.7391482082157694,0.7391482082157694,0.0
9,1980,0.6502024362611208,0.6502024362611208,0.0
10,1981,0.690223772209805,0.690223772209805,0.0
11,1982,0.5705101121030136,0.5705101121030136,0.0
12,1983,0.4652707503022618,0.4652707503022618,0.0
13,1984,0.6823540613541661,0.6823540613541661,0.0
14,1985,0.5724979674850184,0.5724979674850184,0.0
15,1986,0.5954573034402767,0.5954573034402767,0.0
16,1987,0.5388723315246768,0.5388723315246768,0.0
17,1988,0.4321375087074592,0.4321375087074592,0.0
18,1989,0.3936550306745287,0.3930110478491291,0.0006439828253996
19,1990,0.3405325840620103,0.3395140938248555,0.0010184902371547
20,1991,0.4088553278148289,0.408771940896847,8.33869179819561e-05
21,1992,0.4976127161397308,0.4497330459255568,0.0478796702141739
22,1993,0.4511644016445408,0.4135090251868359,0.0376553764577049
23,1994,0.5088118220364718,0.4514923972046341,0.0573194248318377
24,1995,0.5986281684592788,0.5359774033321203,0.0626507651271585
25,1996,0.6000114392936473,0.5629286668372474,0.0370827724563999
26,1997,0.5676491913144165,0.5383357129770769,0.0293134783373395
27,1998,0.5446209054198432,0.5286855161798526,0.0159353892399905
28,1999,0.5234078789452014,0.4989178057251293,0.0244900732200719
29,2000,0.5631281155756306,0.5140382713316926,0.0490898442439379
30,2001,0.4602506279340576,0.4068779723714236,0.053372655562634
31,2002,0.5488155572948454,0.4797311103974665,0.0690844468973788
32,2003,0.4982128832714048,0.4380066844111356,0.0602061988602691
33,2004,0.358096566354652,0.2919620254922266,0.0661345408624253
34,2005,0.3589059612078639,0.3251505956306893,0.0337553655771745
35,2006,0.4310741287106601,0.3956629185374076,0.0354112101732524
36,2007,0.3994396822674323,0.3715404977677823,0.02789918449965
37,2008,0.3785543915954061,0.3577310824635519,0.0208233091318541
38,2009,0.296134002366193,0.277937411783397,0.018196590582796
39,2010,0.4392735666941692,0.4274876580859052,0.0117859086082639
40,2011,0.3176169631935633,0.3126932416851717,0.0049237215083915
41,2012,0.4137543991270127,0.4109155005177811,0.0028388986092315
42,2013,0.355277710238456,0.3529417743477013,0.0023359358907546
43,2014,0.3320260142689638,0.3299958437246787,0.0020301705442851
44,2015,0.3506071630095547,0.3495304826043467,0.0010766804052079
45,2016,0.2574611512257707,0.2538922881777375,0.0035688630480332
46,2017,0.2398862041128232,0.23537223202331,0.0045139720895132
47,2018,0.2788087217713362,0.2752087217713362,0.0036
48,2019,0.2356219177275016,0.2326219177275016,0.003
