,Year,Total,Processed,Fresh
0,1971,1.468663121288735,1.1470460027316849,0.3216171185570505
1,1972,1.6273591904919178,1.2589880191655058,0.3683711713264119
2,1973,1.7134417138659146,1.2286039291892787,0.4848377846766358
3,1974,1.8218680142017167,1.2282700580467003,0.5935979561550166
4,1975,1.9069654912506804,1.2457253723287938,0.6612401189218866
5,1976,2.1563278748934795,1.4596420921716298,0.69668578272185
6,1977,2.506914959918605,1.6351161105762868,0.8717988493423184
7,1978,2.7145095120486555,1.6790044618628577,1.0355050501857983
8,1979,2.896742778013535,1.7533462399213813,1.1433965380921538
9,1980,2.7544962698332096,1.5443906310857538,1.2101056387474556
10,1981,2.9403277381987185,1.5485024674910566,1.391825270707662
11,1982,2.9815470939664386,1.5257538365699506,1.455793257396488
12,1983,3.482679265564327,1.8213803953334875,1.6612988702308398
13,1984,3.5564437316141646,1.776299907666164,1.7801438239480003
14,1985,3.61874189573332,1.825878680479054,1.7928632152542658
15,1986,3.7975818821973135,1.8971400115424095,1.9004418706549044
16,1987,3.601095484581279,1.6580352696787215,1.9430602149025575
17,1988,3.55889939851054,1.5580089392124798,2.00089045929806
18,1989,3.607879253877526,1.5442723634444246,2.063606890433101
19,1990,3.737734631026024,1.7204282438854013,2.0173063871406223
20,1991,3.704752225693937,1.754286766860879,1.9504654588330568
21,1992,3.7156492650691577,1.7042558018970748,2.011393463172083
22,1993,3.749170647860322,1.7509900337787765,1.9981806140815457
23,1994,4.084622748046152,2.039831826081728,2.044790921964424
24,1995,3.8037328276117934,1.7563161821114233,2.04741664550037
25,1996,3.9498886369377697,1.8463296174301045,2.103559019507665
26,1997,4.014639467459389,1.673409683924602,2.3412297835347875
27,1998,3.889500469221996,1.4124944343600387,2.477006034861957
28,1999,4.09389531976133,1.588774851997912,2.5051204677634185
29,2000,4.102366202049143,1.498318403625078,2.6040477984240646
30,2001,3.952302291377778,1.3580287595306375,2.5942735318471404
31,2002,4.131991158160069,1.4999936283857642,2.631997529774305
32,2003,4.18257229024969,1.5265377751644036,2.656034515085285
33,2004,4.186930068517096,1.5672162544889252,2.6197138140281715
34,2005,3.965684682140631,1.316375552839465,2.649309129301166
35,2006,4.068180555944479,1.4873180375179682,2.580862518426511
36,2007,3.9259926990924425,1.4446515852405315,2.481341113851911
37,2008,3.651408321030417,1.1891245270398505,2.462283793990566
38,2009,3.5833095589106296,1.1470999966363356,2.436209562274294
39,2010,3.862472700412417,1.260629880958681,2.601842819453736
40,2011,4.024200032317546,1.2599996629266408,2.7642003693909056
41,2012,3.834513084727526,1.092358747158939,2.742154337568587
42,2013,3.7969672583049223,1.0457949218712266,2.7511723364336964
43,2014,3.977195676252101,1.0605082808130983,2.9166873954390025
44,2015,4.035593917906574,1.0481678319644434,2.987426085942131
45,2016,3.9844422034074665,1.0232332129681974,2.9612089904392693
46,2017,3.9567515967599007,0.9918685377420964,2.9648830590178044
47,2018,3.7816354444025775,0.9926100452422812,2.7890253991602973
48,2019,3.7673675027938014,0.9602266711380056,2.807140831655796
