,Year,Total,Processed,Fresh
0,1971,0.0,0.0,0.0
1,1972,0.0,0.0,0.0
2,1973,0.0,0.0,0.0
3,1974,0.0,0.0,0.0
4,1975,0.0,0.0,0.0
5,1976,0.0,0.0,0.0
6,1977,0.0,0.0,0.0
7,1978,0.0,0.0,0.0
8,1979,0.0,0.0,0.0
9,1980,0.0,0.0,0.0
10,1981,0.0,0.0,0.0
11,1982,0.0,0.0,0.0
12,1983,0.0,0.0,0.0
13,1984,0.0,0.0,0.0
14,1985,0.0,0.0,0.0
15,1986,0.0,0.0,0.0
16,1987,0.0,0.0,0.0
17,1988,0.0,0.0,0.0
18,1989,0.0,0.0,0.0
19,1990,0.0,0.0,0.0
20,1991,0.0,0.0,0.0
21,1992,0.0,0.0,0.0
22,1993,0.0,0.0,0.0
23,1994,0.0,0.0,0.0
24,1995,0.0,0.0,0.0
25,1996,0.0,0.0,0.0
26,1997,0.681843231517852,0.0,0.681843231517852
27,1998,0.6850316715861144,0.0,0.6850316715861144
28,1999,0.6882036556329328,0.0,0.6882036556329328
29,2000,0.7349308213963206,0.0,0.7349308213963206
30,2001,0.781100579228447,0.0,0.781100579228447
31,2002,0.6986975599045113,0.0,0.6986975599045113
32,2003,0.7990415674956105,0.0,0.7990415674956105
33,2004,0.7799841522181916,0.0,0.7799841522181916
34,2005,0.6809296374617388,0.0,0.6809296374617388
35,2006,0.5108466063029478,0.0,0.5108466063029478
36,2007,0.3951809229900375,0.0,0.3951809229900375
37,2008,0.3241367205012594,0.0,0.3241367205012594
38,2009,0.3094540196971366,0.0,0.3094540196971366
39,2010,0.3092324072612011,0.0,0.3092324072612011
40,2011,0.2979214815590853,0.0,0.2979214815590853
41,2012,0.2380025077785615,0.0,0.2380025077785615
42,2013,0.2652385127780879,0.0,0.2652385127780879
43,2014,0.5530809136314752,0.0,0.5530809136314752
44,2015,0.4522651813015995,0.0,0.4522651813015995
45,2016,0.4458122992236007,0.0,0.4458122992236007
46,2017,0.7294582862849539,0.0,0.7294582862849539
47,2018,0.7360104123885984,0.0,0.7360104123885984
48,2019,0.7452802076576689,0.0,0.7452802076576689
