,Year,Total,Processed,Fresh
0,1971,1.7764529690216262,1.7764529690216262,0.0
1,1972,1.6703510309867744,1.6703510309867744,0.0
2,1973,1.9225233472858632,1.9225233472858632,0.0
3,1974,1.393474052390883,1.393474052390883,0.0
4,1975,1.5853833581049486,1.5853833581049486,0.0
5,1976,1.7469672300318757,1.7469672300318757,0.0
6,1977,1.5219829367187463,1.5219829367187463,0.0
7,1978,1.5144776152930346,1.5144776152930346,0.0
8,1979,1.4147652795983203,1.4147652795983203,0.0
9,1980,1.2690689688485286,1.2690689688485286,0.0
10,1981,1.368898011010323,1.368898011010323,0.0
11,1982,1.5022309507812632,1.5022309507812632,0.0
12,1983,1.5906481667214385,1.5906481667214385,0.0
13,1984,1.3894765346015197,1.3894765346015197,0.0
14,1985,1.5218102370987896,1.5218102370987896,0.0
15,1986,1.6654823790468356,1.6654823790468356,0.0
16,1987,1.6630698011564886,1.6630698011564886,0.0
17,1988,1.9622807840960568,1.9622807840960568,0.0
18,1989,2.091031850635962,2.091031850635962,0.0
19,1990,2.5534517774615,1.6663201829434056,0.8871315945180943
20,1991,2.642512195603034,1.6525111147053375,0.9900010808976972
21,1992,2.307965775767437,1.6096133035415383,0.6983524722258986
22,1993,2.641975024495207,1.8924580891817644,0.7495169353134428
23,1994,2.906629765863436,2.025426684280053,0.8812030815833829
24,1995,2.4759085955349125,1.789899629347568,0.6860089661873446
25,1996,2.6951539491298533,1.8617510633485008,0.8334028857813525
26,1997,3.011952064181861,2.0017371167262707,1.0102149474555904
27,1998,2.8796462633323063,1.8370714014088323,1.042574861923474
28,1999,3.6756107210416697,2.3607323952571053,1.3148783257845644
29,2000,3.697577851635107,1.864932624383856,1.5482122201864283
30,2001,4.450275762941951,2.154668745695854,1.7654781323264093
31,2002,5.693152343290559,3.142859656064481,1.652681275187838
32,2003,5.399714676485701,2.624101018296447,1.62674989130892
33,2004,5.423987967803639,2.601310690924769,1.905098723030625
34,2005,6.203764929182661,3.128617988178492,2.151483880667829
35,2006,6.0905657417835855,3.2234385633355256,2.0714146025283124
36,2007,5.970262797064052,3.0073549020647965,2.009639037231428
37,2008,6.04043704538827,2.931800443559688,1.9608713201800725
38,2009,6.227310245790156,3.331184445810437,1.7501666059914254
39,2010,6.978495724727458,3.398458293849216,1.979128757352684
40,2011,7.286854982857625,3.34722544227177,1.912488970749621
41,2012,8.5112633554634,3.5328727091929517,1.956256806149376
42,2013,8.119269401378586,3.32,1.93
43,2014,8.390932771486876,3.51,1.84
44,2015,10.139865099307617,3.61,2.17
45,2016,10.427114407746425,3.69,2.33
46,2017,8.330349617133482,3.44,0.76
47,2018,11.27714862785102,4.67,1.14
48,2019,10.786693665696692,4.99,0.93
