,Year,Total,Processed,Fresh
0,1971,117.78302521898672,61.713435840143305,56.0695893788434
1,1972,119.3967093227122,61.54247675039068,57.85423257232154
2,1973,118.25060002170744,65.83176457819158,52.41883544351585
3,1974,117.21721735389563,67.86674460145706,49.35047275243858
4,1975,121.9669958744843,69.32279034879359,52.64420552569071
5,1976,125.29911711422476,75.8519503749398,49.447166739284974
6,1977,122.12361116786764,72.04670380813572,50.076907359731926
7,1978,119.39074115506436,73.42483599523777,45.965905159826576
8,1979,117.80909964230966,68.46353078136455,49.3455688609451
9,1980,114.71155002063884,63.58996530918735,51.12158471145148
10,1981,116.53981927763236,70.69484654253237,45.84497273509997
11,1982,114.99567867417782,67.88444122865954,47.111237445518285
12,1983,118.57577861523558,68.78341645789499,49.79236215734059
13,1984,122.05694602873729,73.76005331121905,48.29689271751823
14,1985,122.40608355069486,76.10301728548305,46.30306626521181
15,1986,125.9801822556316,77.15985323144305,48.82032902418855
16,1987,125.91956623449369,77.98063195005027,47.93893428444342
17,1988,122.3894173968762,72.7748619097955,49.6145554870807
18,1989,126.99759633515536,76.96437285046615,50.033223484689216
19,1990,123.99974869224252,77.25896604783875,46.740782644403765
20,1991,133.95551060599308,83.7503436717582,50.20516693423487
21,1992,129.79711148316036,81.46798998985963,48.32912149330074
22,1993,136.4892380168796,86.35709890139671,50.13213911548289
23,1994,136.46111594886426,86.83225332340683,49.62886262545743
24,1995,136.62410826179016,87.40214730079495,49.22196096099521
25,1996,144.8890966114816,94.94665492265796,49.94244168882363
26,1997,137.71125694453525,90.40449185879332,47.30676508574192
27,1998,137.55073092924323,90.6866502962099,46.86408063303333
28,1999,136.15683843076462,88.4496517766892,47.70718665407544
29,2000,138.00712871828887,90.85992613050976,47.1472025877791
30,2001,138.73170436627663,92.16130986279968,46.57039450347696
31,2002,131.8363696539334,87.56991620225942,44.26645345167397
32,2003,137.8510683096245,91.07267051021734,46.778397799407166
33,2004,134.61143477174488,88.77290629175855,45.83852847998634
34,2005,125.37005936210078,84.09906287521497,41.27099648688581
35,2006,123.65143572315765,85.07349555961189,38.57794016354576
36,2007,124.34935008823744,85.63805061525741,38.71129947298001
37,2008,118.2855500324902,80.45302401646738,37.8325260160228
38,2009,113.32639677291024,76.67973870657244,36.64665806633779
39,2010,113.82583325710348,77.0135493598556,36.81228389724787
40,2011,110.37691753198628,76.31190626432732,34.06501126765894
41,2012,114.8192855192986,80.2616235622782,34.5576619570204
42,2013,113.49299140997029,78.921237238771,34.57175417119929
43,2014,113.04636425165042,79.42680059547843,33.61956365617199
44,2015,115.37168113217552,81.21577253576216,34.15590859641337
45,2016,110.18098914166386,76.4516702582925,33.72931888337136
46,2017,117.77013406247843,82.91385298270947,34.85628107976897
47,2018,117.54232870142044,84.49660764433246,33.04572105708799
48,2019,112.59605338189272,82.5226653050635,30.073388076829225
