,Year,Total,Processed,Fresh
0,1971,0.0,0.0,0.0
1,1972,0.0,0.0,0.0
2,1973,0.0,0.0,0.0
3,1974,0.0,0.0,0.0
4,1975,0.0,0.0,0.0
5,1976,0.0,0.0,0.0
6,1977,0.0,0.0,0.0
7,1978,0.0,0.0,0.0
8,1979,0.0,0.0,0.0
9,1980,0.0,0.0,0.0
10,1981,0.0,0.0,0.0
11,1982,0.0,0.0,0.0
12,1983,0.0,0.0,0.0
13,1984,0.0,0.0,0.0
14,1985,0.0,0.0,0.0
15,1986,0.0,0.0,0.0
16,1987,3.0136900545295795,0.0,3.0136900545295795
17,1988,3.8059172601205615,0.0,3.8059172601205615
18,1989,4.820006305473797,0.0,4.820006305473797
19,1990,4.433463434978331,0.0,4.433463434978331
20,1991,4.4291907455196,0.0,4.4291907455196
21,1992,4.057538341580575,0.0,4.057538341580575
22,1993,5.125577905784712,0.0,5.125577905784712
23,1994,5.491415785298896,0.0,5.491415785298896
24,1995,5.896322927869087,0.0,5.896322927869087
25,1996,5.774851782717206,0.0,5.774851782717206
26,1997,5.648383880210472,0.0,5.648383880210472
27,1998,6.356542120551221,0.0,6.356542120551221
28,1999,5.92051613985929,0.0,5.92051613985929
29,2000,4.598884797719426,0.0,4.598884797719426
30,2001,4.102344395260776,0.0,4.102344395260776
31,2002,4.012741620301538,0.0,4.012741620301538
32,2003,3.760923425495571,0.0,3.760923425495571
33,2004,4.512471111204973,0.0,4.512471111204973
34,2005,4.790842643718745,0.0,4.790842643718745
35,2006,4.677726241776578,0.0,4.677726241776578
36,2007,4.96670316214354,0.0,4.96670316214354
37,2008,4.677400327109119,0.0,4.677400327109119
38,2009,4.00843691230026,0.0,4.00843691230026
39,2010,4.370526163147771,0.0,4.370526163147771
40,2011,4.364739201956367,0.0,4.364739201956367
41,2012,5.0393081430566085,0.0,5.0393081430566085
42,2013,4.682284617445744,0.0,4.682284617445744
43,2014,5.333121167299914,0.0,5.333121167299914
44,2015,3.1298155032042363,0.0,3.1298155032042363
45,2016,7.022848711184198,0.0,7.022848711184198
46,2017,6.666214338413302,0.0,6.666214338413302
47,2018,6.500120491120261,0.0,6.500120491120261
48,2019,5.745184010931241,0.0,5.745184010931241
