,Year,Total,Processed,Fresh
0,1971,0.0,0.0,0.0
1,1972,0.0,0.0,0.0
2,1973,0.0,0.0,0.0
3,1974,0.0,0.0,0.0
4,1975,0.0,0.0,0.0
5,1976,0.0,0.0,0.0
6,1977,0.0,0.0,0.0
7,1978,0.0,0.0,0.0
8,1979,0.0,0.0,0.0
9,1980,0.0,0.0,0.0
10,1981,0.0,0.0,0.0
11,1982,0.0,0.0,0.0
12,1983,0.0,0.0,0.0
13,1984,0.0,0.0,0.0
14,1985,3.265455033421955,0.0,3.265455033421955
15,1986,2.373561713851178,0.0,2.373561713851178
16,1987,2.524670104281643,0.0,2.524670104281643
17,1988,3.200541994359668,0.0,3.200541994359668
18,1989,3.563486993717201,0.0,3.563486993717201
19,1990,3.770263249004525,0.0,3.770263249004525
20,1991,3.9967136725668952,0.0,3.9967136725668952
21,1992,4.669613338575444,0.0,4.669613338575444
22,1993,5.041706069047665,0.0,5.041706069047665
23,1994,5.67822450614191,0.0,5.67822450614191
24,1995,5.89454533176769,0.0,5.89454533176769
25,1996,5.817609607404689,0.0,5.817609607404689
26,1997,6.594743796535148,0.0,6.594743796535148
27,1998,6.614551013164804,0.0,6.614551013164804
28,1999,7.591576494387654,0.0,7.591576494387654
29,2000,8.385003900632118,0.0,8.385003900632118
30,2001,8.02723748200193,0.0,8.02723748200193
31,2002,9.59394362131077,0.0,9.59394362131077
32,2003,10.82055709113505,0.0,10.82055709113505
33,2004,11.98333284115348,0.0,11.98333284115348
34,2005,9.6658879916613,0.0,9.6658879916613
35,2006,11.980200978425032,0.0,11.980200978425032
36,2007,11.54250450688691,0.0,11.54250450688691
37,2008,10.406753457089865,0.0,10.406753457089865
38,2009,9.995773323215436,0.0,9.995773323215436
39,2010,12.01098930356738,0.0,12.01098930356738
40,2011,11.73127017515849,0.0,11.73127017515849
41,2012,11.930382728559582,0.0,11.930382728559582
42,2013,11.425794058813734,0.0,11.425794058813734
43,2014,10.799519540168497,0.0,10.799519540168497
44,2015,11.893887648987764,0.0,11.893887648987764
45,2016,14.533751916131676,0.0,14.533751916131676
46,2017,15.081545785402753,0.0,15.081545785402753
47,2018,12.128431401030618,0.0,12.128431401030618
48,2019,12.352992785497344,0.0,12.352992785497344
