,Year,Total,Processed,Fresh
0,1971,7.464372198808327,5.951810860858496,1.5125613379498315
1,1972,7.494197784583346,5.966774679807648,1.5274231047756983
2,1973,8.013405764909756,6.585434324338568,1.4279714405711883
3,1974,7.703106441589178,6.341897392424794,1.361209049164383
4,1975,7.033903730217771,5.587426624283234,1.4464771059345378
5,1976,7.827094226482128,6.3791615551220255,1.4479326713601026
6,1977,7.522731543683814,6.177828960580912,1.344902583102902
7,1978,7.4807058484934625,6.191310785933092,1.2893950625603705
8,1979,7.445878775653695,6.139087102507131,1.306791673146564
9,1980,7.231725704187173,5.9171546846285805,1.3145710195585925
10,1981,7.563499863357056,6.30644882102906,1.2570510423279966
11,1982,6.990100934871913,5.730268385386151,1.2598325494857616
12,1983,6.779373891523028,5.540469377359986,1.2389045141630426
13,1984,6.833959530524862,5.491316478753745,1.342643051771117
14,1985,6.889983538241815,5.630114206764791,1.2598693314770242
15,1986,6.634734202731709,5.378470983380864,1.2562632193508445
16,1987,6.650632609017974,5.434108169552396,1.2165244394655772
17,1988,6.692398202603042,5.502891997012501,1.189506205590541
18,1989,7.074513547872339,5.880563874949827,1.193949672922512
19,1990,6.700981725201093,5.632181483728591,1.0688002414725024
20,1991,6.989331643335319,5.865861279262149,1.1234703640731696
21,1992,7.163927665278287,5.71663416679253,1.4472934984857566
22,1993,7.211753191831088,5.696567132005148,1.51518605982594
23,1994,7.269121615314535,5.730452132024476,1.5386694832900591
24,1995,6.828668058028863,5.193142174259163,1.6355258837697002
25,1996,7.204938471507452,5.753301344977324,1.451637126530128
26,1997,6.73885605362901,5.389110666837663,1.3497453867913467
27,1998,7.34012451569817,5.699549961617443,1.6405745540807273
28,1999,7.526934062578992,5.631752215428131,1.8951818471508617
29,2000,7.862681733498592,5.846648395006817,2.0160333384917752
30,2001,7.830900187308835,5.665463655840477,2.1654365314683583
31,2002,7.2120935187415025,5.118758567223961,2.093334951517541
32,2003,7.505999912502468,5.539101670996533,1.966898241505936
33,2004,7.558693445843981,5.676506433868356,1.882187011975625
34,2005,7.598320453609497,5.797429430747042,1.800891022862455
35,2006,7.923325583581308,5.842849486699354,2.0804760968819545
36,2007,7.810693861963719,5.612793568140708,2.1979002938230106
37,2008,7.378851906552493,5.4000755510687,1.9787763554837925
38,2009,7.249303983181477,5.499937205760042,1.7493667774214343
39,2010,7.525960816103588,5.649664504956052,1.8762963111475368
40,2011,6.435126556469815,4.707759262082503,1.7273672943873124
41,2012,6.464385945265163,4.831881220777411,1.6325047244877526
42,2013,6.589395286357751,4.966835934660164,1.6225593516975871
43,2014,6.017285374229835,4.545026853076728,1.4722585211531074
44,2015,6.438621957605933,4.846703320578856,1.591918637027077
45,2016,6.87707060208828,5.177843251592771,1.6992273504955089
46,2017,6.572599335249715,5.0188817470235065,1.5537175882262086
47,2018,6.342899583199386,4.710439274453293,1.6324603087460925
48,2019,5.497749773687216,4.11329519582354,1.3844545778636768
