,Year,Total,Processed,Fresh
0,1971,27.711583077070564,20.25617257630249,7.455410500768079
1,1972,28.074783623895804,20.30386850402692,7.770915119868889
2,1973,28.309869327455875,20.39997404221551,7.909895285240363
3,1974,27.04568538293558,19.313092118371905,7.732593264563675
4,1975,26.04299322739671,18.26808154862205,7.774911678774662
5,1976,26.80286411983216,18.790090941214046,8.012773178618112
6,1977,28.920646805291483,21.364205847967845,7.556440957323636
7,1978,26.279835685568408,19.68993070544845,6.589904980119954
8,1979,25.98684663986868,19.504137968654973,6.482708671213703
9,1980,25.931497493223294,19.43321007764492,6.49828741557837
10,1981,24.64895625380054,18.415947896043303,6.2330083577572335
11,1982,23.365937399479883,17.34843003475819,6.017507364721691
12,1983,24.41777194453336,18.27284242898325,6.144929515550113
13,1984,24.638803880054727,18.20239231744366,6.436411562611066
14,1985,26.20750774048568,19.79428321371876,6.413224526766919
15,1986,25.706652239938343,19.646035413081197,6.06061682685715
16,1987,24.731516544208496,18.469663362218085,6.261853181990412
17,1988,24.91932722909465,19.09993215683554,5.819395072259113
18,1989,24.43418060822666,17.90655084862255,6.52762975960411
19,1990,26.28987542872283,19.54751539482073,6.7423600339021
20,1991,26.33284292961765,20.424721774398375,5.908121155219277
21,1992,27.664174508859247,20.795477902476847,6.868696606382398
22,1993,27.77307040831292,20.79635650079913,6.976713907513785
23,1994,27.330660974427808,19.175799732987763,8.154861241440047
24,1995,28.56059497707772,20.73778475637445,7.822810220703263
25,1996,29.037586182326937,20.711493000736308,8.326093181590629
26,1997,27.497252539612724,19.206813610580653,8.290438929032069
27,1998,28.340067672035616,19.006555852684983,9.333511819350631
28,1999,28.237924979712936,19.142995270982027,9.094929708730913
29,2000,27.090129835363484,18.050461414590423,9.03966842077306
30,2001,27.15660034814743,17.983407593241914,9.173192754905516
31,2002,26.14318312375637,17.169232160534364,8.973950963222004
32,2003,26.49749755550892,17.33190661057293,9.165590944935994
33,2004,26.24248932830195,17.280170528415688,8.962318799886262
34,2005,26.6806897467504,18.02914155991648,8.65154818683392
35,2006,26.114593579345133,17.788357779898767,8.326235799446364
36,2007,26.05341127301902,16.828874830996646,9.224536442022371
37,2008,25.128845507606226,15.98640805052792,9.142437457078302
38,2009,25.83656512775835,16.6624298869428,9.174135240815552
39,2010,24.650674352135773,15.402320447060632,9.248353905075144
40,2011,23.74382953532024,15.574769599364505,8.169059935955735
41,2012,24.32311054897454,15.64213316974788,8.680977379226661
42,2013,21.6632904504286,12.787761951891888,8.87552849853671
43,2014,21.09230956658579,13.445768779418492,7.646540787167296
44,2015,21.97126905571197,13.35491417914002,8.61635487657195
45,2016,19.56619450756929,12.4690391599304,7.097155347638889
46,2017,20.3310940909344,13.110988499840964,7.220105591093437
47,2018,19.920096645413796,13.112451414486404,6.80764523092739
48,2019,15.74105798709108,10.632966609238078,5.108091377853002
