,Year,Total,Processed,Fresh
0,1971,79.6602575844903,68.31721098450282,11.343046599987478
1,1972,76.96396491232231,64.8696462973892,12.094318614933112
2,1973,70.90918031435432,58.424860629961486,12.484319684392828
3,1974,73.17144463529884,61.32840686186464,11.84303777343421
4,1975,73.93328879478955,61.93675682088541,11.996531973904146
5,1976,78.20721822153871,65.65131710474553,12.555901116793176
6,1977,75.12671286027758,62.76976518071128,12.356947679566291
7,1978,71.75927029596907,58.84282040042356,12.916449895545522
8,1979,76.71746749765032,64.29931637903486,12.41815111861545
9,1980,76.44196632850876,63.6128295588821,12.829136769626656
10,1981,71.63126875440429,59.31908347484122,12.312185279563066
11,1982,73.00421144743046,60.12080231345283,12.88340913397764
12,1983,74.41446093934962,60.94467984019339,13.469781099156233
13,1984,82.70782675879455,68.51057524831002,14.19725151048454
14,1985,78.08162600866278,63.23004968331661,14.851576325346173
15,1986,79.41133810626559,63.61607027027072,15.795267835994864
16,1987,81.05138151050983,65.20155613695749,15.84982537355233
17,1988,78.1241709894254,61.29092404324528,16.83324694618012
18,1989,86.24071401136887,69.39730834229528,16.84340566907359
19,1990,90.83576162586156,75.31275526521998,15.52300636064158
20,1991,92.47010073650948,77.1086919954397,15.361408741069772
21,1992,88.76142407374246,73.31541818804642,15.446005885696044
22,1993,92.0780597721465,75.77532327909162,16.302736493054887
23,1994,92.49295780189422,76.28058050342324,16.212377298470976
24,1995,91.40519946817454,74.56271796515642,16.842481503018114
25,1996,90.84986615127372,73.44656361147464,17.40330253979909
26,1997,89.86708457703509,72.5721052686866,17.29497930834848
27,1998,92.52677421567294,74.02979933564107,18.496974880031868
28,1999,90.25309805516528,71.18507741390782,19.06802064125745
29,2000,89.1239902515856,70.1391554232484,18.9848348283372
30,2001,84.73265603009459,65.529602571767,19.203053458327584
31,2002,89.64823706408286,69.33676080824323,20.31147625583964
32,2003,89.23891957612803,69.82717967276236,19.411739903365675
33,2004,90.48507563909531,70.53527330187882,19.949802337216507
34,2005,93.85836992317206,73.70717231308477,20.1511976100873
35,2006,84.27969844893485,64.50941146583067,19.770286983104192
36,2007,87.90257884340433,68.69427348225234,19.20830536115199
37,2008,85.62398350847803,67.11039364979138,18.51358985868666
38,2009,89.86504934026404,70.27572325367903,19.589326086585007
39,2010,91.6059129066346,71.05281620543994,20.55309670119468
40,2011,86.73017868529124,65.75827535805972,20.971903327231523
41,2012,87.33756908253959,66.54608398456858,20.791485097971
42,2013,86.220763168818,65.98004440707598,20.24071876174202
43,2014,87.99637524591161,67.3626683474479,20.633706898463718
44,2015,76.86805089954368,56.30903324698146,20.55901765256222
45,2016,81.4555002582917,61.14499693761916,20.31050332067256
46,2017,78.01515751192545,57.88092769363843,20.13422981828702
47,2018,85.93114838010518,65.63349889469077,20.29764948541441
48,2019,82.15539395702262,63.820278590729465,18.33511536629316
