,Year,Total,Processed,Fresh
0,1971,0.0,0.0,0.0
1,1972,0.0,0.0,0.0
2,1973,0.0,0.0,0.0
3,1974,0.0,0.0,0.0
4,1975,0.0,0.0,0.0
5,1976,0.0,0.0,0.0
6,1977,0.0,0.0,0.0
7,1978,0.0,0.0,0.0
8,1979,0.0,0.0,0.0
9,1980,0.0,0.0,0.0
10,1981,0.0,0.0,0.0
11,1982,0.0,0.0,0.0
12,1983,0.0,0.0,0.0
13,1984,0.0,0.0,0.0
14,1985,0.0,0.0,0.0
15,1986,0.0,0.0,0.0
16,1987,0.0,0.0,0.0
17,1988,0.0,0.0,0.0
18,1989,0.0,0.0,0.0
19,1990,0.0,0.0,0.0
20,1991,0.0,0.0,0.0
21,1992,0.0,0.0,0.0
22,1993,0.0,0.0,0.0
23,1994,0.0,0.0,0.0
24,1995,0.0,0.0,0.0
25,1996,0.0,0.0,0.0
26,1997,0.5282435363780266,0.0,0.5282435363780266
27,1998,0.5147913007261468,0.0,0.5147913007261468
28,1999,0.5139322992523114,0.0,0.5139322992523114
29,2000,0.515253997202401,0.0,0.515253997202401
30,2001,0.4149886337802732,0.0,0.4149886337802732
31,2002,0.4578611385804731,0.0,0.4578611385804731
32,2003,0.5225479638639934,0.0,0.5225479638639934
33,2004,0.5080344983681824,0.0,0.5080344983681824
34,2005,0.4432867486807972,0.0,0.4432867486807972
35,2006,0.5296372783800575,0.0,0.5296372783800575
36,2007,0.4579993576705828,0.0,0.4579993576705828
37,2008,0.3695998278675019,0.0,0.3695998278675019
38,2009,0.3433957974795202,0.0,0.3433957974795202
39,2010,0.3369493415180222,0.0,0.3369493415180222
40,2011,0.3182713539312137,0.0,0.3182713539312137
41,2012,0.2514912758751494,0.0,0.2514912758751494
42,2013,0.2312117298836365,0.0,0.2312117298836365
43,2014,0.3937635727606223,0.0,0.3937635727606223
44,2015,0.2741457514742316,0.0,0.2741457514742316
45,2016,0.2543533817574299,0.0,0.2543533817574299
46,2017,0.3545405354261112,0.0,0.3545405354261112
47,2018,0.3642340088659675,0.0,0.3642340088659675
48,2019,0.3724525650120712,0.0,0.3724525650120712
