,Year,Fluid Milk,Fluid Cream,Sour Cream,Yoghurt,Butter,American Cheese,Other Cheeses,Total,Cottage Cheese,Ice cream,Lowfat and non fat icecream,Sherbet,Frozen Yoghurt,Other Frozen Prodcuts,Total,Whole Milk/Evaporated_Condensed,Skim Milk/Evaporated_Condensed,Total/Evaporated_Condensed,Whole Milk/Dry,Nonfat Milk/Dry,Buttermilk/Dry,Total/Dry,Dried Whey,All Dairy
5,1909,294.087744502155,12.255497845065754,*,*,17.86937783180462,2.464360702840093,1.359266217261576,3.8236269201016686,0.6,1.558183224665709,,,,,1.558183224665709,5.481268648469444,0.5967510222123992,6.078019670681844,--,,,,,770
6,1910,277.6088391572067,11.535922603265988,*,*,18.407696386637376,2.759531204345991,1.5150367396409363,4.274567943986927,0.6,1.9370826885409114,,,,,1.9370826885409114,5.8004263746252995,0.7034099148332918,6.503836289458591,--,,,,,759
7,1911,269.25412569383036,11.18651651875606,*,*,18.6868094989506,2.524956585662082,1.470227885322225,3.9951844709843067,0.7,2.3012262552869607,,,,,2.3012262552869607,6.392295153574891,0.7990368941968614,7.191332047771753,--,,,,,749
8,1912,296.5752346986941,12.513767241831438,*,*,16.625583468820476,2.433523889442492,1.4265484869145646,3.860072376357057,0.7,2.6642890858551427,,,,,2.6642890858551427,7.069806471914827,0.7971888603346096,7.866995332249436,--,,,,,763
9,1913,285.1632810491129,12.013371046541527,*,*,16.5183851889946,2.653638467472358,1.5736693237336077,4.227307791205966,0.7,2.9930573412188224,,,,,2.9930573412188224,7.971200822833634,0.9051169966572384,8.876317819490872,--,,,,,754
10,1914,268.05299109079715,11.29037140176166,*,*,17.001140135807326,2.6535904188233395,1.5538134011360998,4.207403819959439,0.7,3.41031772457144,,,,,3.41031772457144,8.919292510417613,0.9988800435874927,9.918172554005105,--,,,,,747
11,1915,250.00497284824854,10.462872714976228,*,*,17.2259463330217,2.556043999761303,1.5714200465458594,4.127464046307162,0.7,3.8688759373818944,,,,,3.8688759373818944,9.53792294074354,1.203429276152209,10.741352216895748,--,,,,,751
12,1916,240.79795215817813,10.06267102127284,*,*,17.320347976186973,2.4421102186129993,1.402497033179353,3.844607251792352,0.7,4.315375486705701,,,,,4.315375486705701,9.63113347260227,1.402497033179353,11.033630505781623,--,,,,,747
13,1917,256.02316303211063,10.797149165278693,*,*,15.752219235306631,2.4658170073684413,1.2570831802270486,3.72290018759549,0.7,4.834935308565571,,,,,4.834935308565571,9.466803334171388,1.5955286518266385,11.062331985998027,--,,,,,729
14,1918,293.0586776218898,12.557166111154174,*,*,14.17503586800574,2.812051649928264,1.1382113821138211,3.950263032042085,0.6,6.15116212338594,,,,,6.15116212338594,10.3012912482066,1.7981826877092302,12.09947393591583,--,,,,,725
