,Year,US Population,Shell Total,Shell Per Capita,Processed Total,Processed Per Capita,Total Farm Weight Count,Total Farm Weight Count Per Capita,Total Farm Weight Pounds,Total Farm Weight Pounds Per Capita,Total Retail Weight Count,Total Retail Weight Count Per Capita,Total Retai Weight Pounds,Total Retail Weight Pounds Per Capita
5,1909,90.49,,,,,26496,292.80583489888386,3466.56,38.30876339927064,3362.5632,37.15950049729252,25701.12,284.0216598519173
6,1910,92.407,,,,,28272,305.9508478794897,3698.92,40.028569264233234,3587.9524,38.827712186306236,27423.84,296.772322443105
7,1911,93.863,,,,,30900,329.2032004091069,4042.75,43.07075205352482,3921.4674999999997,41.77862949191907,29973,319.3271043968337
8,1912,95.335,,,,,29688,311.4071432317617,3884.1800000000003,40.74243457282216,3767.6546000000003,39.52016153563749,28797.36,302.06492893480885
9,1913,97.225,,,,,29484,303.2553355618411,3857.4900000000002,39.675906402674215,3741.7653,38.485629210593984,28599.48,294.1576754949859
10,1914,99.111,,,,,29268,295.3052637951388,3829.23,38.635772013197325,3714.3531,37.4766988528014,28389.96,286.4461058812846
11,1915,100.546,,,,,31464,312.9313945855628,4116.54,40.9418574582778,3993.0438,39.71360173452947,30520.079999999998,303.5434527479959
12,1916,101.961,,,,,30504,299.17321328743344,3990.94,39.14182873843921,3871.2118,37.96757387628603,29588.879999999997,290.1980168888104
13,1917,103.414,,,,,29088,281.2771965111107,3805.6800000000003,36.80043321020365,3691.5096000000003,35.69642021389754,28215.36,272.8388806157774
14,1918,104.55,,,,,29724,284.3041606886657,3888.8900000000003,37.19646102343377,3772.2233,36.080567192730754,28832.28,275.7750358680057
15,1919,105.063,,,,,31848,303.1324062705234,4166.78,39.659823153726805,4041.7765999999997,38.47002845911501,30892.559999999998,294.03843408240766
16,1920,106.461,,,,,31884,299.48995406768677,4171.49,39.18326899052235,4046.3452999999995,38.00777092080668,30927.48,290.50525544565613
17,1921,108.538,,,,,32508,299.5080064125007,4253.13,39.18563083896884,4125.5361,38.01006191379978,31532.76,290.5227662201257
18,1922,110.049,,,,,34764,315.89564648474766,4548.29,41.32968041508782,4411.8413,40.08979000263519,33721.08,306.41877709020525
19,1923,111.947,,,,,36552,326.5116528357169,4782.22,42.718607912672965,4638.7534000000005,41.437049675292776,35455.44,316.7163032506454
20,1924,114.109,,,,,36996,324.21631948400216,4840.31,42.41830179915695,4695.1007,41.14575274518224,35886.12,314.4898298994821
21,1925,115.829,,,,,36840,318.0550639304492,4819.900000000001,41.61220419756711,4675.303000000001,40.363838071640096,35734.799999999996,308.5134120125357
22,1926,117.397,,,,,39744,338.5435743673177,5199.84,44.2927843130574,5043.8448,42.964000783665675,38551.68,328.3872671362982
23,1927,119.035,,,,,40704,341.9498466837485,5325.4400000000005,44.738438274457096,5165.6768,43.39628512622338,39482.88,331.69135128323603
24,1928,120.509,,,,,40764,338.2651918114,5333.29,44.25636259532483,5173.2913,42.928671717465086,39541.08,328.117236057058
25,1929,121.767,,,,,40716,334.3763088521521,5327.01,43.74756707482323,5167.1997,42.43514006257853,39494.52,324.3450195865875
26,1930,123.188,,,,,40776,331.0062668441731,5334.860000000001,43.306653245445986,5174.814200000001,42.00745364808261,39552.72,321.07607883884793
27,1931,124.149,,,,,41268,332.4070270400889,5399.2300000000005,43.48991937107831,5237.2531,42.18522178994595,40029.96,322.43481622888623
28,1932,124.949,,,,,39096,312.89566142986337,5115.06,40.93718237040713,4961.608200000001,39.70906689929492,37923.119999999995,303.50879158696745
