,Year,US Population,Total Fish,Per Cap Fish,Total Shellfish,Per Cap Shellfish,Total both,Per cap both,Total Salmon,Per Cap Salmon,Total Sardines,Per Cap Sardines,Total Tuna,Per Cap Tuna,Total Canned Shellfish,Per Cap Canned Shellfish,Other Total,Other Per cap,Total Canned,Per Cap Canned,Total Cured,Per Cap Cured,Total fish and Shellfish,Total Per cap fish and shellfilsh
5,1909,90.49,,,,,,4.3,,,,,,,,,,,,2.7,,4,,11
6,1910,92.407,,,,,,4.5,,,,,,,,,,,,2.8,,3.9,,11.2
7,1911,93.863,,,,,,4.8,,,,,,,,,,,,2.8,,3.7,,11.3
8,1912,95.335,,,,,,5,,,,,,,,,,,,2.9,,3.4,,11.3
9,1913,97.225,,,,,,5.3,,,,,,,,,,,,2.9,,3.3,,11.5
10,1914,99.111,,,,,,5.6,,,,,,,,,,,,3,,3.1,,11.7
11,1915,100.546,,,,,,5.8,,,,,,,,,,,,2.4,,3,,11.2
12,1916,101.961,,,,,,6,,,,,,,,,,,,2.2,,2.8,,11
13,1917,103.414,,,,,,6.2,,,,,,,,,,,,2,,2.7,,10.899999999999999
14,1918,104.55,,,,,,6.4,,,,,,,,,,,,2,,2.5,,10.9
15,1919,105.063,,,,,,6.4,,,,,,,,,,,,2.8,,2.4,,11.6
16,1920,106.461,,,,,,6.3,,,,,,,,,,,,3.2,,2.3,,11.8
17,1921,108.538,,,,,,6.2,,1.1,,0.7,,0.1,,0.2,,0.1,,2.2,,2.1,,10.5
18,1922,110.049,,,,,,6.1,,2.1,,0.7,,0.1,,0.2,,0.1,,3.2,,2,,11.3
19,1923,111.947,,,,,,6,,1.9,,0.6,,0.2,,0.2,,--,,2.9,,1.8,,10.700000000000001
20,1924,114.109,,,,,,6.1,,2.1,,0.8,,0.1,,0.2,,--,,3.2,,1.7,,11
21,1925,115.829,,,,,,6.3,,2,,0.8,,0.2,,0.2,,--,,3.2,,1.6,,11.1
22,1926,117.397,,,,,,6.6,,2.1,,0.8,,0.2,,0.2,,0.1,,3.4,,1.4,,11.4
23,1927,119.035,,,,,,7,,2.6,,0.8,,0.2,,0.2,,0.1,,3.9,,1.3,,12.200000000000001
24,1928,120.509,,,,,,7.1,,2.4,,1.1,,0.2,,0.2,,--,,3.9,,1.1,,12.1
25,1929,121.767,,5.5,,1.4,836,6.865571131751624,,2.1,,1,,0.3,,0.3,,0.2,,3.9,128,1.0511879244787177,,11.816759056230342
26,1930,123.188,,4.6,,1.2,718,5.82848978796636,,2.1,,0.6,,0.3,,0.2,,0.2,,3.4,123,0.9984738773257136,,10.226963665292073
27,1931,124.149,,3.9,,1,608,4.897341098196522,,2.1,,0.5,,0.2,,0.2,,0.2,,3.2,92,0.7410450345955263,,8.83838613279205
28,1932,124.949,,3.4,,0.9,537,4.297753483421236,,2.3,,0.5,,0.3,,0.2,,0.1,,3.4,93,0.7443036758997671,,8.442057159321003
29,1933,125.69,,3.4,,0.8,522,4.153075025857268,,2.3,,0.7,,0.3,,0.2,,0.4,,3.9,73,0.5807940170260164,,8.633869042883285
30,1934,126.485,,3.3,,1,544,4.300905245681306,,2.3,,0.8,,0.4,,0.2,,0.5,,4.2,87,0.6878285962762383,,9.188733841957545
31,1935,127.362,,4.1,,1,649,5.095711436692263,,2.2,,1,,0.5,,0.2,,0.8,,4.7,88,0.6909439236192899,,10.486655360311554
32,1936,128.181,,4.1,,1.1,660,5.14896903597257,,3,,1.3,,0.4,,0.4,,0.7,743,5.796490899587302,85,0.6631248000873764,,11.608584735647247
33,1937,128.961,,4.4,,1.2,717,5.559820410821875,,2.6,,1.3,,0.5,,0.4,,0.5,678,5.257403401028217,117,0.9072510293809756,,11.724474841231068
34,1938,129.969,,4,,1.2,682,5.247405150458956,,2.4,,1,,0.5,,0.4,,0.5,621,4.778062461048404,106,0.8155790996314506,,10.84104671113881
35,1939,131.028,,4.1,,1.2,699,5.334737613334555,,2.1,,1.1,,0.6,,0.5,,0.4,620,4.7318130475928815,91,0.6945080440821809,,10.761058705009617
36,1940,132.122,,4.5,,1.2,750,5.6765716534717905,,2,,1,,0.6,,0.5,,0.5,613,4.63965123143761,88,0.6660510740073567,,10.982273958916757
37,1941,133.402,,5,,1.3,825,6.184315077734967,,2.3,,0.9,,0.5,,0.2,,0.3,,4.2,89,0.66715641444656,,11.051471492181527
38,1942,134.86,,4,,1.2,707,5.242473676405161,,1.2,,0.8,,0.4,,0.2,,0.3,,2.9,89,0.6599436452617529,,8.802417321666914
39,1943,136.739,,4.2,,1.3,764,5.587286728731379,,0.7,,0.4,,0.4,,0.2,,0.1,,1.8,80,0.5850562019614008,,7.97234293069278
40,1944,138.397,,4.1,,1.4,775,5.599832366308519,,0.8,,0.9,,0.5,,0.1,,0.3,,2.6,74,0.5346936711055876,,8.734526037414106
41,1945,139.928,,5,,1.6,905,6.467611914698988,,0.9,,0.8,,0.6,,0.1,,0.2,,2.6,97,0.6932136527356927,,9.760825567434681
42,1946,141.389,,4.3,,1.6,844,5.969346978902177,,1.4,,1.1,,0.7,,0.4,,0.6,591,4.179957422430316,98,0.6931232274080728,1533,10.842427628740566
43,1947,144.126,,4.2,,1.6,835,5.7935417620693,,1.3,,0.9,,0.8,,0.2,,0.6,559,3.8785507125709446,93,0.6452687232005329,1487,10.317361197840777
44,1948,146.631,,4.4,,1.6,884,6.028738806937142,,1.6,,1.1,,0.9,,0.3,,0.5,659,4.4942747440854935,99,0.6751641876547251,1642,11.19817773867736
45,1949,149.188,,4.3,,1.5,875,5.8650829825455135,,1.6,,1.2,,0.9,,0.3,,0.5,667,4.470868970694695,91,0.6099686301847334,1633,10.945920583424941
46,1950,151.684,,4.7,,1.6,965,6.361910287175971,,1.4,,1.4,,1.1,,0.4,,0.6,744,4.904933941615464,96,0.6328947021439308,1805,11.899738930935365
47,1951,154.287,,4.6,,1.7,982,6.364761775133355,,1.4,,0.8,,1.2,,0.4,,0.5,670,4.342556404622554,95,0.6157356096106607,1747,11.32305378936657
48,1952,156.954,,4.5,,1.7,978,6.231125043006231,,1.4,,0.5,,1.3,,0.3,,0.8,665,4.236910177504237,101,0.6435006435006435,1744,11.111535864011113
49,1953,159.565,,4.7,,1.7,1024,6.4174474352144895,,1.3,,0.7,,1.4,,0.4,,0.5,680,4.261586187447122,104,0.6517720051389716,1808,11.330805627800583
50,1954,162.391,,4.5,,1.7,1015,6.250346386191353,,1.1,,0.8,,1.4,,0.4,,0.6,686,4.224372040322432,107,0.6589035106625367,1808,11.133621937176322
51,1955,165.275,,4.2,,1.7,980,5.929511420360006,,1,,0.6,,1.4,,0.4,,0.5,633,3.829980335803963,109,0.6595068824686129,1722,10.418998638632582
52,1956,168.221,,4,,1.7,966,5.74244594907889,,1.1,,0.4,,1.6,,0.4,,0.5,662,3.9352993978159683,119,0.7074027618430517,1747,10.38514810873791
53,1957,171.274,,3.8,,1.7,956,5.581699499048309,,1,,0.4,,1.6,,0.4,,0.6,687,4.011116690215678,110,0.6422457582586966,1753,10.235061947522683
54,1958,174.141,,4.1,,1.6,996,5.719503161231416,,1.1,,0.6,,1.8,,0.4,,0.4,745,4.2781424248166715,104,0.5972171975583005,1845,10.594862783606388
55,1959,177.073,,4.1,,1.8,1053,5.9466999486087655,,0.9,,0.6,,1.9,,0.5,,0.5,780,4.404962924895382,102,0.5760336132555499,1935,10.927696486759697
56,1960,180.671,,3.8,,1.9,1033,5.71757503971307,,0.7,,0.4,,2,,0.4,,0.5,724,4.007283958133845,104,0.5756319497871822,1861,10.300490947634097
