,Year,US Population,Plain Whole Milk - Consumed,Plain Whole Mild - Sales,Plain Whole Milk - Total,Flavored Whole Milk,Total Plain and Flavored,2 Percent Plain,1 Percent Plain,Total Low Fat,Low Fat Flavored,Total Low Fat,Buttermilk,Skim Milk,Butter and Skim Consumed,Total low fat and skim,Other Eggnog,Misc,Total other,Total beverage milk Sales,Total Beverage Fluid Milk Available
6,1909,90.49,9643,11121,20764,128,20892,,,,86,86,221,114,5299,5720,*,,,11670,26612
7,1910,92.407,9671,10220,19891,118,20009,,,,79,79,215,111,5239,5644,*,,,10743,25653
8,1911,93.863,9696,9863,19559,118,19677,,,,80,80,203,104,5209,5596,*,,,10368,25273
9,1912,95.335,9716,12729,22445,153,22598,,,,104,104,261,134,5177,5676,*,,,13381,28274
10,1913,97.225,9732,12225,21957,147,22104,,,,100,100,250,129,5142,5621,*,,,12851,27725
11,1914,99.111,9950,10967,20917,132,21049,,,,90,90,224,115,5089,5518,*,,,11528,26567
12,1915,100.546,9691,9887,19578,119,19697,,,,81,81,202,104,5053,5440,*,,,10393,25137
13,1916,101.961,9613,9459,19072,118,19190,,,,81,81,188,99,4994,5362,*,,,9945,24552
14,1917,103.268,9514,11383,20897,142,21039,,,,98,98,226,116,4960,5400,*,,,11965,26439
15,1918,103.208,9369,15187,24556,190,24746,,,,131,131,301,155,4913,5500,*,,,15964,30246
16,1919,104.514,9182,12666,21848,158,22006,,,,109,109,252,130,4886,5377,*,,,13315,27383
17,1920,106.461,9793,15758,25551,197,25748,,,,136,136,313,161,4848,5458,*,,,16565,31206
18,1921,108.538,10324,15121,25445,197,25642,,,,138,138,285,154,4843,5420,*,,,15895,31062
19,1922,110.049,10826,15218,26044,198,26242,,,,139,139,287,155,4877,5458,*,,,15997,31700
20,1923,111.947,11164,14536,25700,189,25889,,,,132,132,275,148,4900,5455,*,,,15280,31344
21,1924,114.109,11659,14558,26217,189,26406,,,,132,132,276,148,5183,5739,*,,,15303,32145
22,1925,115.829,11403,16180,27583,210,27793,,,,147,147,302,170,5067,5686,*,,,17009,33479
23,1926,117.397,11175,16893,28068,228,28296,,,,162,162,304,171,4938,5575,*,,,17758,33871
24,1927,119.035,10871,17401,28272,235,28507,,,,167,167,312,176,4828,5483,*,,,18291,33990
25,1928,120.509,10562,18233,28795,246,29041,,,,175,175,328,184,4715,5402,*,,,19166,34443
26,1929,121.767,10093,19337,29430,261,29691,,,,185,185,348,196,4607,5336,*,,,20327,35027
27,1930,123.077,10061,19519,29580,264,29844,,,,187,187,351,198,4566,5302,*,,,20519,35146
28,1931,124.04,10406,19330,29736,271,30007,,,,195,195,329,193,4692,5409,*,,,20318,35416
29,1932,124.84,10760,19737,30497,276,30773,,,,199,199,337,198,4830,5564,*,,,20747,36337
30,1933,125.579,10887,19625,30512,275,30787,,,,198,198,335,196,4878,5607,*,,,20629,36394
31,1934,126.374,10879,18682,29561,262,29823,,,,189,189,318,187,4878,5572,*,,,19638,35395
32,1935,127.25,10619,19754,30373,277,30650,,,,199,199,336,198,4770,5503,*,,,20764,36153
33,1936,128.053,10308,20672,30980,300,31280,,,,219,219,334,205,4674,5432,*,,,21730,36712
34,1937,128.825,10221,21299,31520,309,31829,,,,226,226,344,211,4584,5365,*,,,22389,37194
35,1938,129.825,10217,21515,31732,312,32044,,,,228,228,348,214,4566,5356,*,,,22617,37400
36,1939,130.88,10303,22280,32583,323,32906,,,,236,236,360,221,4614,5431,*,,,23420,38337
37,1940,131.954,10158,22695,32853,329,33182,,,,240,240,371,227,4554,5392,*,,,23862,38574
38,1941,133.121,9973,23749,33722,349,34071,,,,258,258,407,261,4434,5360,*,,,25024,39431
39,1942,133.92,10027,26888,36915,398,37313,,,,295,295,420,269,4380,5364,*,,,28270,42677
40,1943,134.245,9641,32057,41698,478,42176,,,,354,354,498,318,4049,5219,*,,,33705,47395
41,1944,132.885,9767,34709,44476,521,44997,,,,386,386,533,340,3644,4903,*,,,36489,49900
42,1945,132.481,9487,36147,45634,546,46180,,,,404,404,572,366,3383,4725,*,,,38035,50905
43,1946,140.054,9960,35548,45508,540,46048,,,,405,405,534,356,3360,4655,*,,,37383,50703
44,1947,143.446,9730,34584,44314,529,44843,,,,397,397,511,341,3177,4426,*,,,36362,49269
45,1948,146.093,9104,34135,43239,526,43765,,,,395,395,499,333,2846,4073,*,,,35888,47838
46,1949,148.665,8565,34952,43517,542,44059,,,,406,406,555,373,2603,3937,*,,,36828,47996
47,1950,151.235,8204,35815,44019,559,44578,1,,1,419,420,623,416,2399,3858,*,,,37833,48436
48,1951,153.31,8164,36716,44880,573,45453,2,,2,433,435,836,581,2186,4038,*,,,39141,49491
49,1952,155.687,7974,37482,45456,585,46041,10,,10,480,490,1056,764,1992,4302,*,,,40377,50343
50,1953,158.242,7440,37944,45384,593,45977,20,,20,440,460,1185,1000,1771,4416,*,,,41182,50393
51,1954,161.164,7001,38605,45606,603,46209,34,,34,468,502,1218,961,1302,3983,32,,32,41921,50224
52,1955,164.308,6700,39916,46616,645,47261,50,,50,502,552,1237,1047,1132,3968,36,,36,43433,51265
53,1956,167.306,6360,41277,47637,653,48290,67,,67,536,603,1196,1183,984,3966,36,,36,44948,52292
54,1957,170.371,5833,42218,48051,614,48665,81,,81,549,630,1184,1352,810,3976,38,,38,46036,52679
55,1958,173.32,5375,42383,47758,658,48416,192,,192,522,714,1160,1492,666,4032,43,,43,46450,52491
56,1959,176.289,4890,42548,47438,736,48174,285,,285,453,738,1152,1648,529,4067,46,,46,46868,52287
57,1960,179.979,4504,42999,47503,763,48266,389,,389,437,826,1140,1830,418,4214,46,,46,47604,52526
58,1961,182.992,4169,42606,46775,813,47588,601,,601,465,1066,1092,1978,311,4447,46,,46,47601,52081
59,1962,185.771,3856,43040,46896,901,47797,840,,840,442,1282,1160,2078,247,4767,50,,50,48511,52614
60,1963,188.483,3588,43749,47337,1009,48346,1171,,1171,481,1652,1172,2228,161,5213,49,,49,49859,53608
61,1964,191.141,3323,44205,47528,1072,48600,1606,,1606,499,2105,1166,2336,94,5701,47,,47,50931,54348
62,1965,193.526,3089,44512,47601,1123,48724,2057,,2057,524,2581,1156,2368,31,6136,49,,49,51789,54909
63,1966,195.576,3131,44672,47803,1197,49000,2770,,2770,523,3293,1155,2097,,6545,52,,52,52466,55597
64,1967,197.457,2865,42010,44875,1209,46084,3387,164,3551,453,4004,1139,2077,,7220,50,,50,50489,53354
65,1968,199.399,2616,41548,44164,1158,45322,4113,314,4427,600,5027,1142,2207,,8376,58,,58,51140,53756
66,1969,201.385,2397,40818,43215,1117,44332,5051,345,5396,632,6028,1147,2320,,9495,57,,57,51487,53884
67,1970,203.98399999999998,2196,41363,43559,1144,44703,5711,371,6082,611,6693,1130,2368,,10191,61,,61,52759,54955
68,1971,206.827,2117,41042,43159,1287,44446,6401,621,7022,538,7560,1153,2552,,11265,74,,74,53668,55785
69,1972,209.284,1914,40029,41943,1484,43427,7234,973,8207,533,8740,1131,2599,,12470,103,,103,54086,56000
70,1973,211.357,1766,38473,40239,1549,41788,8263,837,9100,571,9671,1065,2921,,13657,80,,80,53759,55525
71,1974,213.34199999999998,1643,36764,38407,1440,39847,8139,1624,9763,561,10324,988,2959,,14271,81,,81,52556,54199
72,1975,215.465,1495,36188,37683,1366,39049,8726,2742,11468,719,12187,1011,2480,,15678,76,,76,53308,54803
73,1976,217.563,1392,35241,36633,1475,38108,9556,2875,12431,864,13295,1021,2524,,16840,87,,87,53643,55035
74,1977,219.76,1283,34036,35319,1446,36765,10423,3003,13426,1062,14488,1007,2617,,18112,94,,94,53688,54971
75,1978,222.095,1168,33235,34403,1359,35762,11017,3233,14250,1097,15347,983,2543,,18873,94,,94,53561,54729
76,1979,224.56699999999998,1039,32480,33519,1236,34755,11762,3281,15043,1129,16172,939,2604,,19715,94,,94,53525,54564
77,1980,227.225,943,31253,32196,1075,33271,12435,3483,15918,1197,17115,927,2636,,20678,95,,95,53101,54044
78,1981,229.466,886,30397,31283,843,32126,13088,3574,16662,1288,17950,926,2583,,21459,100,,100,52799,53685
79,1982,231.664,839,29350,30189,710,30899,13501,3537,17038,1283,18321,950,2449,,21720,104,,104,51884,52723
80,1983,233.792,839,28871,29710,749,30459,14183,3455,17638,1374,19012,1006,2474,,22492,112,,112,52224,53063
81,1984,235.825,802,28204,29006,907,29913,15143,3382,18525,1409,19934,1020,2726,,23680,116,,116,52907,53709
82,1985,237.924,709,27760,28469,882,29351,16309,3503,19812,1430,21242,1046,3009,,25297,121,,121,54060,54769
83,1986,240.133,674,26446,27120,851,27971,17232,3924,21156,1516,22672,1017,3236,,26925,121,,121,54343,55017
84,1987,242.289,659,25644,26303,830,27133,17600,3790,21390,1608,22998,1040,3406,,27444,124,,124,54042,54701
85,1988,244.499,613,24691,25304,816,26120,18462,3752,22214,1630,23844,1006,3979,,28829,129,,129,54465,55078
86,1989,246.819,563,22823,23386,770,24156,19553,4191,23744,1611,25355,910,5006,,31271,124,,124,54988,55551
87,1990,249.623,512,21333,21845,691,22536,19565,4944,24509,1657,26166,879,5702,,32747,123,,123,54894,55406
88,1991,252.981,494,20769,21263,672,21935,19829,5210,25039,1719,26758,855,6000,,33613,111,,111,55165,55659
89,1992,256.514,455,20196,20651,689,21340,19851,5374,25225,1745,26970,808,6357,,34135,115,,115,55135,55590
90,1993,259.919,415,19460,19875,690,20565,19528,5297,24825,1776,26601,780,6844,,34225,107,,107,54482,54897
91,1994,263.126,390,19223,19613,702,20315,19326,5409,24735,1842,26577,760,7414,,34751,108,,108,54784,55174
92,1995,266.278,340,18662,19002,704,19706,18442,5760,24202,1914,26116,739,8359,,35214,112,,112,54692,55032
93,1996,269.394,301,18698,18999,662,19661,18194,5817,24011,2075,26086,711,8871,,35668,103,,103,55131,55432
94,1997,272.647,256,18413,18669,676,19345,17732,5977,23709,2154,25863,691,9139,,35693,102,,102,54884,55140
95,1998,275.854,235,18147,18382,788,19170,17333,6113,23446,2256,25702,676,9203,,35581,102,,102,54618,54853
96,1999,279.04,219,18467,18686,877,19563,17489,6082,23571,2339,25910,668,8985,,35563,109,,109,55016,55235
97,2000,282.172,198,18695.8,18893.8,925.1,19818.899999999998,17420.399999999998,6276.799999999999,23697.199999999997,2736.3000000000006,26433.499999999996,623.2,8348.099999999999,,35404.799999999996,126.6,87.3,213.89999999999998,55239.6,55437.6
98,2001,285.081556,173,18280.299999999996,18453.299999999996,996.1,19449.399999999994,17367.8,6303.9,23671.699999999997,2845.4,26517.1,598.7000000000002,8143.599999999999,,35259.4,124.5,88.6,213.1,54748.899999999994,54921.899999999994
99,2002,287.803914,160,18265.2,18425.2,988.8000000000001,19414,17411.600000000002,6351.199999999999,23762.800000000003,3005.0999999999995,26767.9,578.9000000000001,8090.599999999999,,35437.4,150.3,60.6,210.9,54902.3,55062.3
100,2003,290.326418,168,18098.100000000002,18266.100000000002,980.5999999999999,19246.7,17421.100000000002,6233.5,23654.600000000002,3206.7000000000003,26861.300000000003,555.6,7830.1,,35247,153.4,130.4,283.8,54609.5,54777.5
101,2004,293.045739,157,17510.7,17667.7,831.8999999999999,18499.600000000002,17524.300000000003,6268.299999999999,23792.600000000002,3517.8,27310.4,533.9,7795.900000000001,,35640.200000000004,147.2,172.6,319.79999999999995,54302.600000000006,54459.600000000006
102,2005,295.753151,146,16919.4,17065.4,743.0000000000001,17808.4,17834.300000000003,6451.599999999999,24285.9,3655.3000000000006,27941.2,521.8000000000001,8027.5,,36490.5,147.2,243.6,390.79999999999995,54543.700000000004,54689.700000000004
103,2006,298.593212,138,16532.100000000002,16670.100000000002,705.3999999999999,17375.500000000004,18022.700000000004,6554.4,24577.100000000006,3743.7999999999993,28320.900000000005,515.3000000000001,8113.300000000001,,36949.50000000001,150.9,828.2,979.1,55166.10000000001,55304.10000000001
104,2007,301.579895,137,15934.5,16071.5,665.6999999999999,16737.2,18257.2,6745.4,25002.6,3715.7000000000003,28718.3,522.0000000000001,8223.099999999999,,37463.399999999994,141.3,985.4,1126.7,55190.29999999999,55327.29999999999
105,2008,304.374846,124,15328.499999999995,15452.499999999995,590.4000000000001,16042.899999999994,18553.000000000004,6888.099999999999,25441.100000000002,3749.8,29190.9,483.59999999999997,8276.099999999999,,37950.6,142.6,1157.4,1300,55169.49999999999,55293.49999999999
106,2009,307.00655,112,15120.3,15232.3,574.6000000000001,15806.9,18868.899999999998,7089.499999999999,25958.399999999998,3870.3,29828.699999999997,453.40000000000003,8216.5,,38498.6,141.9,1097.5,1239.4,55432.9,55544.9
