,Year,US Population,Beef,Veal,Pork,Lamb,Total5,Chicken,Turkey,Total5,Total_Availability
5,1909,90.49,74.18499281688585,7.293623604818213,67.02398055033706,6.696872582605813,155.19946955464692,15.250303900983535,1,16.250303900983535,171.44977345563046
6,1910,92.407,70.42756501130867,7.218067895289318,62.28965338123736,6.449727834471415,146.38501412230679,16.04856774919649,1,17.04856774919649,163.43358187150326
7,1911,93.863,68.46148109478709,7.095447620468129,69.05809530912074,7.351139426611125,151.9661634509871,16.215122039568307,1.1,17.31512203956831,169.2812854905554
8,1912,95.335,64.54082970577439,6.943934546598836,66.68065243614623,7.646719462946453,145.81213615146592,15.482246813866892,1.1,16.58224681386689,162.39438296533282
9,1913,97.225,63.32733350475701,6.263821033684752,66.8655181280535,7.210079712008229,143.66675237850347,15.098997171509387,1.1,16.198997171509387,159.86574955001285
10,1914,99.111,61.9911008868844,5.7713069185055135,65.10881738656657,7.143505766262069,140.01473095821856,15.013469746042315,1.1,16.113469746042316,156.12820070426088
11,1915,100.546,56.37220774570843,5.877906629801284,66.53670956577089,6.086766256240924,134.87359019752154,14.948381835179916,1.2,16.148381835179915,151.02197203270146
12,1916,101.961,58.87545237885074,6.433832543815773,69.01658477260914,5.835564578613392,140.16143427388903,14.064201018036309,1.2,15.264201018036308,155.42563529192535
13,1917,103.414,64.66242481675594,7.204053609762702,58.918521670180056,4.477150095731719,135.26215019243043,13.692536793857698,1.2,14.892536793857698,150.1546869862881
14,1918,104.55,68.55093256814921,7.278813964610235,61.061692969870876,4.772835963653755,141.66427546628407,13.7350549976088,1.2,14.9350549976088,156.59933046389287
15,1919,105.063,61.50595357071471,7.842913299639264,63.8854782368674,5.691823001437233,138.9261681086586,14.82919771946356,1.3,16.12919771946356,155.05536582812215
16,1920,106.461,59.110848104000524,8.002930650660806,63.5537896506702,5.429218211363786,136.09678661669528,14.239956415964532,1.3,15.539956415964532,151.6367430326598
17,1921,108.538,55.501299084191714,7.591811162910686,64.76072896128545,6.0992463469015465,133.9530855552894,13.838471318800789,1.3,15.13847131880079,149.09155687409017
18,1922,110.049,59.09185908095484,7.796527001608374,65.75252841915874,5.134076638588265,137.77499114031022,14.71162845641487,1.3,16.01162845641487,153.78661959672507
19,1923,111.947,59.59069917014301,8.209241873386514,74.23155600418055,5.288216745424174,147.31971379313424,15.141093553199282,1.3,16.44109355319928,163.76080734633354
20,1924,114.109,59.46945464424366,8.561988975453295,74.06076646013899,5.223076181545715,147.31528626138166,14.179424935806992,1.3,15.479424935806993,162.79471119718866
21,1925,115.829,59.46697286517194,8.572982586398917,66.77084322578975,5.223216983656942,140.03401566101755,14.832209550285334,1.3,16.132209550285335,156.16622521130287
22,1926,117.397,60.257076415922036,8.16886291813249,64.13281429678781,5.426033033212092,137.98478666405444,14.71076773682462,1.3,16.01076773682462,153.99555440087906
23,1927,119.035,54.47137396564036,7.350779182593355,67.69437560381401,5.300961901961608,134.81749065400933,15.802075019952115,1.4,17.202075019952115,152.01956567396144
24,1928,120.509,48.726651121493,6.480843754408385,70.90756706967944,5.493365640740525,131.60842758632137,15.160693392194775,1.4,16.560693392194775,148.16912097851613
25,1929,121.767,49.66862943161941,6.290702735552325,69.674049619355,5.633710282753127,131.26709206927987,14.815179810621926,1.4453833961582367,16.260563206780162,147.52765527606005
26,1930,123.188,48.876513946163584,6.445432996720459,66.93833814981978,6.688963210702341,128.94924830340616,16.29217131538786,1.4936519790888723,17.785823294476735,146.7350715978829
27,1931,124.149,48.53039492867442,6.637185962029497,68.2808560681117,7.136585876648221,130.58502283546383,14.595365246598845,1.4176513705305722,16.013016617129416,146.59803945259324
28,1932,124.949,46.659036887049915,6.578684103114071,70.62881655715532,7.058880023049404,130.9254175703687,14.918086579324365,1.71269878110269,16.630785360427055,147.55620293079573
29,1933,125.69,51.46789720741507,7.0888694406874055,70.68979234624871,6.754713978836821,136.001272973188,15.259766091176704,1.9253719468533694,17.185138038030075,153.18641101121807
30,1934,126.485,63.77040755820848,9.34498161837372,64.36336324465351,6.309048503775151,143.78780092501086,14.009566351741313,1.8263035142507016,15.835869865992015,159.62367079100287
31,1935,127.362,53.15557230571128,8.534727783797365,48.32681647587193,7.2470595625068706,117.26417612788745,13.599032678506934,1.7430630800395723,15.342095758546506,132.60627188643394
32,1936,128.181,60.398967085605506,8.38657835404623,55.08616721667017,6.623446532637442,130.49515918895935,14.050444293616057,2.1922125744065033,16.24265686802256,146.7378160569819
33,1937,128.961,55.109684323167464,8.591744791060863,55.71451834275478,6.645419933158086,126.06136739014119,14.174828048789943,2.279758996906041,16.454587045695984,142.51595443583716
34,1938,129.969,54.30525740753565,7.6479775946571875,58.121552062414885,6.8785633497218575,126.95335041432958,13.110818733698036,2.2774661650085792,15.388284898706615,142.3416353130362
35,1939,131.028,54.63717678664103,7.563268919620234,64.67319962145496,6.632170223158409,133.50581555087462,14.592300882254175,2.434594132551821,17.026895014805998,150.53271056568062
36,1940,132.122,54.926507318993046,7.424955722741102,73.42456214710646,6.607529404641165,142.38355459348176,14.56986724391093,2.8988359243729276,17.468703168283856,159.85225776176563
37,1941,133.402,61.89562375376681,7.728519812296668,68.81456050134182,6.851471492181528,145.29017555958683,16.101707620575404,2.9384866793601296,19.040194299935532,164.33036985952236
38,1942,134.86,66.68396855998813,8.519946611300607,68.75278066142666,7.4076820406347315,151.36437787335015,18.634139107222303,3.0846804093133615,21.718819516535664,173.0831973898858
39,1943,136.739,62.374304331609856,8.337050877949963,84.12376863952493,7.035300828585846,161.8704246776706,23.32911605321086,2.874088592135382,26.203204645346243,188.07362932301683
40,1944,138.397,67.57371908350615,12.319631205878741,87.23454988186161,7.04495039632362,174.17285056757012,22.3632015144837,3.092552584232317,25.455754098716014,199.62860466628615
41,1945,139.928,69.61437310616888,11.763192498999485,70.64347378651878,7.403807672517295,159.42484706420447,22.03275970499114,3.4589217311760336,25.491681436167173,184.91652850037164
42,1946,141.389,64.21998882515612,10.135159029344573,76.29306381684572,6.740269752243809,157.38848142359024,20.333972232634785,3.8121777507444,24.146149983379185,181.53463140696942
43,1947,144.126,71.47912243453645,10.955691547673563,70.41755130927105,5.439684720314169,158.29205001179525,18.33118243758933,3.691214631641758,22.02239706923109,180.31444708102634
44,1948,146.631,64.12013830636087,9.711452557781097,68.33479959899338,5.033042126153405,147.1994325892888,18.413568754219778,3.130306688217362,21.54387544243714,168.74330803172592
45,1949,149.188,64.93149583076388,9.008767461189908,68.1958334450492,4.129018419712041,146.26511515671504,19.699975869372874,3.3246641821057996,23.024640051478674,169.28975520819372
46,1950,151.684,64.77281717254291,8.17488990269244,69.96123519949369,3.968777194694233,146.87771946942328,20.84596925186572,4.166556789114211,25.01252604097993,171.89024551040322
47,1951,154.287,59.75876126958201,6.909201682578571,73.53827606992164,3.3897865665934264,143.59602558867564,21.91370627466993,4.575887793527646,26.489594068197576,170.08561965687323
48,1952,156.954,63.751162761063746,7.397071753507396,73.2953604240733,4.109484307504109,148.55307924614854,22.22944302152223,4.81032659250481,27.03976961402704,175.5928488601756
49,1953,159.565,79.1714975088522,9.695108576442202,63.91125873468493,4.637608498104221,157.41547331808354,22.016106288973145,4.907091154075142,26.923197443048288,184.33867076113182
50,1954,162.391,81.24218706701727,10.136029706079771,60.5144373764556,4.532270877080626,156.42492502663328,22.87688357113387,5.363597736327752,28.24048130746162,184.66540633409488
51,1955,165.275,82.98895779761004,9.541672969293602,82.075328997126,4.586295567992739,179.1922553320224,21.424897897443653,5.106640447738617,26.53153834518227,205.72379367720467
52,1956,168.221,86.34474887201955,9.648022541775402,82.99201645454491,4.39303059665559,183.37781846499547,24.491591418431707,5.29065931126316,29.782250729694866,213.16006919469032
53,1957,171.274,85.18514193631258,8.927216039795882,75.36462043275687,4.168758830879176,173.64573723974448,25.54970398309142,5.949531160596471,31.49923514368789,205.14497238343236
54,1958,174.141,81.19282650266165,6.8565128258135655,73.22801637753315,4.151808017640877,165.42916372364925,28.138117961881466,6.012369286957122,34.15048724883859,199.57965097248785
55,1959,177.073,82.15820593766412,5.805515239477503,82.06784772382012,4.7099218966189085,174.74149079758067,28.841212381334252,6.3476645225415504,35.1888769038758,209.93036770145648
56,1960,180.671,85.73595098272551,6.188043460212209,77.80440690536943,4.737893740556038,174.4662950888632,27.99010355840174,6.204648227994531,34.19475178639627,208.66104687525947
57,1961,183.691,88.51821809451742,5.7760042680370836,74.45111627679091,5.035630488156741,173.78096912750215,29.996025934857993,7.485396671584345,37.48142260644234,211.26239173394447
58,1962,186.538,89.50455135146726,5.564549850432619,75.16967052289614,5.0981569438934695,175.33692866868947,30.01533199669772,7.103110358211195,37.118442354908915,212.4553710235984
59,1963,189.242,94.90493653628688,5.030595745130574,76.4365204341531,4.808657697551284,181.18071041312183,30.706714154363198,6.922353388782617,37.629067543145815,218.80977795626765
60,1964,191.889,101.07926978617846,5.341629796392706,76.35143233848736,4.1586542219720775,186.93098614303062,31.09089108807696,7.431379599664389,38.52227068774135,225.45325683077198
61,1965,194.303,100.92999078758434,5.331878560804517,67.80646721872539,3.7055526677405908,177.77388923485483,33.39114681708466,7.565503363303706,40.956650180388365,218.7305394152432
62,1966,196.56,105.55102767602767,4.715990028490029,66.07564611314612,3.9457214082214076,180.28838522588524,35.78600309363044,7.936507936507937,43.72251103013838,224.0108962560236
63,1967,198.712,107.89928640444464,4.026077941946133,72.2385311405451,3.839234671283063,188.00313015821894,36.659761237630335,8.660775393534362,45.3205366311647,233.32366678938365
64,1968,200.706,110.79478441102907,3.74230964694628,73.70594800354749,3.7027742070491168,191.94581626857195,36.86497774409335,8.071507578248783,44.936485322342136,236.8823015909141
65,1969,202.677,111.51537668309675,3.407130557488023,71.09574840756474,3.434060105488043,189.45231575363755,38.51063136947952,8.338390641266646,46.84902201074617,236.30133776438373
66,1970,205.052,114.36403936562434,2.987875207264499,72.94162280299632,3.260944267795486,193.55448164368062,40.12499863774067,8.088420136375163,48.21341877411583,241.76790041779645
67,1971,207.661,113.43138239727249,2.7304203533643774,79.05815513745961,3.1623399290189296,198.38229781711541,40.11442148097621,8.384481476348471,48.49890295732468,246.8812007744401
68,1972,209.896,115.25976836147427,2.32672864180356,71.27164499561688,3.3025072321530664,192.16064923104778,41.53597398965202,8.970179929798567,50.50615391945059,242.66680315049837
69,1973,211.909,108.8125476501706,1.8196240697657957,63.47755187840064,2.660727430170498,176.77045102850755,39.74648551972781,8.405339084229553,48.151824603957365,224.9222756324649
70,1974,213.854,115.6848997914465,2.3937312418752983,68.55408829855882,2.2849747912126963,188.91769412309333,39.624286101732956,8.668292199350958,48.292578301083914,237.21027242417725
71,1975,215.973,119.13365448458835,4.15688072583147,55.7123483027971,2.022729693063485,181.0256132062804,38.82938571025082,8.253661152088455,47.08304686233927,228.10866006861968
72,1976,218.035,127.1968573852822,3.9563877359139585,58.52735340656317,1.8240924622193686,191.5046909899787,41.90302456027702,8.880757676519824,50.78378223679684,242.28847322677555
73,1977,220.23899999999998,123.70971535468288,3.8353897356962214,60.46717202675277,1.6815550379360609,189.69383215506792,42.71032396623668,8.741085838566285,51.451409804802964,241.14524195987087
74,1978,222.585,117.73865498573578,2.9268275040995575,60.21384639575892,1.543032998629737,182.422361884224,44.81272340903474,8.710142194667204,53.522865603701945,235.94522748792593
75,1979,225.055,105.33406820554974,2.0252484948123795,68.68440381240141,1.4791850880895783,177.52290560085308,48.285402945946544,9.232329874919465,57.51773282086601,235.04063842171908
76,1980,227.726,103.25223119011443,1.8405223821610177,73.26397293238365,1.5296277104941902,179.8863542151533,48.425171653653955,10.233947990128488,58.65911964378245,238.54547385893574
77,1981,229.966,104.26370924397519,1.9587634693824305,69.82901820269083,1.575341572232417,177.62683248828088,50.39324265326179,10.558132071697557,60.951374724959344,238.57820721324023
78,1982,232.188,103.87327148689857,2.00220209485417,62.56987441211432,1.6545342567230004,170.09988225059007,51.49174841077058,10.555674729098833,62.047423139869416,232.14730539045948
79,1983,234.307,106.11782942891166,1.9836004430085317,65.951143158335,1.6544960244465596,175.70706905470175,52.61064330130982,11.003038748308843,63.61368204961866,239.3207511043204
80,1984,236.348,105.78233511601537,2.1479433124037435,65.5076455057796,1.6826713151793118,175.12059524937803,54.493619577910536,11.01782541168108,65.51144498959161,240.63204023896964
81,1985,238.466,106.81808542936936,2.23299352108896,65.97717703991344,1.6218161079566895,176.65007209832842,56.32195767950148,11.567263257655181,67.88922093715667,244.5392930354851
82,1986,240.651,107.77240161063116,2.283176666625112,62.343561838513025,1.5627213059575897,173.96186142172687,58.11527082787937,12.867553427993235,70.9828242558726,244.94468567759947
83,1987,242.804,103.80378066259206,1.848449778422102,62.70320029735918,1.483565975025123,169.83899671339847,61.93521540007578,14.72883889886493,76.66405429894071,246.5030510123392
84,1988,245.021,102.79858118283738,1.6721709567751335,67.02629110566033,1.5740286220364788,173.0710718673093,63.80488429354912,15.669596550972368,79.4744808445215,252.5455527118308
85,1989,247.342,97.66676428925416,1.4413524593477856,66.39363420039943,1.5607381910330635,167.06248914003444,66.8879247645265,16.550634344349117,83.43855910887562,250.50104824891008
86,1990,250.132,95.79493065977243,1.3010090672125116,63.61578865609918,1.5863384982357316,162.29806688131984,70.35251123367188,17.434562870804218,87.78707410447609,250.08514098579593
87,1991,253.493,94.85795369686619,1.2024592395056275,64.14856798704659,1.5640183541009023,161.77299927751932,73.27653910831054,17.766896916285656,91.0434360245962,252.8164353021155
88,1992,256.894,94.14654130752488,1.2124339221624485,67.40798767106044,1.508272887518198,164.27523578826597,76.41321167118838,17.72096662436647,94.13417829555485,258.4094140838208
89,1993,260.255,92.00516531709285,1.097919348331444,66.52522462304279,1.4600437003488886,161.08835298881596,78.27974803995619,17.53929391724194,95.81904195719812,256.90739494601405
90,1994,263.436,95.16616369137097,1.1038202827252162,67.20138557904006,1.3135875650993032,164.78495711823555,79.65488192018442,17.600654813183464,97.25553673336789,262.04049385160346
91,1995,266.557,95.54193299031725,1.1959693423920585,66.34536698642317,1.2966546325982808,164.37992395173077,79.27477003822221,17.592944780512237,96.86771481873446,261.24763877046524
92,1996,269.667,95.69076088917075,1.4003752776572589,62.02770117849052,1.231714313509254,160.35055165882778,80.38408983155968,18.14891847065047,98.53300830221015,258.8835599610379
93,1997,272.912,93.61628984727679,1.22110790291376,61.35840166500557,1.217537327445477,157.4133367426416,83.10605871854413,17.23929192063999,100.34535063918412,257.7586873818257
94,1998,276.115,95.01117692555638,0.9583362004961702,66.1980276909983,1.301783217608605,163.46932403465945,83.77194225589389,17.622080759377432,101.39402301527133,264.8633470499308
95,1999,279.295,96.16136772946167,0.8424210959737912,67.58085029842998,1.2817115005932793,165.8663506244587,88.9943153593695,17.50283578471759,106.49715114408708,272.3635017685458
96,2000,282.385,96.48583635816351,0.7982010375905235,65.5092373886715,1.2527905377410273,164.04606532216656,90.10371228853748,17.28946261309914,107.39317490163663,271.43924022380315
97,2001,285.309019,94.34736411189301,0.7140433229697517,64.48248066073228,1.2884514772384394,160.8323395728335,89.72239797859208,17.490100444388684,107.21249842298077,268.04483799581425
98,2002,288.104818,96.42981395750208,0.7091169159135686,66.0992035197412,1.3219804154750372,164.56011480863185,94.38272254512002,17.67733158839433,112.06005413351434,276.62016894214617
99,2003,290.819634,92.59231101294901,0.7000902834503945,66.50687484188224,1.2622350215872975,161.06151115986893,95.67081994782608,17.405323809739752,113.07614375756583,274.13765491743476
100,2004,293.463185,94.19552234465117,0.6031420942971092,65.75452385961121,1.269380099585575,161.82256839814505,98.55213568302291,17.0265241277198,115.5786598107427,277.40122820888774
101,2005,296.186216,93.38353064477519,0.5533680878653718,63.80931299618615,1.1969443608808683,158.9431560897076,100.56927584693645,16.66522793214658,117.23450377908303,276.1776598687906
102,2006,298.995825,93.82993128064581,0.517398528892502,63.094454000152,1.1858524680068692,158.62763627769718,101.16812313629649,16.877431315303483,118.04555445159997,276.6731907292972
103,2007,302.003917,92.85439828795207,0.4784706153331117,64.76516538429108,1.2741345306042497,159.37216881818048,99.51415805413652,17.46812832375794,116.98228637789445,276.3544551960749
104,2008,304.797761,88.76164831893256,0.49083693892357705,63.028886112052675,1.12298448446359,153.4043558543724,97.58321038768875,17.56234804228633,115.14555842997508,268.5499142843475
105,2009,307.439406,86.81698457006944,0.4782535912133527,63.86131192836451,1.0935860177263528,152.25013610737366,93.14674376352527,16.87498813490568,110.02173189843094,262.2718680058046
106,2010,309.741279,84.71531132999002,0.47683021286936694,60.842576341212656,1.019888845199565,147.05460672927163,96.38689088568404,16.357994538061714,112.74488542374576,259.79949215301735
107,2011,311.973914,81.34384095987245,0.440052818005803,58.10913049573751,0.9421657432353714,140.83519001685113,96.98190447357118,16.007296349824824,112.989200823396,253.82439084024713
108,2012,314.167558,81.52380646015791,0.3901102990398519,58.40835495607252,0.952128106048995,141.2743998213193,94.13074326590632,15.9468372141681,110.07758048007442,251.35198030139372
109,2013,316.294766,80.10494150133287,0.3748528674673043,59.66055145984871,1.0215500034900875,141.16189583213898,95.85325419720236,15.959275417011751,111.81252961421411,252.9744254463531
110,2014,318.576955,77.06524664272109,0.3064314554704686,58.436216325329674,1.0644450847315425,136.8723395082528,97.67233305096445,15.79147934150441,113.46381239246887,250.33615190072166
111,2015,320.870703,76.87002213343791,0.2742537700613945,63.513734223976584,1.11244135017353,141.77045147764943,104.01245528995362,15.941392200664263,119.95384749061789,261.7242989682673
112,2016,323.161011,79.13275698593131,0.22561199376864186,63.959995053582524,1.179080910293823,144.4974449435763,104.95042216355053,16.62285066827107,121.5732728318216,266.0707177753979
113,2017,325.20603,81.18867063084075,0.24031842213995844,64.07409005426516,1.215869788993609,146.71894889623948,106.43817868600163,16.423949885014466,122.8621285710161,269.58107746725557
114,2018,326.923976,81.58059977459807,0.27203572245799434,65.07555105744993,1.2683429978711962,148.1965295523772,108.284687354876,16.149223715265325,124.43391107014132,272.6304406225185
115,2019,328.475998,82.74897123621503,0.24740620469931565,66.94299574784588,1.2797113410653618,151.21908452982558,111.3280296892226,15.97749982536953,127.30552951459214,278.5246140444177
116,2020,330.11398,83.2623588748331,0.2002217537106426,66.34957587917451,1.3644501576145354,151.17660666533277,112.73675944872534,15.714901510650641,128.45166095937597,279.62826762470877
