,Year,Total,Fresh,Processed,,,,,
3,1970,31.941598426381752,17.234815966720465,14.706782459661289,5.7091822317009155,6.440649696589143,0.9919727678832687,0.9111140108609805,0.6538637526269805
4,1971,31.0936101014401,16.618232541919735,14.475377559520362,5.327629040616857,7.102473182025127,0.9191952268360454,0.48868702837271033,0.6373930816696212
5,1972,28.307453302322894,15.68326177381448,12.624191528508414,4.712974847666777,5.492467477514993,1.1232734306513705,0.6440208886782789,0.651454883996994
6,1973,29.932163031485437,16.276986515629073,13.655176515856365,6.0217598762945235,4.671595516268929,1.2256128810008071,1.1314259117946772,0.6047823304974287
7,1974,31.055616690944177,16.55692897262976,14.498687718314418,5.8087404840512455,5.966038547517518,0.8513443751344375,0.9140423421561813,0.9585219694550373
8,1975,33.340930713008014,19.682595809818036,13.658334903189976,4.8019196916684885,6.940657829722097,0.4419867298227094,1.0494484276349154,0.4243222243417655
9,1976,30.141984679868614,17.24498491443838,12.896999765430236,4.301848603146087,6.357934747460789,0.8213855573646434,1.0823363043828738,0.3334945530758424
10,1977,31.826069728561347,16.689098864398503,15.136970864162844,4.935960031526744,7.957181664301782,0.6880516166528183,1.0041736115230018,0.5516039401585006
11,1978,36.26745898312126,18.138894783656994,18.128564199464268,5.568913019184837,9.672278439747695,1.046183705101422,0.9995666547767942,0.8416223806535217
12,1979,36.51330585230279,17.33821722913363,19.17508862316916,5.984895712817994,10.757529796975856,0.7350656506187376,1.1177837357335894,0.5798137270229826
13,1980,40.233825816080646,19.40945281760734,20.824372998473304,5.328802732158392,13.152017911159591,0.7890710766447397,0.8267300210641595,0.7277512574464233
14,1981,34.926809128133456,17.012488151762273,17.914320976371183,4.392921851863176,11.636432852706202,0.67841072158493,0.825664737460524,0.3808908127563478
15,1982,40.04086734677472,17.702003400286383,22.33886394648833,5.416784101281812,14.71170347426208,0.8442494874842801,0.8625730217990369,0.5035538616611221
16,1983,41.95304251672627,18.43068377606912,23.522358740657147,5.179881949623269,15.972839852221394,0.7409646318718605,1.2197953043433538,0.40887700259726906
17,1984,44.72503170551425,18.5154958897126,26.209535815801647,5.05185704271725,18.57001307644922,0.8801225311828321,1.2729360324574635,0.43460713299488074
18,1985,43.576627692994805,17.417959472434184,26.158668220560617,5.312876377027642,18.574706975255616,0.7968121241602578,1.1630729192986005,0.3111998248185019
19,1986,43.520087466000305,18.002144901893686,25.517942564106622,4.956393617664978,18.319869369632528,1.0248268239068192,0.8375306086680744,0.37932214423421995
20,1987,48.612505238989414,21.018338682460378,27.594166556529032,5.43085250161301,19.612078466730637,1.0300456335150985,1.2163724315918343,0.3048175230784502
21,1988,47.72893415835873,20.018185842340184,27.71074831601855,5.764570115090929,19.321264754222664,1.1322311148840305,1.2193003881449787,0.273381943675942
22,1989,47.06671971006186,21.428906199233218,25.637813510828646,5.392391749991878,17.60756059523036,1.2909412877715876,1.1166417570992269,0.23027812073559037
23,1990,48.48990167468881,19.81307734688871,28.676824327800094,5.5674236605150025,20.925942756948274,1.1155054131418614,0.7703561906064129,0.29759630658854097
