,Year,Total,Fresh,Processed
3,1970,0.45208044788638985,0.45208044788638985,
4,1971,0.8306807729905953,0.8306807729905953,
5,1972,0.4325951899988566,0.4325951899988566,
6,1973,0.7116262169138641,0.7116262169138641,
7,1974,1.2457096897883602,1.2457096897883602,
8,1975,0.7324989697786296,0.7324989697786296,
9,1976,1.187882679386337,1.187882679386337,
10,1977,1.1342223675189227,1.1342223675189227,
11,1978,1.2700765999505808,1.2700765999505808,
12,1979,0.8544577992046389,0.8544577992046389,
13,1980,2.0985746028121515,2.0985746028121515,
14,1981,1.5611003365714933,1.5611003365714933,
15,1982,1.8575464709631853,1.8575464709631853,
16,1983,2.2069336383462725,2.2069336383462725,
17,1984,1.8400832670468967,1.8400832670468967,
18,1985,1.515520032205849,1.515520032205849,
19,1986,2.3702373977253366,2.3702373977253366,
20,1987,1.5984085929391607,1.5984085929391607,
21,1988,1.5786401981870943,1.5786401981870943,
22,1989,1.0864834924921767,1.0864834924921767,
23,1990,1.4270505173268513,1.4270505173268513,
24,1991,1.4459294733976875,1.4459294733976875,
25,1992,2.186652860712979,2.186652860712979,
26,1993,1.3448233463334036,1.3448233463334036,
27,1994,1.3687043532394967,1.3687043532394967,
28,1995,1.5938542225490233,1.5938542225490233,
29,1996,1.6023503061182869,1.6023503061182869,
30,1997,1.7510772703288973,1.7510772703288973,
31,1998,1.5368786411458994,1.5368786411458994,
32,1999,1.9422567142268925,1.9422567142268925,
33,2000,2.2552369708022733,2.2552369708022733,
34,2001,2.47064393011705,2.47064393011705,
35,2002,2.454599967849201,2.454599967849201,
36,2003,2.694357252371757,2.694357252371757,
37,2004,3.197270386743741,3.197270386743741,
38,2005,3.494713798565157,3.494713798565157,
39,2006,3.5359933403752373,3.5359933403752373,
40,2007,3.53185411168028,3.53185411168028,
41,2008,3.8658330597120103,3.8658330597120103,
42,2009,4.28329937314542,4.28329937314542,
43,2010,4.029385985004601,4.029385985004601,
44,2011,5.139803851132246,5.139803851132246,
45,2012,5.656881523807751,5.656881523807751,
46,2013,6.1590388106200935,6.1590388106200935,
47,2014,7.030409621876133,7.030409621876133,
48,2015,7.245793522757358,7.245793522757358,
49,2016,6.910648501096564,6.910648501096564,
50,2017,8.062487098409584,8.062487098409584,
51,2018,8.513923505873425,8.513923505873425,
52,2019,7.891259707944666,7.891259707944666,
