,Year,Total,Fresh,Processed
3,1970,17.38046934436143,17.38046934436143,
4,1971,18.057314565565992,18.057314565565992,
5,1972,17.92220909402752,17.92220909402752,
6,1973,18.161569352882605,18.161569352882605,
7,1974,18.49065250123916,18.49065250123916,
8,1975,17.640167983960957,17.640167983960957,
9,1976,19.25333088724287,19.25333088724287,
10,1977,19.209585949809078,19.209585949809078,
11,1978,20.188242693802366,20.188242693802366,
12,1979,20.976650152185023,20.976650152185023,
13,1980,20.769696916469794,20.769696916469794,
14,1981,21.48404546759086,21.48404546759086,
15,1982,22.54035522938309,22.54035522938309,
16,1983,21.254593332678922,21.254593332678922,
17,1984,22.180428859139912,22.180428859139912,
18,1985,23.48175421234054,23.48175421234054,
19,1986,25.82328766554055,25.82328766554055,
20,1987,25.017709757664615,25.017709757664615,
21,1988,24.287714114300407,24.287714114300407,
22,1989,24.71315021306531,24.71315021306531,
23,1990,24.34307467180434,24.34307467180434,
24,1991,25.03100029598817,25.03100029598817,
25,1992,27.09939140479575,27.09939140479575,
26,1993,26.580933705450356,26.580933705450356,
27,1994,27.758851979300115,27.758851979300115,
28,1995,27.062995136064703,27.062995136064703,
29,1996,27.58484384600665,27.58484384600665,
30,1997,27.143252900736275,27.143252900736275,
31,1998,27.99603982367101,27.99603982367101,
32,1999,30.685481223707672,30.685481223707672,
33,2000,28.446261961532663,28.446261961532663,
34,2001,26.63115910069847,26.63115910069847,
35,2002,26.77681966532472,26.77681966532472,
36,2003,26.17342939671123,26.17342939671123,
37,2004,25.78042036112775,25.78042036112775,
38,2005,25.179691526204582,25.179691526204582,
39,2006,25.10598360327205,25.10598360327205,
40,2007,25.95079806764957,25.95079806764957,
41,2008,25.035664444738483,25.035664444738483,
42,2009,22.01058913022945,22.01058913022945,
43,2010,25.61390699815894,25.61390699815894,
44,2011,25.546817179533164,25.546817179533164,
45,2012,26.902721942240138,26.902721942240138,
46,2013,27.992529660257482,27.992529660257482,
47,2014,27.862698191469622,27.862698191469622,
48,2015,27.931583348658663,27.931583348658663,
49,2016,27.442026388921033,27.442026388921033,
50,2017,28.605374054883303,28.605374054883303,
51,2018,28.259110818728804,28.259110818728804,
52,2019,27.383533925126997,27.383533925126997,
