,Year,Total,Fresh,Processed
3,1970,7.01161534635117,7.01161534635117,
4,1971,6.64316000597127,6.64316000597127,
5,1972,6.771816756870069,6.771816756870069,
6,1973,5.879277189737104,5.879277189737104,
7,1974,5.139526265583061,5.139526265583061,
8,1975,5.052610743009542,5.052610743009542,
9,1976,5.047391473845942,5.047391473845942,
10,1977,5.516974741076741,5.516974741076741,
11,1978,6.583004245569108,6.583004245569108,
12,1979,6.118886494412476,6.118886494412476,
13,1980,5.846389959864048,5.846389959864048,
14,1981,6.118882791369159,6.118882791369159,
15,1982,7.671460196048031,7.671460196048031,
16,1983,6.5386096019325075,6.5386096019325075,
17,1984,7.665730194459018,7.665730194459018,
18,1985,8.470599582330395,8.470599582330395,
19,1986,9.434022713389929,9.434022713389929,
20,1987,9.147456384573564,9.147456384573564,
21,1988,7.858004007819738,7.858004007819738,
22,1989,10.364054628813546,10.364054628813546,
23,1990,9.227622375385796,9.227622375385796,
24,1991,8.64238460233616,8.64238460233616,
25,1992,8.47457706291311,8.47457706291311,
26,1993,8.60956753952854,8.60956753952854,
27,1994,8.37726051109188,8.37726051109188,
28,1995,8.970779232959554,8.970779232959554,
29,1996,10.27631857068162,10.27631857068162,
30,1997,10.520720964999708,10.520720964999708,
31,1998,10.642561975988265,10.642561975988265,
32,1999,11.375660144291876,11.375660144291876,
33,2000,11.123254625387327,11.123254625387327,
34,2001,11.164763484185547,11.164763484185547,
35,2002,11.09589365648859,11.09589365648859,
36,2003,10.793113117149444,10.793113117149444,
37,2004,9.813481853473377,9.813481853473377,
38,2005,9.575937340750523,9.575937340750523,
39,2006,9.251434289291497,9.251434289291497,
40,2007,9.579200505866286,9.579200505866286,
41,2008,8.867208656267001,8.867208656267001,
42,2009,9.045632369065922,9.045632369065922,
43,2010,8.535758005796831,8.535758005796831,
44,2011,8.654135715558578,8.654135715558578,
45,2012,7.518732811934707,7.518732811934707,
46,2013,8.28218434259516,8.28218434259516,
47,2014,6.597673756816466,6.597673756816466,
48,2015,6.76960918787902,6.76960918787902,
49,2016,7.546115104553872,7.546115104553872,
50,2017,7.337901221911538,7.337901221911538,
51,2018,7.052470758125126,7.052470758125126,
52,2019,6.129053581260448,6.129053581260448,
