,Year,Fresh,Processed1,Total
3,1970,,0.2782,0.2782
4,1971,,0.2782,0.2782
5,1972,,0.2675,0.2675
6,1973,,0.3531,0.3531
7,1974,,0.2782,0.2782
8,1975,,0.36380000000000007,0.36380000000000007
9,1976,,0.3531,0.3531
10,1977,,0.3852,0.3852
11,1978,,0.36380000000000007,0.36380000000000007
12,1979,,0.2782,0.2782
13,1980,,0.14980000000000002,0.14980000000000002
14,1981,,0.1926,0.1926
15,1982,,0.2782,0.2782
16,1983,,0.2675,0.2675
17,1984,,0.34240000000000004,0.34240000000000004
18,1985,,0.25680000000000003,0.25680000000000003
19,1986,,0.1605,0.1605
20,1987,,0.18190000000000003,0.18190000000000003
21,1988,,0.2461,0.2461
22,1989,,0.2461,0.2461
23,1990,,0.2461,0.2461
24,1991,,0.23830734966592426,0.23830734966592426
25,1992,,0.1738235363263771,0.1738235363263771
26,1993,,0.22873055021861077,0.22873055021861077
27,1994,,0.15916065653885364,0.15916065653885364
28,1995,,0.18216450853443203,0.18216450853443203
29,1996,,0.1722208755514617,0.1722208755514617
30,1997,,0.15804344781839624,0.15804344781839624
31,1998,,0.2104446674022125,0.2104446674022125
32,1999,,0.1867913201699125,0.1867913201699125
33,2000,,0.1310073633691134,0.1310073633691134
34,2001,,0.1538568994066161,0.1538568994066161
35,2002,,0.1950169401001913,0.1950169401001913
36,2003,,0.14672651706771478,0.14672651706771478
37,2004,,0.13709759908120656,0.13709759908120656
38,2005,,0.14135257785330935,0.14135257785330935
39,2006,,0.17555251801552002,0.17555251801552002
40,2007,,0.1328316508679258,0.1328316508679258
41,2008,,0.2221079705882645,0.2221079705882645
42,2009,,0.2288014107181929,0.2288014107181929
43,2010,,0.31805008313482713,0.31805008313482713
44,2011,,0.3530215585126058,0.3530215585126058
45,2012,,0.3526410887326306,0.3526410887326306
46,2013,,0.37207176257617997,0.37207176257617997
47,2014,,0.4143767356047747,0.4143767356047747
48,2015,,0.4060584757813152,0.4060584757813152
49,2016,,0.3578903737270186,0.3578903737270186
50,2017,,0.4635496414324183,0.4635496414324183
51,2018,,0.4023671233967266,0.4023671233967266
52,2019,,0.44777806383953506,0.44777806383953506
53,NA = Not available.,,,
54,,,,
