,Year,Fresh,Processed1,Total
3,1970,8.21547321792111,11.23680147751436,19.45227469543547
4,1971,8.548971743531625,12.656009353386425,21.20498109691805
5,1972,8.564707515424786,12.471515642498291,21.036223157923075
6,1973,8.569471763395503,13.042433948819294,21.6119057122148
7,1974,8.210456859466873,12.294701064359607,20.50515792382648
8,1975,8.3578683391414,13.190326850237584,21.548195189378983
9,1976,9.260991731730348,10.448555961605278,19.709547693335626
10,1977,7.726994830709146,14.378876363868955,22.1058711945781
11,1978,8.345020024652674,16.00980526695042,24.354825291603092
12,1979,7.292135885466687,14.086415692614468,21.378551578081154
13,1980,7.297221032364617,10.20188921391832,17.49911024628294
14,1981,6.652786574472455,13.034268922100777,19.687055496573233
15,1982,7.201343675510586,12.192624458632116,19.393968134142703
16,1983,7.836359194589448,11.534205481337303,19.37056467592675
17,1984,5.980750685047901,6.228417311807842,12.209167996855744
18,1985,5.5065777283676125,11.11924596995744,16.625823698325053
19,1986,6.132545756516078,8.485345455247618,14.617891211763695
20,1987,6.345411607054229,11.535279954982041,17.88069156203627
21,1988,6.688254413253492,6.065685059381498,12.75393947263499
22,1989,6.60399067515758,9.70491517154389,16.30890584670147
23,1990,4.591504831918411,14.652925405130025,19.244430237048437
24,1991,5.857773860708486,8.55383335623694,14.411607216945425
25,1992,5.919687007766035,6.561816545164156,12.48150355293019
26,1993,6.191998577387418,8.467512266864668,14.659510844252086
27,1994,6.0674483332633375,10.12399385828425,16.191442191547587
28,1995,5.9941934169420925,9.788310156846382,15.782503573788475
29,1996,5.841988282721303,9.247847495957936,15.08983577867924
30,1997,6.175257959905657,8.996485286994012,15.17174324689967
31,1998,5.930549183252859,9.683677510631705,15.614226693884564
32,1999,5.745131214226574,8.895629812117518,14.64076102634409
33,2000,5.087348741529526,8.129307153379065,13.216655894908591
34,2001,4.845846375774007,8.37629028455156,13.222136660325567
35,2002,4.627982037679737,7.004799853846034,11.63278189152577
36,2003,4.098442137025178,5.973067678675394,10.071509815700573
37,2004,4.140898692157406,5.972344228448023,10.11324292060543
38,2005,2.649295535884629,3.615117605403897,6.264413141288526
39,2006,2.306942496600087,3.1633668085587576,5.470309305158844
40,2007,2.836917006404146,4.3151534378283465,7.152070444232493
41,2008,3.1561000234891208,4.23317787325587,7.389277896744991
42,2009,2.7952344601084333,3.806508569131555,6.601743029239989
43,2010,2.763437391154859,3.2142001259830564,5.977637517137915
44,2011,2.713681915052767,3.53414812911326,6.247830044166028
45,2012,2.3714291849410434,2.6984352923985058,5.069864477339549
46,2013,2.637049023483447,3.073987161518698,5.711036185002145
47,2014,2.4001959519576275,2.747058632912952,5.147254584870579
48,2015,2.236139302926325,2.2295914537100483,4.465730756636374
49,2016,1.973516448802144,1.8750609445081479,3.8485773933102916
50,2017,1.9156973886503321,1.6897087049179156,3.6054060935682477
51,2018,1.5572944620069,1.4335992066425456,2.990893668649446
52,2019,1.4332102064009518,2.1794231132149315,3.6126333196158833
53,2020,1.533100173075733,1.353114971285015,2.886215144360748
