,Year,Total,Fresh,Processed
3,1970,0.9061116204670036,0.9061116204670036,
4,1971,0.9269915872503744,0.9269915872503744,
5,1972,1.0395624499752258,1.0395624499752258,
6,1973,1.1089665847132497,1.1089665847132497,
7,1974,1.0062940136728795,1.0062940136728795,
8,1975,1.0612437665819336,1.0612437665819336,
9,1976,1.0200197216043296,1.0200197216043296,
10,1977,1.127865636876303,1.127865636876303,
11,1978,1.5549116068018958,1.5549116068018958,
12,1979,1.5868147701672923,1.5868147701672923,
13,1980,1.4155617447327051,1.4155617447327051,
14,1981,1.5380418039185793,1.5380418039185793,
15,1982,1.8299344249626166,1.8299344249626166,
16,1983,1.7664135293576377,1.7664135293576377,
17,1984,1.8160358002640176,1.8160358002640176,
18,1985,2.090566758286548,2.090566758286548,
19,1986,2.434490338885108,2.434490338885108,
20,1987,2.188113797878618,2.188113797878618,
21,1988,2.3504697708092777,2.3504697708092777,
22,1989,2.493799946827793,2.493799946827793,
23,1990,2.062057489645467,2.062057489645467,
24,1991,1.8956006674740524,1.8956006674740524,
25,1992,2.1005752073578985,2.1005752073578985,
26,1993,1.7352410100862616,1.7352410100862616,
27,1994,2.001220643723713,2.001220643723713,
28,1995,1.8941621343652575,1.8941621343652575,
29,1996,2.0429604840414286,2.0429604840414286,
30,1997,2.2198946763059153,2.2198946763059153,
31,1998,2.341468253445122,2.341468253445122,
32,1999,2.449966005513883,2.449966005513883,
33,2000,2.2626563385448946,2.2626563385448946,
34,2001,1.9742335143513288,1.9742335143513288,
35,2002,2.1888410224364936,2.1888410224364936,
36,2003,2.181623100316535,2.181623100316535,
37,2004,2.047352512036561,2.047352512036561,
38,2005,1.8682609755208865,1.8682609755208865,
39,2006,1.8798221991226802,1.8798221991226802,
40,2007,1.828118290492239,1.828118290492239,
41,2008,1.6845306550824697,1.6845306550824697,
42,2009,1.615988455429165,1.615988455429165,
43,2010,1.6661222933690067,1.6661222933690067,
44,2011,1.6031201492255336,1.6031201492255336,
45,2012,1.4815039560513756,1.4815039560513756,
46,2013,1.606936681209578,1.606936681209578,
47,2014,1.653862682565975,1.653862682565975,
48,2015,1.6919086164980914,1.6919086164980914,
49,2016,1.8531258023573896,1.8531258023573896,
50,2017,1.655669369168831,1.655669369168831,
51,2018,1.7252608022239397,1.7252608022239397,
52,2019,1.3917373043494032,1.3917373043494032,
