,Year,Total,Fresh,Processed
3,1970,,,
4,1971,,,
5,1972,,,
6,1973,,,
7,1974,,,
8,1975,,,
9,1976,,,
10,1977,,,
11,1978,,,
12,1979,,,
13,1980,,,
14,1981,,,
15,1982,0.09905766017192964,0.09905766017192964,
16,1983,0.09816181334744588,0.09816181334744588,
17,1984,0.14047083114729128,0.14047083114729128,
18,1985,0.18157724790955526,0.18157724790955526,
19,1986,0.20527652077074274,0.20527652077074274,
20,1987,0.28212055814566483,0.28212055814566483,
21,1988,0.327727011154146,0.327727011154146,
22,1989,0.4773247630810781,0.4773247630810781,
23,1990,0.48007453408600254,0.48007453408600254,
24,1991,0.32177523067698127,0.32177523067698127,
25,1992,0.5123749268569916,0.5123749268569916,
26,1993,0.5171282923286776,0.5171282923286776,
27,1994,0.5110924507280706,0.5110924507280706,
28,1995,0.5083987948168684,0.5083987948168684,
29,1996,0.4571647106616679,0.4571647106616679,
30,1997,0.5226339652342148,0.5226339652342148,
31,1998,0.5293142633323071,0.5293142633323071,
32,1999,0.516157027336687,0.516157027336687,
33,2000,0.5641856047948723,0.5641856047948723,
34,2001,0.44168538478624125,0.44168538478624125,
35,2002,0.37759884227274526,0.37759884227274526,
36,2003,0.37951653432725246,0.37951653432725246,
37,2004,0.40673958799976895,0.40673958799976895,
38,2005,0.44635924455039466,0.44635924455039466,
39,2006,0.4692232118291284,0.4692232118291284,
40,2007,0.4377587791353051,0.4377587791353051,
41,2008,0.46402336807191974,0.46402336807191974,
42,2009,0.5017179003071585,0.5017179003071585,
43,2010,0.4954418923607531,0.4954418923607531,
44,2011,0.5773888078026934,0.5773888078026934,
45,2012,0.5451040044370209,0.5451040044370209,
46,2013,0.45653914424875436,0.45653914424875436,
47,2014,0.5554635201406831,0.5554635201406831,
48,2015,0.6316034190257626,0.6316034190257626,
49,2016,0.5773808867988719,0.5773808867988719,
50,2017,0.6059881939151005,0.6059881939151005,
51,2018,0.6189048090055286,0.6189048090055286,
52,2019,0.6830616982176505,0.6830616982176505,
