,Year,Fresh,Processed1,Total
3,1970,2.0579742848873432,2.1655360193084094,4.223510304195752
4,1971,2.2545116387201767,2.46212819544138,4.7166398341615565
5,1972,1.866099934423718,2.5410673138136195,4.407167248237338
6,1973,1.939322700665924,3.997385671967202,5.936708372633126
7,1974,2.010895497154021,2.350687581011778,4.361583078165799
8,1975,1.9523474975689872,6.246532328979999,8.198879826548986
9,1976,1.8943780372647918,2.3121825928740876,4.206560630138879
10,1977,2.11032991299349,4.422805469502096,6.533135382495586
11,1978,2.1338558857127383,4.712557963129354,6.846413848842093
12,1979,1.91164764478592,2.5592273915082746,4.470875036294195
13,1980,1.9172580381627815,3.3307822001227643,5.2480402382855456
14,1981,2.0081769220353194,6.53018987756457,8.53836679959989
15,1982,2.065232720618454,4.628905895127554,6.694138615746008
16,1983,2.3189026324135744,4.355851912807193,6.674754545220767
17,1984,2.1550736028209103,3.0241274507721396,5.17920105359305
18,1985,2.298170700894436,3.8219385769872147,6.120109277881651
19,1986,2.4700631786277634,2.802903354225958,5.272966532853721
20,1987,2.4790556860669026,5.380879710816266,7.859935396883168
21,1988,2.4702825219996645,2.6748359585377557,5.14511848053742
22,1989,2.3870093898239,2.733332258431347,5.120341648255247
23,1990,2.6004930446917265,3.631123619092814,6.231616663784541
24,1991,2.5963976195864045,3.483017893260325,6.0794155128467295
25,1992,2.525453149121913,3.2137132549302567,5.73916640405217
26,1993,2.633630870693021,4.3633586703669724,6.996989541059993
27,1994,2.6534195686452686,4.738329072896282,7.39174864154155
28,1995,2.8344312642429186,3.2065494288034144,6.040980693046333
29,1996,2.8577928107670667,4.020288901744891,6.878081712511958
30,1997,2.7561247051886792,4.19601627317692,6.9521409783656
31,1998,2.4607429740811138,4.3124864992928895,6.773229473374004
32,1999,2.6099046725944053,3.01219344262295,5.622098115217355
33,2000,2.441200634929674,3.9058674335174537,6.347068068447127
34,2001,2.9654493703485243,5.2425670587772695,8.208016429125793
35,2002,3.3354700209799892,3.2978264654157243,6.633296486395714
36,2003,3.3269787614728656,5.35490197163536,8.681880733108226
37,2004,3.123449901569821,3.363598442242869,6.48704834381269
38,2005,2.9458935447589765,4.2484864492653855,7.194379994024362
39,2006,4.147230134901242,3.773787939834963,7.921018074736205
40,2007,2.8076177095353616,3.6158889315690113,6.423506641104373
41,2008,1.9667991367261435,3.2017681115060523,5.168567248232196
42,2009,3.1220053307669886,4.227361636497479,7.3493669672644675
43,2010,2.788886642049025,3.953194254100815,6.74208089614984
44,2011,3.4627814215789,5.1230286932985045,8.585810114877404
45,2012,3.943792169475895,3.9779352710004976,7.921727440476392
46,2013,3.4817763637302197,4.548018301280029,8.029794665010249
47,2014,3.4238877216813153,3.7336394970073092,7.1575272186886245
48,2015,3.598842602678611,5.2341117436615745,8.832954346340186
49,2016,4.149549660686377,5.045607786599987,9.195157447286364
50,2017,4.261250088676499,5.515745433227383,9.776995521903881
51,2018,4.228618598624948,5.141953912265097,9.370572510890046
52,2019,4.883307861527061,5.255529581494401,10.138837443021462
53,2020,4.947708994509753,5.680026876107456,10.627735870617208
