,Year,Total,Fresh,Processed
3,1970,0.07483752901702982,0.07483752901702982,
4,1971,0.08700478183192802,0.08700478183192802,
5,1972,0.08576390212295613,0.08576390212295613,
6,1973,0.11235719105842602,0.11235719105842602,
7,1974,0.1288495889719154,0.1288495889719154,
8,1975,0.16499516143221607,0.16499516143221607,
9,1976,0.191359185451877,0.191359185451877,
10,1977,0.14901311756773325,0.14901311756773325,
11,1978,0.20709167284408203,0.20709167284408203,
12,1979,0.20853346959632088,0.20853346959632088,
13,1980,0.24999560875789326,0.24999560875789326,
14,1981,0.20103941452214674,0.20103941452214674,
15,1982,0.28995025582717454,0.28995025582717454,
16,1983,0.43188240214760976,0.43188240214760976,
17,1984,0.4314570040787313,0.4314570040787313,
18,1985,0.4264046027525937,0.4264046027525937,
19,1986,0.4866175498959073,0.4866175498959073,
20,1987,0.5563592444935009,0.5563592444935009,
21,1988,0.375386191387677,0.375386191387677,
22,1989,0.5102732249274284,0.5102732249274284,
23,1990,0.5353613292181728,0.5353613292181728,
24,1991,0.8516605981230252,0.8516605981230252,
25,1992,0.672830038848708,0.672830038848708,
26,1993,0.8904266968934315,0.8904266968934315,
27,1994,0.9685350521568806,0.9685350521568806,
28,1995,1.119370341052758,1.119370341052758,
29,1996,1.3384730055957905,1.3384730055957905,
30,1997,1.43491308553673,1.43491308553673,
31,1998,1.4921789833946002,1.4921789833946002,
32,1999,1.623089650727725,1.623089650727725,
33,2000,1.7528607751828178,1.7528607751828178,
34,2001,1.7874153147608698,1.7874153147608698,
35,2002,1.9741337855724437,1.9741337855724437,
36,2003,2.0609073698235933,2.0609073698235933,
37,2004,2.017718140692843,2.017718140692843,
38,2005,1.8796317415392487,1.8796317415392487,
39,2006,2.099993118633011,2.099993118633011,
40,2007,2.1029840252038854,2.1029840252038854,
41,2008,2.1039446775988626,2.1039446775988626,
42,2009,2.018339893617931,2.018339893617931,
43,2010,2.236183463296153,2.236183463296153,
44,2011,2.5345655469771105,2.5345655469771105,
45,2012,2.489661314616069,2.489661314616069,
46,2013,2.875146586775957,2.875146586775957,
47,2014,2.5176670466952014,2.5176670466952014,
48,2015,2.599412031611998,2.599412031611998,
49,2016,2.9656031494467636,2.9656031494467636,
50,2017,3.217121761487633,3.217121761487633,
51,2018,3.171051981241046,3.171051981241046,
52,2019,3.254559421279146,3.254559421279146,
