,Year,Total,Fresh,Processed,,,,,
3,1970,127.24950391492976,72.03196871152097,55.21753520340879,26.191039394957425,14.540875998859713,3.8768824493299263,9.95487360763474,0.6538637526269805
4,1971,128.86821571834682,71.8385448310803,57.02967088726651,26.546212694122502,15.911952140768287,3.9749495572110316,9.959163413495066,0.6373930816696212
5,1972,115.9954879690271,67.23182044965611,48.76366751937098,24.16588976858079,12.74900129299538,3.959544726912376,7.237776846885445,0.651454883996994
6,1973,120.18728032324158,69.53295214982197,50.654328173419614,24.49103534367796,11.29989342636354,4.050478271333451,10.208138801547225,0.6047823304974287
7,1974,119.7651865749188,69.0712762104422,50.693910364476594,24.026834610761888,12.751894253820078,3.255521991639156,9.701137538800436,0.9585219694550373
8,1975,123.31075788228395,72.40398466627542,50.90677321600854,23.522694316664328,13.631266424235147,3.0425618017066944,10.285928449060599,0.4243222243417655
9,1976,127.16564351006559,73.48334121928886,53.682302290776725,23.363546031217084,13.062387118172598,3.37646387047951,13.546410717831693,0.3334945530758424
10,1977,126.58438371718108,73.47600864424066,53.10837507294042,24.406852420862855,14.890578273120218,3.3166959530328426,9.942644485766007,0.5516039401585006
11,1978,132.62043223765176,77.48565726940008,55.13477496825169,24.05047016366262,17.87985491980299,3.724468405328302,8.638359098804258,0.8416223806535217
12,1979,134.6749410045234,76.97540158528047,57.699539419242925,25.03323372020191,18.91298722208073,3.0640252382750885,10.10947951166222,0.5798137270229826
13,1980,142.1280141165064,80.4824281935243,61.6455859229821,24.60194114008376,21.69035970241295,3.3138204684577084,11.311713354581258,0.7277512574464233
14,1981,133.75593765981031,80.01375796007999,53.742179699730336,20.971848468564726,19.673703963619317,3.029952340780811,9.68578411400913,0.3808908127563478
15,1982,145.56692955267349,84.67006442442012,60.89686512825336,22.061847839015233,22.97326439184395,3.275652660774889,12.082546374958163,0.5035538616611221
16,1983,143.2630742297087,82.80112909401257,60.46194513569615,20.105464328149402,24.883992832822948,3.273651149986984,11.789959822139542,0.40887700259726906
17,1984,153.11174692991221,90.17842093487249,62.93332599503974,19.704835711096408,26.5728472796702,3.416409954812395,12.80462591646585,0.43460713299488074
18,1985,154.01542898072023,89.32712104132862,64.68830793939162,20.865182251182667,27.129485084865138,3.495801833385053,12.886638945140259,0.3111998248185019
19,1986,159.2023602845424,94.51160778870688,64.69075249583553,21.122299200281713,27.5699396766385,4.049818872142646,11.56937260253845,0.37932214423421995
20,1987,165.26441177981224,97.42153934566225,67.84287243414998,20.97160551266436,30.26607047921814,4.150077639577602,12.150301279611432,0.3048175230784502
21,1988,165.708514285377,96.07210585396355,69.63640843141344,20.766053510628748,29.447282704066396,4.10553112712788,15.044159145914463,0.273381943675942
22,1989,168.72153548147196,99.55505721475112,69.16647826672086,21.52109244994933,29.463856925450784,4.607815933643173,13.343434836941976,0.23027812073559037
23,1990,166.7350006768088,95.59149368217832,71.14350699463047,21.050073760886825,33.283225093211826,4.30771920162495,12.20489263231832,0.29759630658854097
24,1991,162.6353881642438,94.0205628214571,68.61482534278672,19.789418462579317,31.768529409384705,4.271731495374537,12.390130710787924,0.3950152646602273
25,1992,170.81100762662302,100.0585563145111,70.75245131211193,22.81076551578346,32.176105194452546,4.262459147880453,10.894220688363488,0.6089007656319795
26,1993,168.98140371046497,97.52667511934807,71.4547285911169,20.620034690239038,33.50205402400405,4.32408550783278,12.679961789048082,0.32859257999296426
27,1994,171.35960263481286,100.61570705002492,70.74389558478792,20.759032448282362,32.135287598458824,4.4923931408606546,12.848246428432377,0.5089359687536987
28,1995,166.54500419971896,99.58808516564176,66.9569190340772,17.33755325656496,31.777087220512342,4.743122175362126,12.804488326522389,0.2946680551153771
29,1996,168.97669802239884,102.0951287238972,66.88156929850163,18.58553757802341,32.45841869949173,4.354313801348242,11.25469667853268,0.2286025411055711
30,1997,170.08370875222897,103.72767776421816,66.35603098801082,20.10186900581663,30.497770741605194,4.380561292875543,10.712872990166279,0.6629569575471698
31,1998,168.298890996004,102.85969071053574,65.43920028546826,17.06748329460121,31.321515995498164,4.481408233008249,12.222503627318781,0.3462891350418387
32,1999,178.12910390490043,110.13857793513158,67.99052596976887,19.329251666480832,33.77077180045481,4.167332261927903,10.270310166748592,0.45286007415673707
33,2000,170.24908952813857,105.2737180703071,64.97537145783147,17.60118519005221,32.02572198655796,4.472361215823481,10.545825746338537,0.3302773190592791
34,2001,166.52803840572366,102.01345487119735,64.51458353452631,17.76816301797581,31.681820016036383,4.906187661007091,9.910103808160992,0.24830903134604604
35,2002,168.06435335639685,103.73543173235959,64.32892162403725,16.871873888613166,32.71609288941982,4.0665626455310395,10.498303669994435,0.17608853047879763
36,2003,172.3601588247241,104.36589559689739,67.9942632278267,17.379668956822815,35.25228869624069,5.055179606457227,9.944108290287996,0.3630176780179715
37,2004,172.52851589124083,105.15462233877855,67.37389355246226,17.027657082657974,36.2012542746718,4.338815947466374,9.354408329265304,0.4517579184008153
38,2005,170.65539833790186,103.65512798630455,67.00027035159731,16.70549135509735,34.42221545547379,5.18628280199277,10.139680870803982,0.5465998682294201
39,2006,176.2603578470729,106.27608108817202,69.98427675890086,15.584739276873659,38.16312914441247,5.042732264783032,10.590275846031831,0.6034002267998686
40,2007,177.02708027509618,105.67209572078008,71.35498455431612,16.129253015157147,39.49933977158122,5.271558681588877,9.928507632564912,0.5263254534239717
41,2008,174.6661549612582,106.08391786721309,68.58223709404513,15.71841510827601,37.251658573273176,4.90726307109193,9.914472378565426,0.7904279628385779
