,Year,Fresh,Processed1,Total
3,1970,16.08706571991495,67.67599855500926,83.7630642749242
4,1971,15.68944096387863,68.06751951629504,83.75696048017366
5,1972,14.414710142165644,72.1561827609267,86.57089290309234
6,1973,14.350593886998666,69.92808807362277,84.27868196062144
7,1974,14.352432033069288,72.77875136146186,87.13118339453115
8,1975,15.805170090705786,78.97350145445417,94.77867154515995
9,1976,14.67681794207352,87.47735472170531,102.15417266377884
10,1977,13.375151539917999,95.57375443544699,108.94890597536498
11,1978,13.38556057236561,78.73166459687546,92.11722516924107
12,1979,11.44333163004599,74.97303859015187,86.41637022019786
13,1980,14.243186987871388,81.43905702955028,95.68224401742167
14,1981,12.340337267248199,83.19156935730874,95.53190662455694
15,1982,11.669026823091635,75.31443893939326,86.98346576248488
16,1983,15.013516454907453,91.42237442592759,106.43589088083505
17,1984,11.86008343628886,80.59649241638209,92.45657585267095
18,1985,11.682906577876928,78.71103455981488,90.3939411376918
19,1986,13.52724900374401,82.97645343900076,96.50370244274478
20,1987,13.140055353289071,68.52547333305809,81.66552868634716
21,1988,13.899478003926196,65.71812671667584,79.61760472060203
22,1989,12.167674717597492,67.7407749690396,79.9084496866371
23,1990,12.565909199942428,62.53906390169646,75.10497310163889
24,1991,8.427976314927827,73.71505894675043,82.14303526167826
25,1992,12.837750200471788,63.60136945679688,76.43911965726866
26,1993,14.137872471230141,74.4174064249706,88.55527889620073
27,1994,12.917190513065794,75.37091952538174,88.28811003844753
28,1995,11.823275884707586,69.86109087388012,81.6843667585877
29,1996,12.568953561244053,78.17765626647783,90.74660982772188
30,1997,13.905892741982765,74.40427849979116,88.31017124177393
31,1998,14.60478423845137,89.40710556662253,104.0118898050739
32,1999,8.380616774378343,73.09463626238589,81.47525303676423
33,2000,11.648882303710657,80.32160647902543,91.97048878273608
34,2001,11.876550011901307,75.33840689122704,87.21495690312834
35,2002,11.744268018454308,72.5211828271393,84.2654508455936
36,2003,11.89581632579869,71.20663304085845,83.10244936665714
37,2004,10.803085470499475,73.1841600625954,83.98724553309486
38,2005,11.428656457125609,69.1672429748566,80.59589943198222
39,2006,10.243935907665454,62.80565904106045,73.04959494872591
40,2007,7.460431109714301,58.00086521992281,65.46129632963711
41,2008,9.928279004024578,52.64229725405858,62.570576258083165
42,2009,9.059010160818485,54.479910524772976,63.538920685591464
43,2010,9.683199126681467,51.67285639861745,61.35605552529891
44,2011,9.966965832502265,53.10018088679362,63.06714671929589
45,2012,10.471345240873026,43.7653313804719,54.23667662134493
46,2013,10.391272055984638,45.62006642784105,56.01133848382569
47,2014,9.383749873652976,44.332080606468004,53.71583048012098
48,2015,8.67628356780831,42.21508092353754,50.891364491345854
49,2016,9.17933548920603,42.824902695491105,52.00423818469714
50,2017,8.03505157518143,39.309038275720575,47.34408985090201
51,2018,8.201356023640189,40.2643639590831,48.465719982723286
52,2019,8.460587735241466,37.733980252433305,46.19456798767477
53,2020,9.35375117709344,37.50006851550965,46.853819692603096
