,Year,Total,Fresh,Processed
3,1970,0.1180188440005462,0.1180188440005462,
4,1971,0.09679236833107804,0.09679236833107804,
5,1972,0.11053092960323208,0.11053092960323208,
6,1973,0.1401545002807809,0.1401545002807809,
7,1974,0.16272784235974072,0.16272784235974072,
8,1975,0.16368712755761133,0.16368712755761133,
9,1976,0.20220606783314607,0.20220606783314607,
10,1977,0.2501237292214368,0.2501237292214368,
11,1978,0.2521463710492621,0.2521463710492621,
12,1979,0.17082935282486503,0.17082935282486503,
13,1980,0.20621272933261903,0.20621272933261903,
14,1981,0.21642329735700058,0.21642329735700058,
15,1982,0.15362551036229263,0.15362551036229263,
16,1983,0.17967879747510743,0.17967879747510743,
17,1984,0.2610557313791527,0.2610557313791527,
18,1985,0.18304496238457474,0.18304496238457474,
19,1986,0.17618875466962533,0.17618875466962533,
20,1987,0.18698209255201728,0.18698209255201728,
21,1988,0.1563131323437583,0.1563131323437583,
22,1989,0.13990749650281795,0.13990749650281795,
23,1990,0.17627092894951463,0.17627092894951463,
24,1991,0.1692393872809111,0.1692393872809111,
25,1992,0.23753766144791233,0.23753766144791233,
26,1993,0.27964112120804596,0.27964112120804596,
27,1994,0.3002285185016475,0.3002285185016475,
28,1995,0.36777499746770853,0.36777499746770853,
29,1996,0.5422465485209536,0.5422465485209536,
30,1997,0.4694590197572845,0.4694590197572845,
31,1998,0.4650779566484979,0.4650779566484979,
32,1999,0.6236745842209849,0.6236745842209849,
33,2000,0.682995035147051,0.682995035147051,
34,2001,0.784833903200235,0.784833903200235,
35,2002,0.7884162214878336,0.7884162214878336,
36,2003,0.8727878840532478,0.8727878840532478,
37,2004,1.0287598391600636,1.0287598391600636,
38,2005,0.9358529331425738,0.9358529331425738,
39,2006,1.037061922185703,1.037061922185703,
40,2007,1.0835959985247474,1.0835959985247474,
41,2008,0.9776843537902498,0.9776843537902498,
42,2009,1.1956644100463816,1.1956644100463816,
43,2010,1.166251447550844,1.166251447550844,
44,2011,1.04839420138185,1.04839420138185,
45,2012,0.9668524473809611,0.9668524473809611,
46,2013,1.1200099429719934,1.1200099429719934,
47,2014,1.1393111704517356,1.1393111704517356,
48,2015,1.3261686034921514,1.3261686034921514,
49,2016,1.4300766193485646,1.4300766193485646,
50,2017,1.363330132897435,1.363330132897435,
51,2018,1.2607241083168523,1.2607241083168523,
52,2019,1.2689937853673132,1.2689937853673132,
