,Year,Total,Fresh,Processed,,,
3,1970,13.070340949651463,5.818036400522796,7.252304549128668,6.778301585977857,0.3537029631508105,0.12029999999999999
4,1971,12.944065832946833,5.656815675548129,7.287250157398705,6.837687561148084,0.32926259625062004,0.12029999999999999
5,1972,10.523065273403851,3.8838281815756375,6.639237091828214,6.136009356187706,0.38292773564050764,0.12029999999999999
6,1973,10.42957598069855,4.261263089344955,6.168312891353595,5.8167642249449,0.29139866640869433,0.060149999999999995
7,1974,11.473770464066824,4.33520065091137,7.138569813155455,6.731804832841783,0.346614980313672,0.060149999999999995
8,1975,11.376575975424913,4.981178202830909,6.395397772594005,5.919729277458038,0.355368495135966,0.12029999999999999
9,1976,11.361546889587178,5.13541403903043,6.2261328505567475,5.937339260078154,0.1684935904785928,0.12029999999999999
10,1977,11.698004287138074,5.093103401304947,6.6049008858331275,6.135548265724972,0.3490526201081553,0.12029999999999999
11,1978,12.022212386780822,6.089682593166656,5.932529793614165,5.5387993636660555,0.33358042994810966,0.060149999999999995
12,1979,12.652219372988974,6.660887338650551,5.9913320343384235,5.665691376499229,0.26549065783919484,0.060149999999999995
13,1980,13.219471985287653,7.083868332996671,6.135603652290982,5.742817062705251,0.3326365895857302,0.060149999999999995
14,1981,11.894966782657699,6.871602758668672,5.023364023989027,4.6611804411985265,0.24188358279049954,0.12029999999999999
15,1982,10.157409450344243,5.346318500525437,4.811090949818806,4.400616608336903,0.2901743414819026,0.12029999999999999
16,1983,9.70307927992219,5.432014408447038,4.271064871475152,3.6458199398256492,0.3846449316495027,0.24059999999999998
17,1984,11.29857279243154,6.69945588708176,4.599116905349779,4.008397589764287,0.3501193155854926,0.24059999999999998
18,1985,10.098030266520002,5.495324281029581,4.602705985490422,3.976044491608694,0.5063614938817274,0.12029999999999999
19,1986,10.653811448357398,5.836647260971281,4.817164187386117,4.24174518788061,0.515268999505508,0.060149999999999995
20,1987,10.497447316730362,6.0495790843643436,4.447868232366019,3.9877879981029913,0.33978023426302695,0.12029999999999999
21,1988,11.411759085998343,6.749319446088294,4.6624396399100485,4.1294199138457515,0.4127197260642965,0.12029999999999999
22,1989,10.722600390433998,5.855216663567044,4.8673837268669535,4.253850152706479,0.553383574160474,0.060149999999999995
23,1990,9.865631919281093,5.53856763628804,4.327064282993052,3.8301448972287355,0.4367693857643165,0.060149999999999995
24,1991,11.16900960336121,6.4090014319922055,4.760008171369004,4.027303031626365,0.6262500345177185,0.10645510522492048
25,1992,10.928617329780415,5.990128224092427,4.938489105687989,4.311943440929312,0.5274403061184769,0.09910535864019998
26,1993,10.332621670881279,5.842904074849667,4.489717596031612,4.051710807603246,0.350343893489078,0.0876628949392877
27,1994,10.081388378989509,5.415816365265189,4.665572013724319,4.00169836221631,0.5956902245706737,0.06818342693733559
28,1995,8.966375152632958,5.322250025322914,3.644125127310044,3.0194357666400053,0.5534791808131092,0.07121017985692941
29,1996,8.739021856643326,4.375351822803681,4.363670033839645,3.7907621700708436,0.49610260061483247,0.07680526315396921
30,1997,10.16669926269261,5.510303361556084,4.656395901136527,4.102621978183962,0.4688965673916868,0.08487735556087854
31,1998,8.755735807171318,4.691825637414556,4.0639101697567614,3.4976303135901206,0.4977138148959672,0.06856604127067356
32,1999,9.557916248893186,5.283330046843609,4.274586202049577,3.6230938898688465,0.5648373583486994,0.08665495383203137
33,2000,10.00382440723862,5.302925404614183,4.700899002624436,3.8746776622677146,0.7593976308939923,0.0668237094627299
34,2001,9.506735931433957,5.1578432179544595,4.348892713479497,3.541561309966493,0.7446662595688923,0.06266514394411148
35,2002,9.853512151141661,5.227100742202791,4.626411408938871,3.880139326824359,0.677643995526656,0.06862808658785619
36,2003,9.582584841133249,5.171844491077243,4.410740350056006,3.3736327253761265,0.7795725373892738,0.2575350872906057
37,2004,9.696141598251337,5.1459308158193675,4.55021078243197,3.5985646167888747,0.7197623442954181,0.23188382134767668
38,2005,9.147893138919063,4.826137054264538,4.321756084654525,3.370936414696278,0.7163061227670365,0.23451354719120993
39,2006,8.241269071872228,4.581241851788398,3.660027220083829,2.92036639169546,0.5968812440775719,0.14277958431079718
40,2007,9.202507769404846,4.462457296538972,4.740050472865874,3.5674848812819437,0.8857211279150394,0.2868444636688901
41,2008,9.088542182577445,5.080904475541734,4.00763770703571,3.0048359090055072,0.72874551069947,0.2740562873307323
42,2009,8.593841857424255,4.411354935417745,4.182486922006511,3.310532234383898,0.6963892585714921,0.17556542905112066
43,2010,8.803296317199148,4.727215554630676,4.076080762568473,3.04604172539307,0.6578110953044781,0.3722279418709249
44,2011,7.869539635027385,4.467357033575571,3.402182601451814,2.639275220404523,0.6047500817648492,0.1581572992824416
45,2012,7.318334540262933,3.8637273967033856,3.454607143559547,2.641017697396519,0.6364557539706249,0.17713369219240327
46,2013,6.604631474533948,3.017115372405499,3.5875161021284487,2.75625746328312,0.614968285627591,0.21629035321773749
47,2014,6.5503422418569315,3.152758729048685,3.397583512808247,2.581802589945798,0.6516910490276988,0.16408987383475002
48,2015,6.516496133498773,2.9110807944968413,3.6054153390019312,2.724363627714688,0.5710906240012819,0.30996108728596083
49,2016,6.02532642616182,2.7334946852545903,3.2918317409072295,2.50301467409346,0.5915743034978932,0.19724276331587653
50,2017,5.5613844879197565,2.6637042652314906,2.897680222688266,2.2944134990158576,0.4043398272781104,0.1989268963942981
