,Year,Total,Fresh,Processed,,
3,1970,5.294913744487342,1.9225014594135859,3.3724122850737563,3.3093122850737564,0.0631
4,1971,6.6607964730270375,2.5655555878449725,4.095240885182065,4.032140885182065,0.0631
5,1972,6.0396361363603726,2.3071363268666505,3.732499809493722,3.669399809493722,0.0631
6,1973,6.7024345498495155,2.590705500391023,4.111729049458493,4.0486290494584924,0.0631
7,1974,6.323784162079914,2.5087821464129396,3.8150020156669737,3.751902015666974,0.0631
8,1975,6.72588945335945,2.7655387077713316,3.960350745588119,3.897250745588119,0.0631
9,1976,7.272570508302817,2.8503650475598237,4.422205460742993,4.359105460742993,0.0631
10,1977,6.966589841636289,2.3930212292236024,4.573568612412687,4.510468612412686,0.0631
11,1978,6.208478526889925,2.3094948911173616,3.8989836357725633,3.8358836357725634,0.0631
12,1979,7.069108085229939,2.308087463426619,4.761020621803319,4.697920621803319,0.0631
13,1980,7.335666692132073,2.6407478880640847,4.694918804067989,4.631818804067988,0.0631
14,1981,7.327543929989473,2.8510026775925255,4.476541252396948,4.4134412523969475,0.0631
15,1982,7.026765387593715,2.8725065648022774,4.154258822791437,4.091158822791437,0.0631
16,1983,6.7526534925982125,3.0160036344622454,3.736649858135967,3.673549858135967,0.0631
17,1984,5.82982260339444,2.5638846995348055,3.2659379038596343,3.2028379038596344,0.0631
18,1985,6.113599435713444,2.8113261576296598,3.302273278083784,3.239173278083784,0.0631
19,1986,6.531857041871489,3.0007761707241754,3.5310808711473136,3.4679808711473137,0.0631
20,1987,7.527200188598089,3.5448995797902265,3.982300608807862,3.919200608807862,0.0631
21,1988,6.861170341542989,3.246482308048577,3.6146880334944114,3.5515880334944114,0.0631
22,1989,7.11082889726428,3.2964292676587177,3.8143996296055622,3.7512996296055623,0.0631
23,1990,7.2871538247157766,3.2564516064168196,4.0307022182989565,3.967602218298956,0.0631
24,1991,6.7041276117655,3.1823422221692885,3.5217853895962112,3.4491383109226685,0.0726470786735427
25,1992,6.955864490192545,3.1577773946570336,3.7980870955355117,3.72391404860235,0.07417304693316197
26,1993,6.849732680271689,3.3876000757695834,3.4621326045021057,3.388953104040143,0.07317950046196252
27,1994,7.286527514231499,3.4773422317586733,3.8091852824728254,3.7465475967761024,0.06263768569672304
28,1995,6.413203090807565,3.3918443730097647,3.0213587177978,2.9832669292645755,0.038091788533224674
29,1996,5.959619766474859,3.086328225514729,2.87329154096013,2.8403474161946063,0.0329441247655239
30,1997,6.93657871462264,3.428677771226414,3.5079009433962263,3.470695754716981,0.037205188679245285
31,1998,6.830875754298574,3.4698708279623927,3.361004926336181,3.31045618004122,0.05054874629496115
32,1999,7.027911476295042,3.571566438676698,3.456345037618344,3.4104607365275923,0.045884301090752
33,2000,6.306074347987016,3.4305320027333286,2.8755423452536872,2.848593424349411,0.026948920904276516
34,2001,6.31739825798077,3.283090931239242,3.034307326741528,3.012082787907577,0.02222453883395107
35,2002,5.728299776670928,3.0915653939103924,2.6367343827605354,2.616492221629139,0.020242161131396354
36,2003,5.8127324778939755,3.1080276330438115,2.7047048448501645,2.6781150951934762,0.026589749656688373
37,2004,5.537380157950311,2.983461714149561,2.55391844380075,2.5271401509466944,0.026778292854055596
38,2005,5.2612594579875696,2.9395717603653964,2.321687697622173,2.304570848150572,0.017116849471601196
39,2006,5.625831841891591,3.2187812540361422,2.4070505878554482,2.4070505878554482,
40,2007,5.4273422333548,3.117281070843802,2.310061162510998,2.310061162510998,
41,2008,5.397619989444113,3.1361215862585126,2.2614984031856005,2.2614984031856005,
42,2009,5.676153751695592,3.21463468071489,2.461519070980702,2.461519070980702,
43,2010,4.883016746538028,2.9252736583453003,1.9577430881927282,1.9577430881927282,
44,2011,5.403897896902431,3.2351555729301515,2.1687423239722796,2.1687423239722796,
45,2012,4.83345639000597,2.7820870584265096,2.05136933157946,2.05136933157946,
46,2013,4.883692354341454,2.857278921260795,2.0264134330806582,2.0264134330806582,
47,2014,4.853015541302406,2.870994672334876,1.9820208689675296,1.9820208689675296,
48,2015,4.6932966138899275,2.683636305338746,2.0096603085511813,2.0096603085511813,
49,2016,4.375813502404523,2.778018893268296,1.5977946091362272,1.5977946091362272,
50,2017,4.381874391795471,2.7089895080846724,1.6728848837107977,1.6728848837107977,
51,2018,4.595296775635078,2.9417989237939284,1.65349785184115,1.65349785184115,
52,2019,4.227433229527948,2.8087143853517875,1.418718844176161,1.418718844176161,
