,Year,Total,Fresh,Processed,,
3,1970,11.829339469012739,0.6993348028792697,11.13000466613347,7.117488865263446,4.012515800870023
4,1971,11.727364749630407,0.6433562392553247,11.084008510375083,7.143599887667882,3.9404086227072006
5,1972,11.397471598610739,0.7746693600640318,10.622802238546708,6.890175199441627,3.7326270391050804
6,1973,9.594796578068888,0.9074649967674805,8.687331581301407,5.605186084885493,3.0821454964159147
7,1974,8.721665067087825,0.8959383504634002,7.825726716624425,5.1481272094840405,2.677599507140385
8,1975,10.121043589092153,1.0251281410176272,9.095915448074527,5.97979628040079,3.1161191676737365
9,1976,10.264231204402963,1.1443116930767996,9.119919511326163,6.03417208545417,3.085747425871993
10,1977,10.920970666625802,1.3562538878218664,9.564716778803936,5.9932123676869224,3.5715044111170138
11,1978,10.808741772576766,1.4340588988476315,9.374682873729135,5.71363785721859,3.661045016510546
12,1979,12.000667000542089,1.4507564817489058,10.549910518793183,6.251659935602408,4.298250583190775
13,1980,12.05700523690751,1.486435453132273,10.570569783775237,5.9513913412609885,4.61917844251425
14,1981,11.240404662123966,1.5402276858318185,9.700176976292148,5.456034450875347,4.244142525416801
15,1982,11.453475603183627,1.6512481265181662,9.802227476665461,5.472362582700226,4.329864893965236
16,1983,11.401280761739942,1.6755794747916197,9.725701286948322,5.534488049614395,4.191213237333926
17,1984,10.573795820324268,1.5015993365714961,9.072196483752771,5.01797789506152,4.054218588691251
18,1985,12.205113366752492,1.4664564340409114,10.738656932711582,5.655591422324357,5.083065510387225
19,1986,13.74119095994199,1.7219957531861494,12.01919520675584,6.1169519582341225,5.902243248521718
20,1987,13.204738650948912,1.6181776247508277,11.586561026198083,5.172406852461243,6.414154173736841
21,1988,13.235390036241794,1.7561760012407102,11.479214035001084,5.087976855330768,6.391237179670315
22,1989,14.155298001299764,1.962226390988995,12.193071610310769,5.545246762972288,6.647824847338481
23,1990,14.695326887235915,2.048558361185294,12.646768526050622,5.201038612925175,7.4457299131254455
24,1991,14.710100588372478,1.9103920029349923,12.799708585437486,5.294963739202266,7.504744846235221
25,1992,15.164272294796463,1.9919577724664645,13.172314522329998,6.084791670806636,7.087522851523362
26,1993,13.781776578518308,2.036752415899791,11.745024162618517,5.553615736267438,6.191408426351079
27,1994,12.59653027884362,2.0167934526792086,10.57973682616441,5.354084295758542,5.225652530405868
28,1995,12.342248304551838,1.907393165439287,10.43485513911255,4.7094005459110955,5.725454593201453
29,1996,12.32232540032803,1.8949111311358082,10.427414269192221,4.7188737358677875,5.708540533324434
30,1997,12.141753456787477,2.3405200211057045,9.801233435681773,4.638965012160637,5.162268423521136
31,1998,10.925599095559107,2.751342737627438,8.17425635793167,3.8745804982355287,4.2996758596961415
32,1999,13.058719656553665,3.0306017687391464,10.028117887814519,5.160608569710005,4.8675093181045135
33,2000,12.558540498306806,3.2209196168351713,9.337620881471635,4.788008242698329,4.549612638773306
34,2001,12.178247320773831,3.1617446765676904,9.01650264420614,4.361956672772969,4.654545971433171
35,2002,13.132531862426777,3.8188493189308623,9.313682543495915,4.514250761692114,4.799431781803801
36,2003,14.161381015804697,4.393261591134524,9.768119424670171,4.738456864129296,5.029662560540876
37,2004,12.90555708035415,4.430686510132438,8.474870570221713,4.457492785679506,4.017377784542207
38,2005,13.514266814117036,4.903690231148366,8.610576582968669,4.759629481500584,3.8509471014680847
39,2006,13.981978632745555,5.201997415850204,8.77998121689535,4.781812797654047,3.998168419241304
40,2007,12.603442015392801,5.018784100737343,7.584657914655458,4.345679146707889,3.238978767947569
41,2008,13.459647775322733,5.074680279557566,8.384967495765167,4.358438214928357,4.026529280836811
42,2009,13.283117617107514,5.086646839930467,8.196470777177048,4.148113813626319,4.048356963550729
43,2010,12.763364541551757,5.697354923752349,7.066009617799408,3.8510817955700696,3.2149278222293387
44,2011,13.13522174149493,5.718785320461119,7.416436421033811,3.9701097074804466,3.4463267135533653
45,2012,13.553243064235232,6.42222971100027,7.131013353234963,3.948255272434017,3.182758080800946
46,2013,13.911242862996382,6.742217696925154,7.169025166071227,4.03329374837208,3.1357314176991475
47,2014,14.046181725895364,7.193618686951163,6.852563038944201,3.6998920557276027,3.1526709832165976
48,2015,13.906680227538569,6.985346775832009,6.92133345170656,3.9054300113105067,3.015903440396053
49,2016,14.109618523977481,7.279405789704007,6.8302127342734735,3.712638929245367,3.117573805028107
50,2017,14.39917602453617,7.755262304853326,6.6439137196828435,3.6257951045390833,3.0181186151437602
