,Year,Total,Fresh,Processed,,,,
3,1970,5.158221021990936,1.4757232311803836,3.6824977908105527,0.19849779081055285,1.69,0.04776349413807229,1.7939999999999998
4,1971,4.585653286435319,1.2828600459402586,3.3027932404950597,0.23479324049505965,1.56,0.02102465075290979,1.508
5,1972,3.9100736080846508,1.08529938636277,2.824774221721881,0.12077422172188094,1.43,0.028671341997941836,1.274
6,1973,3.6748984515961176,1.1490781420326648,2.5258203095634526,0.18582030956345247,0.9100000000000001,0.033410567743701304,1.4300000000000002
7,1974,4.313483319325991,1.5033621068579497,2.810121212468042,0.1841212124680416,1.3,0.0342102555949386,1.326
8,1975,4.092084191773186,1.3297958541113934,2.7622883376617926,0.1622883376617926,1.04,0.02841095877725456,1.56
9,1976,4.019933908807358,1.2507166280643014,2.7692172807430566,0.22121728074305677,1.17,0.027059875708028525,1.3780000000000001
10,1977,4.404094744172748,1.5451395983454341,2.8589551458273137,0.1549551458273136,1.43,0.019288136978464304,1.274
11,1978,4.000704733926985,1.5418828762045962,2.4588218577223886,0.17082185772238861,1.17,0.01484376754947548,1.118
12,1979,4.040113662969878,1.626269134211637,2.413844528758241,0.12584452875824081,1.3,0.027264446468640992,0.9880000000000001
13,1980,3.946801478669684,1.5404477310452036,2.4063537476244807,0.1183537476244806,1.17,0.03160816068433117,1.118
14,1981,4.205366994945104,1.7050346572971657,2.5003323376479383,0.1343323376479379,1.17,0.021551011888713983,1.1960000000000002
15,1982,3.5817531892360477,1.065085189587748,2.5166679996482997,0.12466799964829958,1.3,0.027951487587644496,1.092
16,1983,3.777366468190464,1.4135301122032204,2.3638363559872433,0.10183635598724353,1.04,0.012590319538041971,1.222
17,1984,3.9591792965627306,1.840506371959991,2.11867292460274,0.09067292460273974,0.78,0.016974969113341343,1.248
18,1985,3.726072799872159,1.4291597124957016,2.2969130873764576,0.1129130873764574,0.9100000000000001,0.02127766641785412,1.274
19,1986,3.5077106629993615,1.2929262708237237,2.2147843921756376,0.10878439217563757,0.9100000000000001,0.018632791885344335,1.1960000000000002
20,1987,4.601265572440589,1.911574768125731,2.689690804314858,0.11569080431485779,0.9100000000000001,0.0029159321922208855,1.6640000000000001
21,1988,4.172045780036827,1.7167181588516907,2.4553276211851367,0.11532762118513679,0.78,0.008668644728411036,1.56
22,1989,3.9512238861112543,1.4099505947230957,2.5412732913881584,0.10760943892580019,0.5096638524623585,0.0033395056237921585,1.924
23,1990,3.7799284582833126,1.5437768858042955,2.236151572479017,0.08094278637765291,0.517208786101364,0.004717509155166073,1.6380000000000001
24,1991,3.6012472369978337,1.4165164324064174,2.184730804591416,0.05806983360877528,0.4573230483262326,0.0041894647978445165,1.6693379226564085
25,1992,3.6865699071788223,1.7666586218440292,1.919911285334793,0.10940305803357234,0.4206847850135722,0.005645207751056856,1.3898234422876485
26,1993,3.0135468274369357,1.2688248064398377,1.7447220209970977,0.07266414645843636,0.5329623932665057,0.003944592803212234,1.1390954812721557
27,1994,3.5558524754148135,1.5988930897827176,1.956959385632096,0.08608899839591984,0.5263599088058208,0.005290013513718703,1.3445104784303552
28,1995,2.759346062329625,0.9278090614765322,1.831537000853093,0.047441829226205705,0.4672254443363236,0.004612746992200542,1.3168697272905636
29,1996,3.641474576657695,1.4282615225444717,2.2132130541132233,0.04670690510666855,0.42418588915296557,0.007596331772148614,1.7423202598535892
30,1997,3.3256106569586534,1.509739403177581,1.8158712537810724,0.06801892649631389,0.3766857588885328,0.0034114293252037286,1.3711665683962257
31,1998,3.0322973337953907,1.1781902468174492,1.8541070869779415,0.05720702973623901,0.3722640235085519,0.006487296959600167,1.4246360337331505
32,1999,2.7019222346156417,1.2746360085214556,1.427286226094186,0.04275368810924637,0.34859542289800344,0.004165774539465439,1.0359371150869363
33,2000,2.7511953848069357,1.1895738937974754,1.5616214910094601,0.04270475977585792,0.3094007953529567,0.005561839332825752,1.2095159358806455
34,2001,2.8938607202330413,1.3259825690964224,1.5678781511366187,0.03549278514974267,0.3502196222232422,0.005707495703106392,1.1821657437636337
35,2002,2.9782452520641867,1.255567659406515,1.7226775926576714,0.027983405958165647,0.30124982321316707,0.002785097471018343,1.3934443634863387
36,2003,2.7754275636736905,1.2444240405034002,1.53100352317029,0.026170694480002574,0.3532675320047412,0.007027586039806377,1.1515652966855463
37,2004,2.4706882305305755,1.122280074074709,1.3484081564558665,0.027004332734449098,0.38250344028527616,0.005464467374331808,0.9389003834361412
38,2005,2.469037426385814,1.1103148635384166,1.3587225628473973,0.022527056846457144,0.4183397349344604,0.002844561814449866,0.9178557710664798
39,2006,2.245706171020185,1.0169889663175062,1.2287172047026784,0.026409424155326044,0.4220620412285006,0.014089159940611207,0.7802457393188518
40,2007,2.3364316871702915,1.007960549067978,1.3284711381023135,0.020406774416551594,0.5463680585152708,0.00431749367012349,0.7616963051704911
41,2008,2.2055947429445735,0.923862751078411,1.2817319918661625,0.01779614031425891,0.5091464860777102,0.0073053686244105975,0.7547893654741934
42,2009,1.9850725755672056,0.7322635960336196,1.252808979533586,0.017781659700595732,0.4049510466276566,0.005089393127437932,0.8300762732053336
43,2010,2.10148878742212,0.783927753459041,1.3175610339630794,0.012954689598616821,0.4231552660882403,0.0029467496322955387,0.8814510782762223
44,2011,2.260972825401312,0.8659434134611652,1.3950294119401467,0.013243273395091328,0.33617396341557204,0.0036008138808682577,1.0456121751294833
45,2012,1.7802836646937368,0.6251615037858239,1.155122160907913,0.008085386426171156,0.2650241846330223,0.0035118202752175962,0.8820125898487196
46,2013,1.8322840244993113,0.5432196982987698,1.2890643262005415,0.012459249798266717,0.2534065429050573,0.004693217085988707,1.0231985334972173
47,2014,1.610424527631566,0.5261055503842078,1.0843189772473583,0.0081736376405994,0.30433523376461197,0.0024557331838393646,0.7718101058421468
48,2015,1.6924924576660967,0.5575549608840418,1.134937496782055,0.013220149223083814,0.26744025897697576,0.0018755218048062182,0.8542770885819952
49,2016,1.9323936285969974,0.6604180501836592,1.2719755784133382,0.0047938009022265434,0.24245823692642063,,1.024723540584691
50,2017,1.564444789559904,0.6832710339350104,0.8811737556248936,0.004956684422418079,0.22850793028077723,,0.6477091409216983
51,2018,1.6926373072850138,0.6034104272609238,1.08922688002409,0.004529339180536762,0.21664969823852184,,0.8680478426050315
52,2019,1.617516378073222,0.6123419213733468,1.0051744566998753,0.004029046662563877,0.21858731630724906,,0.7825580937300624
