,Year,Total,Fresh,Processed1
3,1970,0.16795739617267816,,0.16795739617267816
4,1971,0.17242043522856965,,0.17242043522856965
5,1972,0.1275631741433853,,0.1275631741433853
6,1973,0.108018064357814,,0.108018064357814
7,1974,0.0991798142658075,,0.0991798142658075
8,1975,0.09859565779055714,,0.09859565779055714
9,1976,0.13484073657898962,,0.13484073657898962
10,1977,0.13778213667878986,,0.13778213667878986
11,1978,0.10802614731450907,,0.10802614731450907
12,1979,0.08071360334140544,,0.08071360334140544
13,1980,0.08483879750226149,,0.08483879750226149
14,1981,0.08492559769705085,,0.08492559769705085
15,1982,0.06873740244973903,,0.06873740244973903
16,1983,0.07842275305475299,,0.07842275305475299
17,1984,0.058642340954863176,,0.058642340954863176
18,1985,0.10303355614636887,,0.10303355614636887
19,1986,0.09598962813368737,,0.09598962813368737
20,1987,0.07611077247491799,,0.07611077247491799
21,1988,0.1240179413193155,,0.1240179413193155
22,1989,0.22816341925134537,,0.22816341925134537
23,1990,0.21069754435604499,,0.21069754435604499
24,1991,0.19966326579453872,,0.19966326579453872
25,1992,0.33182397069063996,0.0412856449391578,0.29053832575148214
26,1993,0.3539714346660775,0.05656496777391405,0.29740646689216343
27,1994,0.38998692620889897,0.07564591186094535,0.3143410143479536
28,1995,0.3774852318584862,0.050353820197931394,0.3271314116605548
29,1996,0.38519206524593763,0.04538897525652009,0.33980308998941755
30,1997,0.3781482602129991,0.04901548642053115,0.3291327737924679
31,1998,0.42189193106340656,0.03753789648697101,0.3843540345764355
32,1999,0.38978747011816817,0.04809470553178538,0.34169276458638276
33,2000,0.44159471857858507,0.055577324133718145,0.38601739444486693
34,2001,0.49372420381262994,0.062318618622077285,0.43140558519055267
35,2002,0.3973124681442112,0.05920926625218742,0.33810320189202375
36,2003,0.5654785148263237,0.14393287236755137,0.4215456424587723
37,2004,0.4924128110031076,0.12664023945456737,0.3657725715485402
38,2005,0.5285843663757295,0.09763577334908785,0.4309485930266417
39,2006,0.6618000439996863,0.24952613421107134,0.4122739097886149
40,2007,0.6153332394402354,0.18138636585961893,0.4339468735806165
41,2008,0.5139727685040312,0.15486502718436962,0.3591077413196615
42,2009,0.6007723538736117,0.2667138623976524,0.33405849147595934
43,2010,0.5882574545835719,0.2038718821878436,0.38438557239572835
44,2011,0.6892033376382714,0.31439505042559424,0.37480828721267706
45,2012,0.7277368268456208,0.32402654306527734,0.4037102837803435
46,2013,0.7594412084556357,0.3781806673746856,0.38126054108095014
47,2014,1.2716724679594371,0.7364854373757197,0.5351870305837173
48,2015,1.4920348843130475,0.9064697679800328,0.5855651163330147
49,2016,1.2239043329460544,0.7761385325378872,0.44776580040816716
50,2017,1.2897091581746192,0.8754316907469396,0.41427746742767957
51,2018,1.2197097409526,0.8120539107854667,0.4076558301671334
52,2019,1.3775100208015016,0.8683690520140804,0.5091409687874212
53,NA = Not available.,,,
54,,,,
