,Year,Total,Fresh,Processed1
3,1970,2.9130366931314984,1.7341942531650507,1.1788424399664477
4,1971,3.101993152301106,1.8303870250071028,1.2716061272940031
5,1972,2.8423457331249766,1.666539619621146,1.1758061135038305
6,1973,2.6790933844244464,1.580395358384967,1.0986980260394794
7,1974,2.886936882171949,1.826947356607779,1.05998952556417
8,1975,3.0225861566029084,1.797446903085108,1.2251392535178005
9,1976,2.7594973284105766,1.6561561217235765,1.1033412066869999
10,1977,2.963548690286462,1.912467819051122,1.0510808712353399
11,1978,3.291281982164117,2.1225284722690207,1.1687535098950963
12,1979,2.984128324187421,1.9017573482037724,1.0823709759836484
13,1980,3.187488824288838,1.9651115814619324,1.222377242826906
14,1981,3.3370873085586563,2.1731125470721757,1.1639747614864806
15,1982,3.425847330611401,2.3687701345461436,1.0570771960652574
16,1983,3.4330736170921057,2.321415920138963,1.1116576969531429
17,1984,4.036888232606156,2.9640064650430715,1.0728817675630848
18,1985,4.035268256271334,2.9859560692090277,1.0493121870623066
19,1986,4.009796593407049,2.892524859651528,1.1172717337555216
20,1987,4.2492847729032475,3.114788059504786,1.1344967133984614
21,1988,4.503287065190331,3.3339999428620404,1.1692871223282906
22,1989,4.4791678494339955,3.253297054281117,1.2258707951528787
23,1990,4.3562383908335836,3.238506068795676,1.1177323220379072
24,1991,4.807481830744527,3.567897338388043,1.239584492356484
25,1992,4.773436077448286,3.586062734045949,1.1873733434023372
26,1993,4.7734178932201115,3.6122495245048127,1.1611683687152987
27,1994,5.159243952990479,4.04290605687909,1.1163378961113894
28,1995,5.37328124941382,4.100646390828227,1.272634858585593
29,1996,5.580773620798986,4.3159674709920015,1.2648061498069842
30,1997,5.183265374919388,4.0963717242187965,1.0868936507005922
31,1998,5.164533944189921,3.9153106495481964,1.2492232946417254
32,1999,5.771271131635011,4.567679167188816,1.203591964446195
33,2000,6.265200268038316,4.862188172176284,1.4030120958620322
34,2001,5.843197965992095,4.213911996942516,1.6292859690495798
35,2002,6.079414190601977,4.648770570022192,1.430643620579785
36,2003,6.964220841499306,5.28827578058227,1.6759450609170354
37,2004,6.962277276722121,5.473549218788722,1.4887280579333997
38,2005,7.7228329805192555,5.8277044161974105,1.8951285643218454
39,2006,8.007971247825951,6.138018412130002,1.86995283569595
40,2007,7.953845948594104,6.260405026468581,1.6934409221255238
41,2008,8.223838105949866,6.446637345869479,1.7772007600803867
42,2009,8.710956123952437,7.166741780655144,1.5442143432972932
43,2010,9.15699937889131,7.225835569045998,1.9311638098453128
44,2011,9.008941638081637,7.360739718770205,1.6482019193114334
45,2012,9.810652692277667,7.972903940005161,1.8377487522725058
46,2013,9.750476823236147,8.007553887091511,1.742922936144635
47,2014,9.880336285454485,7.962276003893629,1.9180602815608556
48,2015,9.645088382125993,7.723419617776696,1.9216687643492965
49,2016,9.16886342443272,7.3953857315726745,1.7734776928600462
50,2017,8.562623041210829,6.8077500262218384,1.7548730149889904
51,2018,8.207938286802495,6.40595908043771,1.8019792063647855
52,2019,7.652164920362072,5.798137236153621,1.8540276842084513
