,Year,Fresh,Processed1,Total
3,1970,2.0358982111854553,0.9550504262333457,2.990948637418801
4,1971,2.325906164373666,1.1559705481529994,3.4818767125266654
5,1972,2.0677144871746007,1.4923819415329498,3.5600964287075505
6,1973,2.060931815071564,1.4710087820715498,3.531940597143114
7,1974,2.229745527322379,1.4040420099694182,3.633787537291797
8,1975,2.547841628351691,1.6218925513837377,4.169734179735428
9,1976,2.356456532208132,2.033205677987479,4.3896622101956115
10,1977,2.641425905493578,1.7098924350364828,4.35131834053006
11,1978,2.0678617157490398,1.9917110317406834,4.059572747489723
12,1979,2.0161827108928927,1.9038235098087135,3.920006220701606
13,1980,2.07446191117843,2.8533852085400877,4.927847119718518
14,1981,1.9405891504600798,2.0219728133724115,3.962561963832491
15,1982,2.0614721487042806,2.4740081313418436,4.535480280046125
16,1983,2.189642492979132,1.6927791316520633,3.882421624631195
17,1984,2.046514078054342,1.6008174386920981,3.6473315167464397
18,1985,1.4889732030602725,1.39235782040207,2.8813310234623426
19,1986,1.5998172243854427,1.140136546284869,2.7399537706703114
20,1987,1.7749459903082334,1.5794014925619018,3.354347482870135
21,1988,1.768468329187722,1.5583154096995768,3.3267837388872987
22,1989,1.73453800234738,1.5872759175554494,3.321813919902829
23,1990,1.3214065057684132,1.091017829925632,2.412424335694045
24,1991,1.3766796974957336,0.9475360785675939,2.3242157760633275
25,1992,1.9266599888859723,1.0039660740931207,2.9306260629790932
26,1993,1.8604919321045947,1.123340140056992,2.9838320721615865
27,1994,2.0955280471698297,1.4268917204227547,3.5224197675925843
28,1995,1.9866915530027125,1.251745731405145,3.2384372844078575
29,1996,2.1487354307616653,1.2440395569326679,3.392774987694333
30,1997,2.5193687758698275,2.000615935121501,4.519984710991329
31,1998,2.1662804435586063,1.4782120273232957,3.644492470881902
32,1999,2.3007370995727157,1.2008318287335569,3.5015689283062725
33,2000,2.8620941317997763,1.6160939156666911,4.4781880474664675
34,2001,2.719340143336702,1.2193620840286161,3.938702227365318
35,2002,2.5535549085159133,1.3136017739210455,3.867156682436959
36,2003,2.7200933744248252,1.1611148647549703,3.8812082391797955
37,2004,2.765655090575144,0.930355199409425,3.696010289984569
38,2005,2.502770250711448,0.8105205003868243,3.3132907510982723
39,2006,2.679566511696871,1.133076022048134,3.812642533745005
40,2007,2.555310519672878,0.9744575597673457,3.529768079440224
41,2008,3.0718263352574526,1.3002228057705452,4.372049141027998
42,2009,3.1529694951274916,0.7970838975664687,3.9500533926939605
43,2010,3.7679441322666998,1.0096490884574674,4.777593220724167
44,2011,4.129295453871003,1.1189236802664215,5.2482191341374245
45,2012,4.15729787985429,1.045747696202292,5.2030455760565815
46,2013,4.4758008800621925,0.9047731128121166,5.380573992874309
47,2014,4.984469754616161,0.9027175239338954,5.887187278550057
48,2015,5.205712488296915,1.5225914844584612,6.728303972755376
49,2016,5.269058495037308,1.9585128727054268,7.227571367742735
50,2017,5.843266346807761,2.093349868082089,7.93661621488985
51,2018,5.908849365741431,1.1534180044353797,7.06226737017681
52,2019,6.78644714856761,1.6392826364135136,8.425729784981122
53,2020,6.613941566265527,1.3282249012300742,7.942166467495602
